word,part_of_speech,meaning,example,example_meaning,definition
snippet,verb,miếng nhỏ cắt ra,Learn about structured snippet extensions.,Tìm hiểu bài giới thiệu về phần mở rộng đoạn nội dung có cấu trúc.,"(computing) a textfile containing a relatively small amount of code, useless by itself, along with instructions for inserting that code into a larger codebase"
outcropping,noun,,Never before have I encountered so many sharks on a single coral outcrop .,Chưa bao giờ tôi bắt gặp nhiều cá mập như vậy chỉ trên một khóm san hô.,Another word for outcrop.
varnish,verb,sơn dầu,"Today, mastic is found in varnishes that protect oil paintings, furniture, and musical instruments.","Ngày nay, mát-tít được dùng trong véc-ni bảo vệ tranh sơn dầu , đồ gỗ, và nhạc cụ.","A type of paint with a solvent that evaporates to leave a hard, transparent, glossy film."
crevice,noun,kẽ,We're searching every crack and crevice Under this roof.,Chúng tôi sẽ tìm từng vết nứt kẽ hở dưới mái nhà này.,"A narrow crack or fissure, in a rock or wall."
redundancy,noun,sự rườm rà,I'm redundant .,Tôi là người thừa .,The state of being redundant; a superfluity; something redundant or excessive; a needless repetition in language; excessive wordiness.
uproot,Verb,trừ tiệt,"To uproot these destructive feelings, people need to change the way they think.","Để trừ tiệt những cảm xúc tai hại này, người ta cần phải thay đổi lối suy nghĩ.","To root up; to tear up by the roots, or as if by the roots; to extirpate."
bile,verb,tính cáu gắt,Bitter as bile .,Đắng như mật cá.,"(biochemistry) A bitter brownish-yellow or greenish-yellow secretion produced by the liver, stored in the gall bladder, and discharged into the duodenum where it aids the process of digestion."
adrenaline,noun,adrenaline,"Oh, are you sure you don't wanna come by Hollis'with me and shake off the adrenaline ?","Oh, em có chắc là không muốn đến chỗ Hollis cùng anh và trút bỏ lượng adrenaline ?",(biochemistry) An alternative name for epinephrine; the hormone and neurotransmitter.
radiate,adjective,tỏa ra,From this seam tiny fibrils radiate throughout the vitreous humor.,Từ đường nối đó các thớ nhỏ xíu tỏa ra khắp pha lê dịch.,"To extend, send or spread out from a center like radii."
desperately,adverb,liều lĩnh,"You know, something about the attempt on Morra seemed desperate .","Cô biết không, nỗ lực hạ Morran có vẻ liều lĩnh .",In a desperate manner; without regard to danger or safety; recklessly.
inflame,verb,viêm,"The tendon and tendon sheath become inflamed , which can be painful .","Gân và bao gân bị viêm , có thể gây đau nhức .","To set on fire; to kindle; to cause to burn, flame, or glow."
rend,verb,xé,I understand that somebody began to rend a song.,tôi hiểu là vài người bắt đầu xé bài hát.,(transitive) To separate into parts with force or sudden violence; to tear asunder; to split; to burst
refuge,noun,nơi trú ẩn,But their hollow refuge will not shield them.,Nhưng nơi trú ẩn giả tạo ấy sẽ chẳng che chở họ được.,Something or someone turned to for safety or assistance; a recourse or resort
ascent,noun,lên,The ascent is slowed by a series of dangerous crevasses.,Chuyến đi lên chậm vì có nhiều khe núi nguy hiểm.,The act of ascending. A motion upwards.
pummel,verb,đấm thùm thụp,I was pummeled in the face by a policeman who had been a boxer.,Tôi bị một cảnh sát viên trước kia là võ sĩ quyền Anh đấm thùm thụp vào mặt.,To hit or strike heavily and repeatedly.
aquifer,noun,tầng ngậm nước,The underground aquifers are drying out.,Những tầng ngậm nước dưới mặt đất đang cạn dần.,"An underground layer of water-bearing porous stone, earth, or gravel"
disintegrate,verb,tan rã,Help us reverse society’s trend of disintegrating families.,Hãy giúp chúng tôi đảo ngược khuynh hướng làm gia đình tan rã của xã hội.,"(transitive) To undo the integrity of, break into parts."
tattered,adjective,bươm,"My marriage ended, and my life was in tatters .",Hôn nhân đổ vỡ và cuộc sống tôi tan nát .,"rent in tatters, torn, hanging in rags; ragged"
traumatic,adjective,chấn thương,The miracles Clark experienced during this traumatic event were just beginning.,Những phép lạ mà Clark đã trải qua trong sự kiện chấn thương này mới chỉ bắt đầu.,"of, caused by, or causing trauma"
resilient,adjective,đàn hồi,and it had a lot of resilience and strength and so on.,và nó rất đàn hồi và dẻo dai.,Able to endure tribulation without cracking.
veer,verb,xoay,It patently veers toward propaganda.,Nó rõ ràng là xoay chiều tới các cuộc tuyên truyền.,(intransitive) to change direction or course suddenly; to swerve
manumit,verb,,"An owner who manumitted a slave paid a ""freedom tax"", calculated at 5% of value.","Một chủ nô nếu giải phóng một nô lệ thì cũng phải trả ""thuế tự do"", tính theo 5 phần trăm giá trị.","To release from slavery, to free."
recalcitrant,adjective,cứng đầu cứng cổ,Don't let your recalcitrance take any more lives.,Đừng để sự ngoan cố của cậu tước đi thêm nhiều sinh mạng nữa.,a person who is recalcitrant
vigor,noun,sinh lực,And you might like to have more in the way of good health and vigor .,Và có lẽ bạn muốn có thêm sinh lực và sức khỏe dồi dào.,(American) Alternative spelling of vigour.
haphazard,adjective,lung tung,"Listen, I know this all seems a little haphazard , all right?","Nghe này, tôi biết chuyện này rất lung tung","random; chaotic; incomplete; not thorough, constant, or consistent"
degrading,adjective,làm giảm giá trị,Avoid all immorality and personally degrading practices.,Tránh tất cả những điều vô luân và những thực hành làm giảm giá trị của cá nhân mình.,Present participle of degrade.
insurrection,noun,cuộc nổi dậy,"No more war, no more insurrections .","Không còn chiến tranh, không còn các cuộc nổi dậy",An organized opposition to authority; a mutiny; a rebellion
servile,adjective,hèn hạ,The judiciary is increasingly servile .,Nhánh tư pháp ngày càng lệ thuộc .,of or pertaining to a slave.
languorous,adjective,lừ đừ,"His walk... his terrible, languorous , insinuating walk.","Tướng đi của hắn... cái tướng đi khệnh khạng, lừ đừ , chướng mắt của hắn.","lacking energy, spirit, liveliness or vitality; languid, lackadaisical"
intractable,adjective,khó chữa,Intractable Disease.,Những căn bệnh khó chữa .,"Not tractable or to be drawn or guided by persuasion; not easily governed, managed, or directed; uncontrollable; incurable; violent; stubborn; obstinate."
