word,part_of_speech,meaning,example,example_meaning,definition
sublime,adjective,cao siêu,The principles and doctrines of the priesthood are sublime and supernal.,Các nguyên tắc và giáo lý của chức tư tế là cao siêu và siêu phàm.,Noble and majestic.
disconcerted,adjective,bị làm hỏng,This is very disconcerting .,Tư thế này làm tôi thật bối rối .,Past participle of disconcert
trundle,verb,lăn,Through the bedroom door Laura could see the trundle bed in its place under the big bed.,"Qua cửa phòng ngủ, Laura có thể nhìn rõ chiếc giường có bánh lăn nằm đúng chỗ dưới chiếc giường lớn.",A low bed on wheels that can be rolled underneath another bed.
august,adjective,oai phong,"Yamato-toto-hi-momo-so-bime no Mikoto said to her husband: ""As my Lord is never seen in the day-time, I am unable to view his august countenance distinctly; I beseech him therefore to delay a while, that in the morning I may look upon the majesty of his beauty.""","Yamato-toto-hi-momo-so-bime no Mikoto nói với chồng mình: ""Ta chưa bào giờ thấy tướng công vào ban ngày; ta không thể chiêm ngưỡng rõ ràng vẻ mặt oai phong của chống ta; ta cầu xin người có thể hoãn lại một chút, để ta có thể trông thấy vẻ uy nghi của khuôn mặt chàng.","Noble, venerable, majestic, awe-inspiring, often of the highest social class (sometimes used ironically)."
insipid,adjective,vô vị,"It's gray, it's insipid , it's sensible.","Nó ảm đạm, nó vô vị , và phi thực.",Unappetizingly flavorless.
munificence,noun,tính hào phóng,The Shopmates’ on-field performance matched this munificence .,Và màn trình diễn của The Shopmates’ đã đáp ứng sự hào phóng này.,Means of defence; fortification.
bout,noun,cuộc đọ sức,This was the only knockout loss Holmes suffered in 75 professional bouts .,Đây là sự mất mát knockout chỉ Holmes phải chịu đựng trong 75 cuộc đọ sức chuyên nghiệp.,"A period of something, usually painful or unpleasant"
mainstay,noun,chỗ dựa chính,"The Canadair Sabres (Mark 6), acquired from ex-Luftwaffe stocks via Iran, were the mainstay of the PAF's day fighter operations during the Indo-Pakistani War of 1971, and had the challenge of dealing with the threat from IAF.","Những chiếc Canadair Sabres (Mark 6) mà Pakistan sở hữu được từ tồn kho của Không quân Đức thông qua Iran, là chỗ dựa chính của Không quân Pakistan (PAF) khi các hoạt động chiến đấu ban ngày trong cuộc Chiến tranh Ấn Độ-Pakistan 1971, và bị thử thách đối đầu mối đe dọa của Không quân Ấn Độ.",A chief support.
superannuated,adjective,cổ lỗ,""" Superannuation Industry (Supervision) Act 1993 (Cth)"".",Ngày 1 tháng 1 năm 2009. ^ “Superannuation Industry (Supervision) Act 1993 (Cth)”.,obsolete due to age
expectorate,verb,khạc,No one hits like Gaston- Matches wits like GastonIn a spitting match nobody spits like Gaston I' m especially good at expectorating,♪ Không ai đánh giống Gaston ♪- ♪ Chơi cờ thông minh như Gaston ♪ ♪ Trong cuộc thi khạc nhổ không ai nhổ giống như Gaston ♪ ♪ Ta đặc biệt giỏi ♪,To cough up fluid from the lungs.
reticence,noun,tính trầm lặng,I like the reticence .,Tôi thích cô ít lời thế.,the avoidance of saying too much
mincing,adjective,õng ẹo,Are you mincing ?,Thái chưa đấy ?,Present participle of mince.
meticulously,adverb,một cách tỉ mỉ,These nameless scribes copied the Sacred Book with meticulous and loving care.”,Những người vô danh này đã tận tâm sao chép Kinh-thánh một cách tỉ mỉ ”.,In a meticulous manner.
ponderous,adjective,nặng,"Due to having virtually no fast attack units, except for their MiGs, China is forced to make large, ponderous assaults with heavy units, a tactic that can be countered by the GLA's speed or the USA's air power.","Do các đơn vị tấn công nhanh hầu như không có, ngoại trừ MiG, Trung Quốc buộc phải sử dụng lực lượng quân đông đảo, tấn công với các đơn vị hạng nặng , một chiến thuật mà có thể được đáp trả bằng tốc độ của GLA hoặc không lực Mỹ.","Heavy, massive, weighty."
farce,noun,trò hề,This whole thing is a farce .,Tất cả là một trò hề .,(uncountable) A style of humor marked by broad improbabilities with little regard to regularity or method; comparesarcasm
histrionic,adjective,có vẻ đóng kịch,"The New Yorker called Rapunzel a witty and intelligent character, while USA Today wrote, ""Rapunzel is more believable in her teenage histrionics "" than previous Disney heroines.","The New Yorker gọi Rapunzel là một nhân vật dí dỏm và thông minh, trong khi báo USA Today viết, ""Rapunzel thật hơn trong tuổi thiếu niên của nàng "" so với các nữ nhân vật chính trước của Disney.","Of, or relating to actors or acting"
travesty,verb,biến thành trò đùa,A travesty !,Thật là một trò hề!,A parody or stylistic imitation.
scion,noun,con cháu,The scion of the god of war...,Con cháu của thần chiến tranh...,"A descendant, especially a first-generation descendant."
cordon,verb,hàng rào cảnh sát,A large group of anti-Maidan protesters broke through a police cordon and began to attack a smaller pro-Maidan demonstration.,Một nhóm lớn các người biểu tình chống Maidan vượt qua một hàng rào cảnh sát và bắt đầu tấn công một cuộc biểu tình ủng hộ Maidan nhỏ hơn.,(archaic) A ribbon normally worn diagonally across the chest as a decoration or insignia of rank etc.
untrammeled,adjective,không bị cản trở,,,not limited or restricted; unrestrained
perturbed,adjective,băn khoăn,Perturbed Spirit.,Cảm xúc sôi trào.,Simple past tense and past participle ofperturb.
languid,adjective,uể oải,"But looking closer, that leg is pretty languid on the ground, the arm is heavy on the knee.","Nhưng nhìn gần hơn, cái chân kia khá uể oải trên mặt đất, cánh tay thì nặng nề trên đầu gối.","Lacking enthusiasm, energy, or strength; drooping or flagging from weakness, fatigue, or lack of energy; indisposed to exertion; sluggish; relaxed: as, languid movements; languid breathing."
reverberation,noun,sự dội lại,There's no big room to create reverberation and confuse the rhythms.,Ở đó chẳng có căn phòng lớn nào để mà có sự dội lại âm thanh khiến nhịp điệu bị rối loạn.,A violent oscillation or vibration
