word,part_of_speech,meaning,example,example_meaning,definition
competence,noun,thẩm quyền,"1943 was a competent Yongsan, and 1946 Ichon-dong is has reached today.","Năm 1943 là một Yongsan có thẩm quyền , và năm 1946 là Ichon-dong tới ngày nay.","(uncountable) The quality or state of being competent, i.e. able or suitable for a general role."
intangible,adjective,mơ hồ,It is often difficult to teach the intangible aspects of the gospel.,Thường rất khó để giảng dạy những khía cạnh mơ hồ của phúc âm.,incapable of being perceived by the senses; incorporeal
plumb,adjective,ngay,"No, when I go to sea, I go as a simple sailor, right before the mast, plumb down into the forecastle, aloft there to the royal mast- head.","Không, khi tôi đi ra biển, tôi đi như một thủy thủ đơn giản, ngay trước khi các cột, plumb xuống phần trước của tàu, ở trên cao có cột đầu hoàng gia.",truly vertical
frippery,noun,câu văn rỗng tuếch,,,"Ostentation, as in fancy clothing."
sorrel,adjective,cây chua me đất,You won a sorrel .,Anh thắng một con ngựa hồng .,"A kind of plant with acidic leaves, especially Rumex acetosa, sometimes used as a salad vegetable."
peddler,noun,bán rong,A peddler .,Một người bán rong .,An itinerant seller of small goods; a hawker.
undertone,verb,giọng thấp,"Dynasty Warriors 4 is no different and features a similar style of music to Dynasty Warriors 3, using a mix of rock, metal, and heavy metal with undertones of traditional Chinese music.","Dynasty Warriors 4 chẳng có gì khác biệt và có phong cách âm nhạc tương tự như của Dynasty Warriors 3, sử dụng sự pha trộn giữa loại nhạc rock, metal, và heavy metal với giọng thấp của âm nhạc truyền thống Trung Quốc.",an auditory tone of low pitch or volume
unwavering,adjective,không dao động,Our faith in his promises will be unwavering .,Đức tin của chúng ta nơi lời hứa Ngài sẽ không dao động .,Never doubted; always steady and on course
constraint,noun,ràng buộc,Constraints can be internal or external to the system.,Các ràng buộc có thể là nội bộ hoặc bên ngoài hệ thống.,Something that constrains.
wry,adjective,gượng,"The next one got kind of a wry smile on his face and said,","Và người còn lại nở nụ cười gượng gạo và nói,","(obsolete, intransitive) To turn (away); to swerve or deviate."
fodder,noun,cỏ khô,Cultivation of fodder crops began in the 1950s.,Trồng các loại cỏ khô bắt đầu vào những năm 1950.,Food for animals.
