word,part_of_speech,meaning,example,example_meaning,definition
treasurer,noun,Kho bạc,"E·rasʹtus, the city treasurer ,* greets you, and so does Quarʹtus, his brother.","Ê-rát-tu, quan cai kho bạc thành phố, và Qua-rơ-tu, em trai* người, cũng chào anh em.",The head of a corporation's treasury department.
fabrication,noun,chuyện bịa đặt,"North Korea continues to deny involvement in the attack on KAL 858, saying that the incident was a "" fabrication "" by South Korea and other countries.","Bắc Triều Tiên tiếp tục phủ nhận việc dính líu tới vụ tấn công chuyến bay KAL 858, nói rằng vụ việc là một ""câu chuyện bịa đặt "" tạo nên bởi Hàn Quốc và các nước khác.","(uncountable) The act of fabricating, framing, or constructing; construction; manufacture"
interlocutor,noun,người nói chuyện,"This grouping consists of many short texts connected by theme, setting, or interlocutor .","Bộ kinh này bao gồm nhiều kinh văn ngắn gọn được gom lại theo chủ đề, nhóm và người nói chuyện .",A person who takes part in dialogue or conversation.
propitiation,noun,quà để làm lành,"So, propitious timing.",Nên quả là thời điểm thích hợp .,"(dated) The act of propitiating; placation, atonement, expiation."
misunderstanding,noun,sự hiểu lầm,Do misunderstandings and upsetting situations linger for several days?,Những sự hiểu lầm và tình trạng bối rối có kéo dài qua nhiều ngày không?,A mistake as to the meaning of something; erroneous interpretation; misconception.
incomprehensible,adjective,khó hiểu,"Like many of us, she has had a life filled with sorrows, afflictions, and incomprehensible joy.","Giống như nhiều người trong chúng ta, bà đã có một cuộc sống vô cùng đau khổ, buồn phiền, và niềm vui khó hiểu .",Impossible or very difficult to understand.
straightforward,adjective,thẳng thắn,"He is fair in his dealings with others— straightforward , honorable, not deceptive or misleading.","Người đó đối xử công bằng với người khác— thẳng thắn , đàng hoàng, không xảo trá hoặc lừa dối.",Proceeding in a straight course or manner; not deviating; honest; frank.
dissatisfaction,noun,sự không bằng lòng,Ingratitude leads to chronic dissatisfaction .,Sự vô ơn thường dẫn đến tình trạng bất mãn .,the cause of such feelings
plenipotentiary,adjective,hoàn toàn,"Citizens who are ready to accommodate a refugee from the FRG, please report to their Section Plenipotentiary .","Công dân, người mà sẵn sàng nhận một người tị nạn từ Tây Đức, xin thông báo cho cơ quan gần nhất.","A person invested with full power, especially as the diplomatic agent of a sovereign state, (originally) charged with handling a certain matter"
misrepresentation,noun,sự bóp méo,Impersonation and misrepresentation,Mạo danh và xuyên tạc,"Erroneous or false representation; an unfair or dishonest account or exposition; a false statement: as, to injure one's character by misrepresentations."
desertification,noun,hoang mạc hóa,The threat is desertification .,Mối đe dọa đó là sự sa mạc hóa.,Process by which a geographic region becomes a desert. The change may result from natural changes in climate or by human activity.
autobiographical,adjective,tự truyện,"Kid's blond, assuming It's autobiographical .","Trẻ em tóc vàng, giả sử đó là tự truyện .","Of or relating to a person's life or an account of a person's life, as told by the subject."
interchangeable,adjective,đổi lẫn được,Interstate H-3 begins at the Hālawa Interchange with Interstates H-1 and H-201.,Xa lộ Liên tiểu bang H-3 bắt đầu tại nút giao thông lập thể Hālawa với các xa lộ liên tiểu bang H-1 và H-201.,Freely substitutable. May be swapped at will.
transcontinental,adjective,xuyên lục địa,"We did the transcontinental railroad, the Marshall Plan.","Chúng ta đã làm được đường sắt xuyên lục địa , kế hoạch Marshall.","Crossing, spanning a continent."
irresponsibility,noun,sự vô trách nhiệm,"You know, five years ago, your irresponsibility was somewhat charming.","Năm năm trước, sự vô trách nhiệm của con phần nào duyên dáng.",The character or state of being irresponsible; lack of or freedom from responsibility; want of accountability.
diversification,noun,Đa dạng hoá,Diversification has long been held up as a way to protect your portfolio .,Việc đa dạng hoá được duy trì lâu dài như là cách bảo vệ danh mục đầu tư của bạn .,"The act, or the result, of diversifying"
professionalism,noun,tính cách nhà nghề,Just keep it professional .,Chỉ cần cư xử chuyên nghiệp thôi.,"the status, methods, character or standards expected of a professional or of a professional organization, such as reliability, discretion, evenhandedness, and fair play."
phosphorescence,noun,lân quang,"At low temperatures, however, it is possible to observe both the phosphorescence and the triplet-triplet absorption spectrum.","Tuy nhiên, ở nhiệt độ thấp có thể quan sát cả quang phổ và quang phổ hấp thụ triplet-triplet.",The emission of light without any perceptible heat; the quality of being phosphorescent.
misinterpretation,noun,sự dịch sai,It could be misinterpreted as hostility.,Nó có thể hiểu lầm đó là hành động gây chiến.,An instance of misinterpreting.
confidentiality,noun,bảo mật,We had to agree to total confidentiality and sign a non-disclosure agreement.,Chúng tôi phải chấp nhận bảo mật toàn bộ và ký một thỏa thuận không tiết lộ.,(uncountable) The property of being confidential.
interdependence,noun,,This interdependence determines assets value .,Sự phụ thuộc lẫn nhau này xác định giá trị tài sản .,the condition of being interdependent
transliteration,noun,sự chuyển chữ bản chuyển chữ,Note: Transliteration is not the same as translation.,Lưu ý: Chuyển ngữ không giống như dịch.,"(linguistics, translation studies) The act or product of transliterating, or of representing letters or words in the characters of another alphabet or script."
intensification,noun,sự tăng cường,Further intensification was slow and halted by late on September 7.,Tăng cường hơn nữa đã chậm và dừng lại vào cuối ngày 7 tháng 9.,"The act or process of intensifying, or of making more intense."
intersectionality,noun,,"I say, "" intersectionality .""","Tôi nói ""sự giao nhau .""","The quality or state of being intersectional, that is, of being characterized by intersection (especiallyof multiple forms of discrimination)."
unpredictability,noun,sự không thể dự đoán,Vicious and unpredictable all the same.,Độc ác và khó lường đều như nhau cả.,(countable) Something which is unpredictable.
acquisitiveness,noun,khả năng tiếp thu,Confirm acquisition .,Xác nhận mẫu vật .,The quality of being acquisitive; propensity to acquire property; desire of possession.
photojournalism,noun,,"Well, see, there's this, um, photojournalism class but they said it's only for journalism majors.",Nhưng họ nói là chỉ cho ngành viết báo thôi.,A form of journalism in which a story is told primarily through photographs and other images
