word,part_of_speech,meaning,example,example_meaning,definition
gubernatorial,adjective,thủ hiến,Several states will also hold state gubernatorial and state legislative elections.,Một số tiểu bang cũng sẽ tổ chức các cuộc bầu cử lập pháp tiểu bang và lập pháp tiểu bang.,Of or pertaining to a governor.
capitalism,noun,chủ nghĩa tư bản,Capitalism is not just about accumulation.,Chủ nghĩa tư bản không chỉ là tích lũy.,"(politics, uncountable) a socio-economic system based on private property rights, including the private ownership of resources or capital, with economic decisions made largely through the operation of an unregulated market."
feminism,noun,chủ nghĩa nữ giới,"These themes include anti-racism, feminism , anti-militarism, and anti-capitalism.","Các chủ đề gồm chống phân biệt chủng tộc, chủ nghĩa nữ giới , chủ nghĩa chống quân phiệt, và chủ nghĩa chống tư bản.","A social theory or political movement supporting the equality of both sexes in all aspects of public and private life; specifically, a theory or movement that argues that legal and social restrictions on females must be removed in order to bring about such equality."
humanism,noun,chủ nghĩa nhân đạo,I thought we agreed that empathy was the foundation of all humanism .,Tôi nghĩ chúng ta tán thành rằng cảm thông là nền tảng của mọi chủ nghĩa nhân đạo .,"(often capitalized) The historical revival of Classical culture, notably during the Renaissance circa 16th century"
congress,noun,quốc hội,"If any of this is true, we're talking Congress , the White House, both parties...","Nếu đó là sự thật thì Quốc hội , Nhà Trắng, cả hai Đảng...",(archaic) A coming-together of two or more people; a meeting.
federalism,noun,chế độ liên bang,"Constitutionally, the Soviet Union was a federation .","Căn cứ vào hiến pháp, Liên Xô là một liên bang .",System of national government in which power is divided between a central authority and a number of regions with delimited self-governing authority.
house of representatives,noun,Hạ viện,"From 1984 to 1989, she served as a member of the Opposition in the House of Representatives .","Từ năm 1984 đến năm 1989, bà là thành viên của phe đối lập tại Hạ viện .",
dribble,verb,chảy nhỏ giọt,"Some of it will dribble into the right place,","Một phần sẽ chảy nhỏ giọt vào đúng vị trí,","To let saliva drip from the mouth, to drool"
intramural,adjective,của nội bộ,"The year after that, they rescheduled the start of the intramural season to coincide with tax season.",Năm sau đó họ thay đổi lịch của giải bóng nội bộ cho trùng với mùa nộp thuế.,"Literally, ""within the walls"": pertaining to something within one institution, particularly a school. For example, intramural sports involve teams that are all within the same school."
immigrant,noun,dân nhập cư,They will be blaming immigrants and poor people.,Họ sẽ đổ lỗi cho dân nhập cư và người nghèo.,Of or relating to immigrants or the act of immigrating.
dependable,adjective,đáng tin cậy,"To be consistent is to be steady, constant, and dependable .","Kiên định có nghĩa là vững chắc, kiên trì, và đáng tin cậy .","Able, or easily able to be depended on."
illiterate,adjective,mù chữ,Most of the children there have parents who are illiterate .,Phần lớn những đứa trẻ này có cha mẹ mù chữ .,Unable to read and write.
reaffirm,verb,khẳng định lại,I reaffirm those words to you this day.,Ngày hôm nay tôi khẳng định lại những lời đó với các anh chị em.,To affirm again.
extortion,noun,sự tống,Or extortion .,Hoặc là sự tống tiền.,"the practice of extorting money or other property, especially by a public official, by the use of threats"
extrajudicial,adjective,ngoài pháp lý,Extrajudicial institutions include public tribunals.,Các thiết chế tư pháp ngoài toà án là các Toà án công cộng.,"(law, of a punishment) Carried out without legal authority."
condense,adjective,ngưng,The water vapor condensed and fell in torrential downpours.,Hơi nước ngưng tụ và mưa trút như thác lũ.,(transitive) To decrease size or volume by concentration toward the essence.
spellbinding,adjective,,Such people will soon become known as “ spellbinders ” and will turn people off.,Những người như vậy sẽ chóng được xem như những kẻ ma mị và khiến người khác quay đi.,"engrossing, fascinating, gaining rapt attention."
ventriloquist,noun,nói tiếng bụng,"Her name was Mary Shaw, the ventriloquist who lost her voice.","Tên bà ta là Mary Shaw, một người nói tiếng bụng , bị mất đi giọng nói","A person, especially an entertainer, who practices ventriloquism."
dramatization,noun,sự bi thảm hoá,It lead to dramatic changes.,Nó dẫn tới những biến đổi sâu sắc .,The act of dramatizing.
archives,verb,cơ quan lưu trữ,The documents were then exhibited at the National Archives .,Tài liệu sau đó được trưng bày tại Cơ quan Lưu trữ Quốc gia.,Plural form of archive.
