word,part_of_speech,meaning,example,example_meaning,definition
duality,noun,tính đối ngẫu,A duality of his kind.,Bản tính đối ngẫu của hắn..,A classification into two subclasses or opposed parts.
efflorescence,noun,sự nở hoa,The Habsburg years also ushered in the Spanish Golden Age of cultural efflorescence .,Những năm của Habsburg cũng là thời đại hoàng kim Tây Ban Nha về sự nở hoa văn hóa.,"(chemistry) The formation of a powdery surface on crystals, as a hydrate is converted to anhydrous form by losing loosely bound water of crystallization to the atmosphere."
balm,verb,nhựa thơm,"Ancient literature frequently mentions the curative and restorative powers of this balm , essentially in connection with the healing of wounds.","Từ lâu, người ta biết nhựa thơm có nhiều công dụng chữa bệnh. Các tài liệu cổ thường đề cập đến tính năng trị bệnh và phục hồi của nhựa thơm , nhất là làm lành vết thương.","Any of various aromatic resins exuded from certain plants, especially trees of the genus Commiphora of Africa, Arabia and India and Myroxylon of South America."
woebegone,adjective,buồn rầu,,,filled with or deeply affected by woe
cessation,noun,sự chấm dứt,"So again, the physical cessation of life is not the same as death.","Vì vậy, một lần nữa, sự chấm dứt theo quy luật tự nhiên của cuộc sống không hề giống như cái chết.","(formal) A ceasing or discontinuance, as of action, whether temporary or final."
whetstone,noun,đá mài,And a mind needs books like a sword needs a whetstone .,Và tâm trí cần cuốn sách cũng như cây kiếm cần đá mài .,"A hard stone or piece of synthetically bonded hard minerals that has been formed with at least one flat surface, used to sharpen or hone an edged tool."
niggardly,adjective,hà tiện,"Upon learning that her husband’s niggardly attitude was going to bring disaster on the household, Abigail decided for herself to take food to David.","Khi biết được thái độ bần tiện của chồng sẽ đem lại điều tai hại cho gia đình, A-bi-ga-in tự quyết định mang lương thực đến cho Đa-vít.","(now rare) Withholding for the sake of meanness; stingy, miserly."
mockery,noun,lời chế nhạo,7 Nehemiah simply ignored the mockery .,7 Nê-hê-mi bỏ ngoài tai lời chế nhạo .,"The action of mocking; ridicule, derision."
jape,verb,nói giễu,"Aw, shut up, you jape .","Ôi, câm miệng đi.",to jest; to play tricks; to jeer
inconstant,adjective,hay thay đổi,"Some have suggested that he appeared to be unsteady, inconstant , vacillating.","Một số người cho rằng dường như ông là người hay thay đổi , dễ dao động.",Not constant; wavering.
carnage,noun,sự tàn sát,But what can justify such carnage ?,Nhưng cái gì sẽ biện minh cho sự tàn sát này?,Death and destruction.
racism,noun,chủ nghĩa phân biệt chủng tộc,"Even today, racism exists in many parts of the world.","Thậm chí ngày nay, chủ nghĩa phân biệt chủng tộc vẫn tồn tại ở nhiều nơi trên thế giới.",The belief that each race has distinct and intrinsic attributes.
trendy,adjective,hợp thời trang,Still trendy and stylish.,Rất hợp thời trang .,"(slang) of, or in accordance with the latest trend, fashion or hype"
extroverted,adjective,,Extroverted women?,Phụ nữ hướng ngoại ?,"Possessing the characteristic property of an extrovert. Outgoing, comfortable in social interactions."
gangster,noun,găngxtơ,"You know, they're gangsters , sure, but they're thoughtful too.","Anh biết không, họ là găngxtơ , hẳn vậy nhưng cũng rất biết nghĩ đấy.",A member of a criminal or street gang.
lullaby,verb,bài hát ru,"It was the first lullaby you ever heard, my son.","Đấy là bài hát ru đầu tiên con nghe, con trai à.",A soothing song to lull children to sleep.
emperor,noun,hoàng đế,The Emperor prayed for the souls of the deceased.,Hoàng đế cầu nguyện cho những linh hồn đã khuất.,The male monarch or ruler of an empire.
emerging,adjective,,It's just for emergencies .,Chỉ là cho trường hợp khẩn cấp thôi.,Becoming prominent; newly formed; emergent; rising.
devoted,adjective,tận tụy,You're very lucky to have such a devoted partner.,Cô rất may mắn khi có một người bạn đời tận tụy thế này.,Vowed; dedicated; consecrated.
politburo,noun,bộ chính trị,"China's highest ruling body, the Politburo , has 25 members.","Cơ quan quyền lực cao nhất của Trung Quốc, Bộ Chính Trị , có 25 thành viên.",The governing council of the Communist Party of the Soviet Union and other Leninist political systems.
glasnost,noun,Glasnost,Relaxation under glasnost resulted in the Communist Party losing its absolute grip on the media.,Sự tự do có được dưới chính sách glasnost dẫn tới việc Đảng Cộng sản mất quyền kiểm soát tuyệt đối với truyền thông.,1980s policy of the Soviet Union under Gorbachev to allow more government transparency
inadvertent,adjective,cẩu thả,"Of communism -- of valuing the society and the state over the individual and squashing, inadvertently , creativity, individual self-expression and innovation.","của Cộng Sản -- của xem trọng nhà nước hơn cá nhân và đè nén, cẩu thả sự sáng tạo, thể hiện cá nhân và sự cải tiến.",not intentional; not on purpose; not conscious
matrimonial,adjective,hôn nhân,"A life in matrimony , the possibility of a family.","Một cuộc sống hôn nhân , khả năng xây dựng gia đình...","A form of advertisement, such as those placed in the classified section of a newspaper or internet, presenting personal information about a person so that they can get married to another individual."
rattle,verb,làm bối rối,( Rattling ),(Tiếng gậy lắc),(onomatopoeia) a sound made by loose objects shaking or vibrating against one another
weep,verb,khóc,"As he sat in my office, he began to weep .","Khi ngồi trong văn phòng tôi, anh bắt đầu khóc .","To cry, shed tears."
spew,verb,chúc nòng,Spew it out.,Nói mau.,(slang) to vomit
half-hearted,adjective,không hăng hái,His heart muscle's half dead.,Cơ tim của ông ấy chết dở rồi.,"Not sincere; lacking full energy, effort, commitment, or resolve."
passion,verb,đam mê,To share one's passion is to live it fully.,Chia sẻ đam mê của ai đó chính là sống thật trọn vẹn với nó.,"Any great, powerful emotion, especially love or hate."
fame,noun,danh tiếng,"Wrestling game me respect, fame but couldn't give me money","Đấu vật cho tôi sự nể trọng, danh tiếng , nhưng không mang lại tiền bạc.","(rare) What is said or reported; gossip, rumour."
rhythmic,adjective,nhịp nhàng,Its rhythmic beauty sometimes moves me to tears.,Vẻ đẹp nhịp nhàng trong câu chữ đôi khi làm tôi rơi nước mắt.,Of or relating to rhythm.
spread,verb,trải,"When that's all spread out, it becomes an iconic image.","Khi được trải dài ra, nó trở thành một hình ảnh biểu tượng.","(transitive) To stretch out, open out (a material etc.) so that it more fully covers a given area of space. [from 13th c.]"
true,adjective,thật,"2:1-3) For centuries thereafter, “the true knowledge” was far from abundant not only among those who knew nothing of the Bible but also among professed Christians.","Trong nhiều thế kỷ sau, cả người không biết Kinh Thánh và người nhận mình là môn đồ Chúa Giê-su đều không có “sự hiểu biết thật ”.",Legitimate.
conceal,verb,giấu,You cannot interfere with this monitoring or auditing and cannot otherwise conceal or obfuscate from Google your Google Ads scripts activity.,Bạn không được can thiệp vào việc giám sát hoặc kiểm tra này và nói cách khác là không được che giấu hoặc làm xáo trộn hoạt động của tập lệnh Google Ads với Google.,"(transitive) To hide something from view or from public knowledge, to try to keep something secret."
universally,adverb,phổ biến,No longer need these universal questions remain unanswered.,Có những giải đáp cho những câu hỏi phổ biến này.,In a universal manner.
essence,noun,bản chất,Ivo said the essence of heroism is to die so that others can live.,Ivo nói bản chất của chủ nghĩa anh hùng là chết để những người khác có thể sống.,The inherent nature of a thing or idea.
mesmerizing,adjective,quyến rũ,"“We witnessed a sunset, which up here is an experience of many hours, with constant changes of mesmerizing colors.","“Chúng tôi chứng kiến cảnh mặt trời lặn, và ở trên đây thì cảnh này kéo dài nhiều giờ, với những màu sắc quyến rũ thay đổi liên tục.",Present participle of mesmerize.
strategic,adjective,chiến lược,Washington views the sea lanes in the area as strategically important .,Washington xem tuyến đường biển trong khu vực có tầm quan trọng về mặt chiến lược .,of or pertaining to strategy
intolerance,noun,sự không khoan dung,"And it's not just in Armenia, just everywhere, this intolerance ."", he said.","Và không chỉ ở Armenia, ở mọi nơi, sự không khoan dung này."", cha nói.",(uncountable) the state of being intolerant
