word,part_of_speech,meaning,example,example_meaning,definition
agnosticism,noun,thuyết bất khả tri,Many people encourage agnosticism or outright atheism.,Nhiều người khuyến khích thuyết bất khả tri hoặc thuyết vô thần trắng trợn.,"The view that absolute truth or ultimate certainty is unattainable, especially regarding knowledge not based on experience or perceivable phenomena."
ahimsa,noun,bất hại,"Chandragupta's grandson Ashoka embraced the Buddhist faith and became a great proselytizer in the line of the traditional Pali canon of Theravada Buddhism, insisting on non-violence to humans and animals ( ahimsa ), and general precepts regulating the life of lay people.","Cháu của Chandragupta Maurya là Ashoka Đại đế chấp đức tin Phật giáo và trở thành một người cải đạo vĩ đại trong giới luật Pali truyền thống của Phật giáo Nguyên thủy, nhấn mạnh vào không bạo lực với con người và các loài động vật (ahimsa - bất hại hay bất sát sinh), và chung giới luật quy định cuộc sống của người dân.","A doctrine of non-violence in Hinduism and Buddhism, concerned with the sacredness of all living things and an effort to avoid causing harm to them."
allah,,thánh A-la,Allah favors the compassionate.,Allah chiếu cố ai biết thương người.,
amish,adjective,người Amish,And Amish .,Và theo đạo Tin lành .,"A strict Anabaptist sect living mainly in Pennsylvania, Ohio and Indiana."
amish sect,noun,giáo phái Amish,,,an orthodox Anabaptist sect separated from the Mennonites in late 17th century; settled chiefly in southeastern Pennsylvania
angel,noun,thiên thần,DO YOU believe that you have a guardian angel ?,BẠN có tin rằng mình có một thiên thần hộ mệnh không?,"A divine and supernatural messenger from a deity, or other divine entity."
anglicanism,,giáo phái Anh,There are also strong Anglican and Moravian communities on the Caribbean coast.,Ngoài ra còn có các cộng đồng giáo phái Anh và Moravian khá đông đảo ở vùng bờ biển Caribe.,
apostle,noun,tông đồ,In the words of the apostle Paul to the Corinthians:,Trích lời của tông đồ Paul trước người Cô-rinh-tô:,"A missionary, or leader of a religious mission, especially one in the early Christian Church (but see Apostle)."
bahaism,proper,đạo Baha,,,The Bahá'í religion.
baptism,noun,lễ rửa tội,The only sacrament he can perform is baptism .,Nghi thức duy nhất mà ông ấy có thể thực hiện là lễ rửa tội .,The Christian sacrament in which one is anointed with or submerged in water and sometimes given a name.
baptize,verb,rửa tội,"If Hitler accepted Jesus into his heart and got baptized , he'd be saved.","Nếu Hitler đón nhận chúa bằng cả trái tim và được rửa tội , hắn sẽ được cứu rỗi.","To sprinkle or pour water over, or to immerse in water, as a spiritual cleansing process in the rite of Christian baptism."
bible,noun,kinh thánh,Many sincere ones have thus heard the good news and have started to study the Bible .,Nhiều người thành thật do đó nghe được tin mừng và đã bắt đầu học hỏi Kinh Thánh .,"A comprehensive manual that describes something. (e.g., handyman’s bible)."
agribusiness,noun,kinh doanh nông nghiệp,The way we got here is because of big agribusiness .,Chúng tôi đến đây là vì nền nông nghiệp kinh doanh lớn.,"big business connected to agriculture, either owning or operating large scale farms, or catering to those who do."
air pollution,noun,Ô nhiễm không khí,The officials are engaged in a battle to reduce air pollution .,Các quan chức đang tham gia vào một chiến dịch để giảm ô nhiễm không khí .,The contamination of the atmosphere by noxious gases and particulates.
