word,part_of_speech,meaning,example,example_meaning,definition,ID
derive,verb,bắt nguồn từ,The fields'circular shape derives from the pipes that irrigate them around a central pivot.,Những cánh đồng hình tròn bắt nguồn từ những đường ống tưới nước quanh một trục ở giữa.,"(transitive, chemistry) To create (a compound) from another by means of a reaction.",5746
display,verb,trưng bày,It is being kept at the institute and is not on display .,Nó được giữ lại ở viện và không được trưng bày .,A show or spectacle.,5747
exemplify,verb,làm thí dụ cho,Dignity Exemplified,Phẩm giá được tiêu biểu,(transitive) To show or illustrate by example.,5748
formulate,verb,làm thành công thức,And how is he able to formulate the connection?,Và hắn giao tiếp với khí gas bằng cách nào chứ?,"(transitive) To reduce to, or express in, a formula; to put in a clear and definite form of statement or expression.",5749
obvious,adjective,hiển nhiên,"I know it's obvious , but it always strikes me.","Em biết, hiển nhiên là nó luôn chống lại em.","Easily discovered, seen, or understood; self-explanatory.",5750
proficient,adjective,thành thạo,Green means the student's already proficient .,Màu xanh lá cây có nghĩa là học sinh đã đạt đến trình độ thành thạo .,"Good at; skilled; fluent; practiced, especially in relation to a task or skill.",5751
respond,verb,hưởng ứng,People of All Sorts Respond,Đủ mọi loại người hưởng ứng,(transitive or intransitive) To say something in return; to answer; to reply.,5752
caution,verb,cảnh cáo,May I extend a word of caution ?,Tôi xin được đưa ra một lời cảnh cáo .,Precept or warning against evil or danger of any kind; exhortation to wariness; advice; injunction.,5753
critical,adjective,phê phán,The policy of the government was criticized by the opposition party.,Chính sách của chính phủ bị phê phán bởi đảng đối lập.,Inclined to find fault or criticize; fastidious; captious; censorious; exacting.,5754
impair,adjective,làm sút kém,Many were impaired with psychological trauma.,Nhiều người được đưa đến bệnh viện tâm thần do chấn thương tâm lý quá nặng.,to weaken; to affect negatively; to have a diminishing effect on.,5755
intrinsic,adjective,bên trong,The Tokugawa did not eventually collapse simply because of intrinsic failures.,Nhà Tokugawa cuối cùng sụp đổ đơn giản vì những thất bại tự bên trong .,"innate, inherent, inseparable from the thing itself, essential",5756
acceptable,adjective,chấp nhận được,If this can be done then the exchange of knights is acceptable for the stronger side.,Nếu làm được điều này thì đổi Mã là việc chấp nhận được đối với bên mạnh.,"Capable, worthy, or sure of being accepted or received with pleasure; pleasing to a receiver; gratifying; agreeable; welcome; as, an acceptable present, one acceptable to us.",5757
conceivable,adjective,có thể hiểu được,"Words to cover every conceivable sexual feature,","Những từ ngữ để giải thích tất cả những đặc điểm có thể hiểu được về tình dục,",Capable of being conceived or imagined; possible; credible; thinkable.,5758
consecutive,adjective,liên tiếp,They have several consecutive quarters of record profits and revenues .,Họ có lợi nhuận và doanh thu cao kỷ lục trong một vài quý liên tiếp .,"following, in succession, without interruption",5759
distribute,verb,phân phát,"In one month, they distributed 229 copies.","Trong vòng một tháng, họ đã phân phát được 229 tạp chí.",(transitive) To divide into portions and dispense.,5760
estimate,verb,đánh giá,"The latest estimate I got was two to three hours, maybe sooner.","Theo như đánh giá thì sẽ mất hai đến ba tiếng nữa, có thể sớm hơn.",A rough calculation or guess.,5761
initiate,adjective,khai tâm,All Dauntless initiates ... report to your command leader.,"Mọi Khai Tâm Dauntless, hãy tập trung tại vị trí của thủ lĩnh.",A new member of an organization.,5762
nevertheless,adverb,tuy nhiên,"Nevertheless , we must let go of our grievances.","Tuy nhiên , chúng ta cần phải từ bỏ những nỗi bất bình của mình.",(conjunctive) In spite of what preceded; yet.,5763
augment,verb,tăng thêm,in order to augment its information processing.,nhằm để tăng thêm tính xử lý thông tin bộ não.,(transitive) To increase; to make larger or supplement.,5764
chiefly,adjective,chủ yếu,The theoretical foundations of the coordination are based chiefly on the contract theory.,Các nền tảng lý thuyết của sự phối hợp chủ yếu dựa trên lý thuyết hợp đồng.,(focus) especially or primarily; above all,5765
correspond,verb,xứng,"The authors argue that the geographic relationship of the Sphinx, the Giza pyramids and the Nile directly corresponds with Leo, Orion and the Milky Way respectively.","Hai tác giả cho rằng mối quan hệ về mặt địa lý giữa tượng Nhân sư, các kim tự tháp Giza và sông Nile tương xứng trực tiếp lần lượt với các chòm sao Sư Tử, Lạp Hộ và dải Ngân Hà.","(intransitive, construed withto) to be equivalent or similar in character, quantity, quality, origin, structure, function etc.",5766
designate,adjective,định rõ,This designated time is to be with our families.,Thời gian được định rõ này là phải sinh hoạt cùng với gia đình mình.,Designated; appointed; chosen.,5767
integral,adjective,nguyên,"You know, it's important to have some kind of personal integrity .",Giữ được bản thân nguyên vẹn là rất quan trọng.,"(mathematics) Of, pertaining to, or being an integer.",5768
legitimate,adjective,chính đáng,He is also the Source of all legitimate authority.,Ngài cũng là nguồn của mọi uy quyền chính đáng .,In accordance with the law or established legal forms and requirements; lawful.,5769
magnitude,noun,tầm quan trọng,The latest success is older by a significant order of magnitude .,Thành công mới nhất có tầm quan trọng to lớn về mặt thời gian .,"The absolute or relative size, extent or importance of something.",5770
opposition,noun,đối lập,"(French) Laura Pollán, 63, Cuban opposition leader, founder of the Ladies in White, cardiorespiratory arrest.","Laura Pollán, 63, nhà lãnh đạo đối lập Cuba, sáng lập Ladies in White, tim ngưng đập.",(astronomy) The apparent relative position of two celestial bodies when one is at an angle of 180 degrees from the other as seen from the Earth.,5771
persistent,adjective,dai dẳng,"The voice of the world is loud, unrelenting, persuasive, and persistent .","Tiếng nói của thế gian rất to, không ngừng, có sức thuyết phục, và dai dẳng .",Obstinately refusing to give up or let go.,5772
credible,adjective,tin được,Is this scenario credible ?,Tình huống này có tin được không?,Believable or plausible.,5773
enormous,adjective,rất lớn,"The benefits of doing so are enormous , the risks minimal.","Lợi ích của điều này rất lớn , trong khi rủi ro lại thấp.","(obsolete) Deviating from the norm; unusual, extraordinary.",5774
motivate,verb,thúc đẩy,"What, then, should motivate them to make the decision to get baptized?",Thế thì điều gì thúc đẩy họ quyết định làm báp têm?,(transitive) To provide someone with an incentive to do something; to encourage.,5775
network,noun,mạng lưới,The Internet is a network of networks .,Internet là mạng lưới của những mạng lưới .,A fabric or structure of fibrous elements attached to each other at regular intervals.,5776
application,noun,đơn xin,Your application for a handicap space says you can walk 50 yards.,Đơn xin chỗ gửi xe cho người tàn tật nói anh đi bộ được 45 mét.,"The act of applying or laying on, in a literal sense; as, the application of emollients to a diseased limb.",5777
disruptive,adjective,đánh thủng,What about kinetic energy disruption ?,Thế còn đánh thủng năng lượng bằng động học?,Causing disrupt or unrest.,5778
isolated,adjective,cô lập,We take it back to Geneva for taxonomy and isolation .,"Chúng tôi sẽ mang nó trở lại Geneva để kiểm tra, cô lập nó.",Placed or standing apart or alone; in isolation.,5779
perceive,verb,thấy,And I perceive that thy mind has been cworried also concerning this thing.,"Và cha nhận thấy rằng, tâm trí con cũng đang băn khoăn về việc đó.","To see, to be aware of, to understand.",5780
classify,verb,phân loại,"In the past, most molds were classified within the Deuteromycota.","Trong quá khứ, hầu hết các loại mốc đều được phân loại vào Deuteromycota.",To identify by or divide into classes; to categorize,5781
discrepancy,noun,sự khác nhau,"And I allowed discrepancies between men and women in operating budgets,","Và tôi cho phép sự khác nhau giữa nam và nữ trong việc phân bố ngân sách,",An inconsistency between facts or sentiments.,5782
