word,part_of_speech,meaning,example,example_meaning,definition
blaspheme,verb,báng bổ,But this one is certainly blasphemous .,Nhưng cái này rõ ràng là báng bổ .,Things said against the Church or God.
instrumental,adjective,cách công cụ,We play musical instruments .,Ta chơi các loại nhạc cụ,Acting as an instrument; serving as a means; contributing to promote; conductive; helpful; serviceable; essential or central.
backlog,verb,công việc đổ dồn,We're through 15% of the backlog .,Chúng tôi đã hoàn thành 15% công việc .,"An accumulation or buildup, especially of unfilled orders or unfinished work"
therapeutic,adjective,phép chữa bệnh,"Therapeutic trial, to find the cause of the infection.",Phép chữa bệnh thử để tìm ra nguyên nhân gây viêm nhiễm.,"Of, or relating to therapy."
figuratively,adverb,theo nghĩa bóng,How you figure that?,Sao anh lại nghĩ thế?,(manner) In a figurative manner.
potpourri,noun,Potpourri,Monica's going to make potpourri .,Monica sẽ làm hoa trang trí .,"A collection of various things; an assortment, mixed bag or motley."
prenatal,adjective,trước khi sinh,Prenatal ?,Dưỡng thai ?,Being or happening before birth.
sonogram,verb,,Sonogram .,Máy siêu âm .,a spectrogram
bento,noun,Bentō,The bento is ready.,Đã có cơm bento .,a Japanese takeaway lunch served in a box
fiduciary,adjective,người được uỷ thác,"In most states this creates, under common law, an agency relationship with fiduciary obligations.","Trong hầu hết các tiểu bang theo thông luật, điều này tạo ra mối quan hệ đại lý với nghĩa vụ ủy thác .",(law) One who holds a thing in trust for another; a trustee.
stagnate,verb,đình trệ,"We are stagnating , we are stagnating in so many ways.","Chúng ta đang đình trệ , chúng ta trì trệ theo nhiều cách.","To cease motion, activity, or progress; to come to rest; to cease to advance or change; to become idle or cease to flow."
narcotic,noun,thuốc mê,The treatments involve narcotics and escalating hydrotherapy.,Những điều trị này liên quan đến thuốc mê và gia tăng thủy liệu pháp.,Inducing sleep; causing narcosis.
clement,adjective,nhân từ,I think his name's Clement .,Tôi nhớ tên ổng là Clement .,Lenient or merciful; charitable.
remunerate,verb,trả công,The remuneration is much cheaper.,Tiền công rẻ hơn bên đây nhiều.,To compensate; to pay.
discretionary,adjective,tuỳ ý mình,The funding is discretionary .,Việc cấp vốn là một vấn đề linh hoạt .,"Available at one's discretion; able to be used as one chooses; left to or regulated by one's own discretion or judgment. e.g., discretionary income, discretionary powers."
ipso facto,adverb,,Ipso facto .,Là thật. ( Ipso facto ),By that very fact itself. Compare: eo ipso.The Oxford English Dictionary (2007)
redound,verb,dội lại,"Erasmus: The advantages derived from peace diffuse themselves far and wide, and reach great numbers, while in war, if anything turns out happily, the advantage redounds only to a few, and those unworthy of reaping it.","khuyến đại ảnh hưởng xa rộng đến số lượng lớn con người, trong thời chiến, nếu sự kiện hoà bình nào xảy ra lợi ích về tay số ít, số ít không xứng đáng với lợi ích đó.","To result in, to contribute (to a specified situation or consequence)."
injudicious,adjective,tếu,Not an injudicious thing to do.,Rất có lý.,Showing poor judgement; not well judged.
litigate,verb,kiện,We were satisfied with the outcome of the litigation .,Chúng tôi hài lòng với kết quả của vụ kiện ấy?,"(intransitive, construed withon) To go to law."
changeling,noun,người hay đổi tính,The Changeling .,Quỷ Biến Hình .,"(mythology) In British, Irish and Scandinavian mythology, an infant of a fairy, sprite or troll that the creature has secretly exchanged for a human infant."
parlous,adjective,cực kỳ,A bump as big as a young cockerel's stone; A parlous knock; and it cried bitterly.,"Một vết sưng lớn như một hòn đá gà trống non trẻ, gõ tinh ranh, và nó khóc như mưa.",Attended with peril; dangerous; risky.
casement,noun,cửa sổ,To the far right (east) is a pair of small casements .,Dẽ cổ đỏ (danh pháp hai phần: Phalaropus lobatus) là loài dẽ nhỏ thuộc họ Dẽ .,a window sash that is hinged on the side and opens outward
transfigure,verb,biến hình,Transfiguration,Biến Hình,"To transform the outward appearance of something; to convert into a different form, state or substance."
eunuch,noun,hoạn quan,The eunuchs lived outside the Harem,Các hoạn quan sống phía ngoài Hậu cung.,A castrated human male.
corpus,noun,thể,Most people who have had their corpus collosum cut appear normal afterwards .,Hầu hết những người được phẫu thuật cắt thể chai đều có vẻ bình thường sau đó .,the body
corpuscle,noun,hạt,Vater-Pacini corpuscles are present.,Tiểu thể Vater-Pacini có mặt.,A minute particle; an atom; a molecule.
corset,noun,coóc-xê,Does this corset flatter me?,Chiếc coóc - xê này có khiến em đẹp hơn không?,"A woman's foundation garment, reinforced with stays, that supports the waistline, hips and bust."
psyche,noun,linh hồn,"It's bad, "" Amor and Psyche "" is, master.",""" Tình Yêu và Linh Hồn "" đó không tốt, ông chủ.","The human soul, mind, or spirit."
psychoanalysis,noun,phân tâm học,Psychoanalysis doesn't recognize the boo-boo as such.,Phân tâm học không nhận ra cái gì gọi là tào lao.,(psychoanalysis) a family of psychological theories and methods within the field of psychotherapy that work to find connections among patients' unconscious mental processes
psychotherapy,noun,tâm lý trị liệu,Psychotherapy may improve outcomes.,Tâm lý trị liệu có thể tăng tính hiệu quả.,The treatment of people diagnosed with mental and emotional disorders using dialogue and a variety of psychological techniques.
psychotic,adjective,loạn tinh thần,Except he's seeking them out now o because psychotics in a break always devolve.,Vì cơn loạn tinh thần luôn tích tụ lại.,"Of, related to, or suffering from psychosis."
psychokinesis,noun,Psychokinesis,"We're going to try an experiment in psychokinesis , right now.",Chúng ta sẽ thử một cuộc thí nghiệm siêu năng lực ngay bây giờ.,(parapsychology) The controlled movement of an inanimate object by the use of psychic powers. Abbreviated asPK.
psychoactive,adjective,,And we believe he's abusing them as psychoactive inhalants.,Và chúng tôi tin hắn lạm dụng chúng như thuốc hít thần kinh.,(pharmacology) Affecting the mind or mental processes.
ossiferous,adjective,,,,containing or yielding bone
ossuary,noun,bình đựng hài cốt,What is an ossuary ?,Cái tiểu là gì?,"A container or receptacle, such as an urn or vault, for holding the bones of the dead."
ossicle,noun,xương nhỏ,The eardrum separates the outer ear from the middle ear and the ossicles .,Màng nhĩ tách tai ngoài khỏi tai giữa và các xương nhỏ trong tai .,"(anatomy) A small bone (or bony structure), especially one of the three of the middle ear."
osteoclast,noun,,"Osteoclasts are very active in kids and teens , working on bone as it is remodeled during growth .","Các tế bào huỷ xương này gây ảnh hưởng rất lớn đối với trẻ nhỏ và thanh thiếu niên , tác động đến xương khi xương được hoàn thiện trong quá trình phát triển của trẻ .",(physiology) A large multinuclear cell associated with the resorption of bone
osteoarthritis,noun,viêm xương khớp,The symptoms of osteoarthritis tend to develop slowly .,Các triệu chứng của viêm xương khớp mãn tính thường phát triển từ từ .,"(pathology) A form of arthritis, affecting mainly older people, caused by chronic degeneration of the cartilage and synovial membrane of the joints, leading to pain and stiffness."
