word,part_of_speech,meaning,example,example_meaning,definition,ID
musty,adjective,mốc,They smell musty .,"Ngửi có mùi ẩm mốc ,",Having a stale odor.,1433
archaeology,noun,khảo cổ học,Archaeological evidence suggests agriculturist society developed during the 4th millennium BC.,Bằng chứng khảo cổ học cho thấy xã hội nông nghiệp phát triển trong thiên niên kỷ 4 TCN.,"The study of the past through material remains. Often focused upon the life and culture of ancient peoples, but also applied to the more recent past. In American usage, one of the four sub-disciplines of anthropology.",1434
plummet,verb,lao thẳng xuống,"The two are sent flying and crashing through the record building, Perry using the PFT tape to latch himself safely on a flag pole in the resulting free fall, while Doofenshmirtz plummets to the ground, landing on top of a mattress placed on top of a parked truck.","Hai được gửi bay và đâm qua tòa nhà ghi lại, Perry sử dụng băng PFT bám mình một cách an toàn trên một cột cờ, trong khi Doofenshmirtz lao thẳng xuống mặt đất, hạ cánh trên một tấm nệm đặt trên một xe tải đậu (""Phù!","(archaic) A piece of lead attached to a line, used in sounding the depth of water.",1435
invert,adjective,đảo ngược,"By 2050, it’s going to be a column and will start to invert .","Trước năm 2050, biểu đồ sẽ trở thành một cột và bắt đầu đảo ngược .",(transitive) To turn (something) upside down or inside out.,1436
trivial,adjective,tầm thường,"In the case of binary alphabets, only trivial MDS codes exist.","Trong trường hợp bảng chữ cái nhị phân, chỉ có các mã MDS tầm thường .",Of little significance or value.,1437
cosmos,noun,vũ trụ,A Little Boy in Awe of the Cosmos,Một cậu bé thán phục trước vũ trụ,Any of various mostly Mexican herbs of the genus Cosmos having radiate heads of variously coloured flowers and pinnate leaves,1438
cultivate,verb,trồng trọt,"The Simien region has been inhabited and cultivated for at least 2,000 years.",Vùng Simien là nơi sinh sống và trồng trọt trong ít nhất 2.000 năm.,To turn or stir soil in preparation for planting.,1439
exert,verb,dùng,"We need to pull the molecules of the brain apart from each other, and to do that, we need to have a little handle that allows those polymers to bind to them and to exert their force.","Chúng ta cần kéo những phân tử của não rời nhau ra, và để làm điều đó, chúng ta cần có một cái tay cầm nhỏ cho phép những phân tử polymer này kết với chúng và cho phép dùng lực kéo của chúng.","to make use of, to apply, especially of something non-material",1440
daft,adjective,ngớ ngẩn,Don't be daft .,Đừng ngớ ngẩn vậy.,"insane, mad",1441
truce,noun,đình chiến,"By the end of October in 1651, a truce had been reached between brother and sister.","Đến cuối tháng 10 năm 1651, có một cuộc đình chiến giữa hai anh em.",a period of time in which no fighting takes place due to an agreement between the opposed parties,1442
tarp,verb,tấm bạt,What do you got under that tarp ?,Anh lấy cái gì dưới tấm vải nhựa đó thế?,Short form of tarpaulin.,1443
starboard,verb,mạn tàu,Go to the starboard observation point behind the F-16 and here's what you do.,Hãy tới tới điểm quan sát ở mạn tàu sau chiếc F-16 và đây là việc anh sẽ làm.,"The right hand side of a ship, boat or aircraft when facing the front, or fore or bow. Starboard does not change based on the orientation of the person aboard the craft.",1444
eon,noun,niên kỷ,"Through eons of time, Lucifer has honed his craft.","Qua nhiều thời kỳ, Lu Xi Phe đã rèn luyện mánh khóe của nó.",(US) Eternity.,1445
predicament,noun,tình thế khó khăn,How can he save himself from his predicament ?,Bằng cách nào người ấy có thể tự cứu mình ra khỏi tình thế khó khăn đó?,"A definite class, state or condition.",1446
draft,noun,nháp,"Before you’re able to run a test of your rules, you must create a draft of your rules.","Trước khi thử nghiệm quy tắc, bạn phải tạo một bản nháp quy tắc.",An early version of a written work,1447
pleasantry,noun,lời pha trò,"After a hug and a few pleasantries , he looked into the backseat of the car and saw three Jackson Lake Lodge towels—the kind you cannot buy.","Sau một cái ôm và một vài lời pha trò , ông nhìn vào cái ghế sau của chiếc xe và thấy ba cái khăn lông của Jackson Lake Lodge—loại khăn lông mà ta không thể mua được.","A casual, courteous remark",1448
linoleum,noun,vải sơn lót sàn,Why's that linoleum peeling up?,Sao vải lót sàn lại bị lột lên thế này?,"An inexpensive waterproof covering used especially for floors, made from solidified linseed oil over a burlap or canvas backing, or from its modern replacement, polyvinyl chloride.",1449
polio,noun,bệnh bại liệt,"Twenty years later, they succeeded and developed the polio vaccine.",Và phát triển một loại vắc xin phòng bệnh bại liệt .,Abbreviation of poliomyelitis,1450
chafe,verb,trầy,"Lot of dead skin, chafing .","Nhiều vùng da chết, trầy xước.",Injury or wear caused by friction.,1451
emerge,verb,nổi lên,Uruguayan rock first emerged in Uruguay in the 1950s.,Nhạc rock Uruguay bắt đầu nổi lên ở Uruguay vào thập niên 1950.,(intransitive) To come into view.,1452
callus,noun,chai,"And by the end of this my arm is sore, I've got a callus on my hand,","Và khi xong rồi thì cánh tay tôi vô cùng đau nhức, bàn tay tôi lên vết chai sần.","A hardened area of the skin (especially on the foot or hand) caused by repeated friction, wear or use.",1453
wary,adjective,cảnh giác,You are a younger man but you must learn to be wary of a man like me.,Anh là một chàng trai trẻ nhưng anh phải học cách cảnh giác với người như tôi.,"Cautious of danger; carefully watching and guarding against deception, artifices, and dangers; timorously or suspiciously prudent; circumspect; scrupulous; careful.",1454
prognosis,noun,chẩn đoán,"Generally speaking, the earlier the cancer is diagnosed, the better the prognosis .","Nói chung, ung thư được chẩn đoán càng sớm, tiên lượng càng tốt.","(medicine) A forecast of the future course of a disease or disorder, based on medical knowledge.",1455
antiseptic,adjective,chất khử trùng,The classic breath freshener and powerful antiseptic can also do a number on blisters .,Chất làm thơm mát hơi thở cổ điển - và chất khử trùng mạnh - cũng có thể rất hiệu quả khi bị bỏng giộp .,"Of, or relating to antisepsis, or the use of antiseptics.",1456
newfangled,adjective,mới lạ,"Don't have money for books, but got money for this newfangled ...","Không có tiền cho sách, nhưng có tiền cho thứ mới lạ này....","(usually derogatory or humorous) Contemptibly modern, unfamiliar, or different.",1457
ambush,verb,mai phục,"4 He gave them this command: “See, you are to lie in ambush behind the city.","4 Ông ra lệnh cho họ: “Này, anh em sẽ nằm mai phục phía sau thành.",The act of concealing yourself and lying in wait to attack by surprise.,1458
bewilder,Verb,làm bối rối,The choice of available music is bewildering .,Lựa chọn âm nhạc là điều làm bối rối .,"(transitive) To confuse, puzzle or befuddle someone, especially with many different things.",1459
dread,adjective,sự khiếp sợ,"Now, 30 years later, he still suffered from constant nightmares and feelings of dread .","Giờ đây đã hơn 30 năm, ông vẫn còn bị những cơn ác mộng và sự khiếp sợ ám ảnh dai dẳng.",To fear greatly.,1460
smolder,verb,cháy âm ỉ,I left the smoldering rubble and went to find Beny.,Tôi rời bỏ đống gạch vụn đang cháy âm ỉ và đi tìm Beny.,"(intransitive, US) To burn with no flame and little smoke.",1461
hobble,verb,đi khập khiễng,"Had you struck bone, it might have hobbled him.",Anh đã bắn vào xương nên có thể hắn ta sẽ phải đi khập khiễng đấy.,"Short straps tied between the legs of unfenced horses, allowing them to wander short distances but preventing them from running off.",1462
