word,part_of_speech,meaning,example,example_meaning,definition
tree,verb,Cây,A tree that can bend with the wind is more likely to survive a storm.,Một cái cây có thể cong lại trước cơn gió thì dễ sống sót hơn khi gặp bão.,"A large plant, not exactly defined, but typically over four meters in height, a single trunk which grows in girth with age and branches (which also grow in circumference with age)."
edge,noun,cạnh,The crater Dubyago can be seen on the southern edge of the mare.,Hố trũng Dubyago có thể nhìn thấy ở cạnh phía nam của biển này.,The boundary line of a surface.
isle,noun,đảo,"Known as the unofficial national anthem of the Isle of Man, the brothers performed the song during their world tour to reflect their pride in the place of their birth.","Bài hát này được biết đến như là quốc ca không chính thức của Đảo Man, và ban nhạc trình diễn bài hát này trong tour lưu diễn trên toàn thế giới để phản ánh niềm tự hào của họ về nơi ba anh em đã được sinh ra.",(obsolete or poetic) An island.
echo,verb,tiếng vang,"Besides, the strength of a sonar echo is directly proportional to the size of a ship.","Vả lại, tiếng vang của thiết bị phát tín hiệu sẽ phụ thuộc vào độ lớn của tàu.",A reflected sound that is heard again by its initial observer.
alto,noun,giọng nữ trầm,"It takes variety—sopranos and altos , baritones and basses—to make rich music.","Để tạo ra được âm nhạc phong phú, phải có nhiều giọng ca khác nhau—giọng nữ cao và giọng nữ trầm , giọng nam cao và giọng nam trầm.","A musical part or section higher than tenor and lower than soprano, formerly the part that performed a countermelody above the tenor or main melody."
oboe,noun,kèn ôboa,You don't play the oboe .,Ông có biết thổi kèn ôboa đâu.,A soprano and melody wind instrument in the modern orchestra and wind ensemble. It is a smaller instrument and generally made of grendilla wood. It is a member of the double reed family.
stir,verb,khuấy,"CAPULET Tush, I will stir about,","Capulet tush, tôi sẽ khuấy ,","(transitive, dated) To change the place of in any manner; to move."
ache,verb,nhức,""" It causes fatigue , it can cause headaches , neck ache , back ache and it can cause things like diplopia or double vision and intermittent blur vision "" .",""" Hội chứng này gây ra tình trạng mệt mỏi , nhức đầu , đau cổ , đau lưng và nó có thể gây ra một vài biến chứng đại loại như nhìn một thành hai và mắt mờ không liên tục "" .","(intransitive) To suffer pain; to be the source of, or be in, pain, especially continued dull pain; to be distressed."
item,noun,món,"Throw out loose candy , spoiled items , and any homemade treats that have n't been made by someone you know .","Hãy vứt bỏ đi những món bị hư , kẹo có vỏ gói không chặt và bất cứ món gì làm bằng tay của một người nào đó mà bạn không quen biết .",A distinct physical object.
neat,adjective,gọn gàng,Be clean and neat and orderly.,"Hãy thanh sạch, trang nhã, và gọn gàng .",(archaic) A bull or cow (singular of cattle)
arena,noun,vũ đài,You go in the arena and you kill me.,đi trong vũ đài và giết chết tôi và anh ta.,"An enclosed area, often outdoor, for the presentation of sporting events (sports arena) or other spectacular events; earthen area, often oval, specifically for rodeos (N. America) or circular area for bullfights (especially Hispanic America)."
erase,verb,xóa,A memory can be erased only so many times.,Ký ức có thể bị xóa đi xóa lại nhiều lần.,(transitive) to remove markings or information
enter,verb,vào,He breathed deeply before entering his boss's office.,Anh ta hít một hơi thật sâu trước khi bước vào phòng của sếp.,(transitive) To type (something) into a computer; to input
opera,noun,ca kịch,"At the beginning of the 20th century, Nellie Melba was one of the world's leading opera singers.","Vào đầu thế kỷ XX, Nellie Melba là một trong số các ca sĩ ca kịch hàng đầu thế giới.","(music) A theatrical work combining drama, music, song and sometimes dance."
alien,noun,người nước ngoài,"After that, local people were favored for employment over aliens .","Sau đó, người dân trong nước được ưu tiên hơn người nước ngoài khi tìm việc làm.","A person, animal, plant, or other thing which is from outside the family, group, organization, or territory under consideration."
alone,adverb,một mình,My brother is big enough to travel alone .,Anh của tôi đủ lớn để đi du lịch một mình .,"By one's self, solitary."
adore,verb,quý mến,And he adores you too.,Và hắn cũng quý mến cô.,To worship.
email,noun,thư điện tử,I just wanted to check my email .,Tôi chỉ muốn kiểm tra hòm thư điện tử thôi.,Alternative spelling of e-mail.
orate,adjective,diễn thuyết,My father deemed himself an orator .,Cha tôi thì tự cho mình là một nhà diễn thuyết,To speak formally; to give a speech.
ocean,noun,đại dương,I would also like to see the ocean .,Tôi cũng muốn nhìn thấy đại dương .,One of the five large bodies of water separating the continents.
asset,noun,tài sản,We can protect your assets .,Ta có thể bảo vệ tài sản của các người.,Something or someone of any value; any portion of one's property or effects so considered.
otter,noun,rái cá,"Oh, look at those otter eyes.","Oh, nhìn vào đôi mắt rái cá kia.","Any aquatic or marine carnivorous mammal, member of the family Mustelidae, which also includes weasels, polecats, badgers, and others."
error,noun,lỗi,Everybody laughed at his error .,Mọi người đều cười vào lỗi anh ấy mắc phải.,"(computing) To function improperly due to an error, especially accompanied by error message."
aorta,noun,động mạch chủ,"It's near your aorta , so getting that sample carries serious risks.",Nó ở gần động mạch chủ nên việc lấy mẫu khá là nguy hiểm.,(anatomy) The great artery which carries the blood from the heart to all parts of the body except the lungs; the main trunk of the arterial system.
steer,verb,lái,But who will these states be steered by ?,Thế nhưng liệu ai sẽ lái hướng đi cho các bang này ?,"The castrated male of cattle, especially one raised for beef production."
agent,noun,người đại lý,"That guy I was meeting in the parking lot is Thor Svenson, my travel agent .",Gã trong bãi đậu xe là người đại lý du lịch của tôi!,"One who exerts power, or has the power to act; an actor."
omaha,noun,,"Neither was Omaha Beach, blondie.","Bãi biển Omaha cũng vậy, anh chàng tóc vàng ạ.","The largest city in the state of Nebraska, United States."
unite,verb,đoàn kết,The whole family's gotta put up a united front for Ig.,Cả gia đình cần phải đoàn kết lại vì Ig.,To come or bring together as one.
easel,noun,giá vẽ,"With the development of easel painting in the Renaissance, painting gained independence from architecture.","Với sự phát triển của vẽ bức tranh trong thời phục Hưng, bức tranh giành độc lập từ kiến trúc.","An upright frame, typically on three legs, for displaying or supporting something, such as an artist’s canvas."
aloha,noun,Aloha,"Well, say "" aloha "" to it.","Vậy thì nói "" Aloha "" đi.",Expressing good wishes when greeting or parting from someone; hello; goodbye. [from 19th c.]
altimeter,noun,cao kế,"a GPS, a compass, a barometric altimeter","một GPS, một la bàn và một cao kế khí áp",An apparatus for measuring altitude.
collage,verb,nghệ thuật cắt dán,"is known for her digital collages ,","nổi tiếng bởi nghệ thuật cắt dán ảnh số của cô,",A picture made by sticking other pictures onto a surface.
marauder,noun,kẻ cướp,"If a person went outside the gate when bandits and marauders were roaming about, he could be robbed or killed.","Nếu đi ra ngoài thành khi có kẻ cướp , người đó có thể bị cướp hoặc bị giết.",Someone who moves about in roving fashion looking for plunder. (e.g. a band of marauders)
briny,adjective,mặn,""" Briny future for vulnerable Malta"".",Ngày 3 tháng 3 năm 2009. ^ “ Briny future for vulnerable Malta”.,"Of, pertaining to, resembling or containing brine; salty"
