word,part_of_speech,meaning,example,example_meaning,definition
low tide,noun,triều thấp,"A tidal pool in the intertidal zone during low tide , Sunrise-on-Sea, South Africa.","Một bể thủy triều ở vùng gian triều khi triều thấp , Sunrise-on-Sea, Nam Phi.",The tide at its lowest level for a particular tidal cycle at a certain place.
mediator,noun,người dàn xếp,Because King Faisal established a system in which the king was the final mediator in family problems.,Do Quốc vương Faisal lập ra một hệ thống mà trong đó quốc vương là người dàn xếp cuối cùng trong các vấn đề gia tộc.,One who negotiates between parties seeking mutual agreement.
auditor,noun,kiểm toán viên,Masahiro Gennaka serves as Full-Time Statutory Auditor .,Masahiro Gennaka là Kiểm toán viên toàn thời gian theo luật định.,One who audits bookkeeping accounts.
vouchsafe,verb,chiếu cố,Surrender lawfully and I will personally vouchsafe your fair treatment.,"Hãy đầu hàng và đích thân tôi sẽ chiếu cố , đối xử với anh công bằng.","To graciously give, to condescendingly grant a right, benefit, outcome, etc.; to deign to acknowledge."
atelier,noun,xưởng,"He worked with Elsa Schiaparelli until he became head of Christian Dior's tailleure atelier in 1947, but was denied work at Balenciaga.","Sau đó ông làm việc với Elsa Schiaparelli cho đến khi ông trở thành người đứng đầu của xưởng may của Christian Dior năm 1947, nhưng ông đã từ chối công việc tại Balenciaga.","A workshop or studio especially for an artist, designer or fashion house."
witticism,noun,lời nói dí dỏm,"These inspired a little witticism on Father’s part: “Let those other wise men live in their own folly,” he said.",Chúng tạo cảm hứng cho lời nói dí dỏm của bố: “Hãy để những kẻ khôn ngoan đó sống trong sự ngốc nghếch của họ.”,a witty remark
sally,verb,cuộc đi chơi,"Oh, my God, Sally .","Ôi, Chúa ơi, Sally .",A willow
parch,verb,cháy,Then he sent “a parching east wind” until Jonah began “swooning away” from the heat.,"Rồi Ngài khiến cơn “gió cháy thổi từ phương đông” đến, Giô-na “ngất đi” vì sức nóng.","(transitive) To burn the surface of, to scorch."
betrothal,noun,đính hôn,Dr. Zhivago is betrothed in marriage to...,Bác sĩ Zhivago đã đính hôn với...,"The act of betrothing, or the fact of being betrothed; a mutual promise, engagement, or contract for a future marriage between the persons betrothed; betrothment; affiance."
whorl,verb,vòng xoắn,"The staminate flowers are mostly longer and thinner than the pistillate flowers, with 17-32 glabrous stamens in four whorls .","Hoa đực nói chung dài hơn nhưng mảnh dẻ hơn hoa cái, với 17-32 nhị hoa không lông xếp thành 4 vòng xoắn .",A pattern of concentric circles.
