word,part_of_speech,meaning,example,example_meaning,definition,ID
vintage,adjective,cổ điển,"His coat was lamb's wool, but it didn't look vintage .","Áo khoác của nó là len cừu, nhưng nó không cổ điển .","(attributive) of or relating to a vintage, or to wine identified by a specific vintage",7176
monocle,noun,kính một mắt,"I mean, he's got the monocle , he's got the top hat....","Ông ta có kính một mắt , có mũ chóp cao...","a single lens, usually in a wire frame, and used to correct vision for only one eye",7177
wither,verb,khô héo,And of a son of man who will wither like green grass?,Và sợ con người là kẻ khô héo khác nào cỏ xanh?,"(obsolete or chiefly in compounds) Against, in opposition to.",7178
punctuality,noun,sự đúng giờ,15 min: “ Punctuality and You.”,15 phút: “ Sự đúng giờ và bạn”.,The state of being punctual,7179
turnpike,verb,cổng thu thuế,"""Early Anime Site 'Anime Web Turnpike ' Goes Offline"".",Truy cập ngày 21 tháng 8 năm 2009. ^ “Early Anime Site 'Anime Web Turnpike' Goes Offline”.,"(US) A toll road, especially a toll expressway.",7180
hyperventilate,verb,tăng hơi thở,Attila doesn't hyperventilate .,Attila không bị hoảng loạn .,To breathe quickly and deeply,7181
diversion,noun,trò giải trí,Provider of any and all entertainments and diversions .,Người cung cấp tất cả các trò giải trí ... và tiêu khiển ở đây.,(military) A tactic used to draw attention away from the real threat or action.,7182
podiatrist,noun,y só chuyeân khoa chöõa trò baøn chaân,If only I were a podiatrist .,Nếu tôi là chuyên gia về bệnh chân .,(medicine) A health care practitioner who specializes in the diagnosis and treatment of foot ailments.,7183
knish,noun,knish,"Vianne, did you want me to start the knish for the festival?","Vianne, cô có muốn tôi... bắt đầu làm sốt ganache cho lễ hội không?","An Eastern European Jewish, or Yiddish, snack food consisting of a dumpling covered with a shell of baked or fried dough",7184
terrarium,noun,Terrarium,It' s like a terrarium,Trông nó như một cái vườn ươm thực vật,"An enclosure where very small animals are displayed, often with some plants, in a naturalistic setting.",7185
dole out,verb,chia sẻ,Dole out the wages!,Phát tiền công!,To distribute in small amounts.,7186
divvy,adjective,tiền lãi cổ phần,"My friend, how you divvy up is your business.","Bạn của tôi, anh phân chia sao là chuyện của anh.",A share or portion,7187
leisurely,adjective,nhàn nhã,And then there's another fellow that will leisurely come by.,Và sau đó có anh chàng khác con mà sẽ nhàn nhã đi qua.,"Characterized by leisure; taking abundant time; not hurried; as, a leisurely manner; a leisurely walk.",7188
borscht,noun,Borsch,Borscht ?,Borscht ?,"A beetroot/beet soup that can be served hot or cold, usually with sour cream.",7189
misnomer,verb,sự nhầm tên,"Now, 3D printing is actually a misnomer .","Ngày nay, In 3D thật ra là một sự nhầm tên .",A use of a term asserted to be misleading.,7190
alloy,noun,hợp kim,"In 2014, Vale sold 2 million metric tonnes of manganese and alloys .","Năm 2014, Vale đã bán được 2 triệu tấn mangan và hợp kim .","a metal that is a combination of two or more elements, at least one of which is a metal.",7191
lackluster,adjective,không sáng,♫ In lackluster ♫,♫ Trong sự mờ ảo ♫,"Not exceptional; not worthy of special merit, attention, or interest; having no vitality",7192
appalling,adjective,kinh khủng,It is a tragic story about an appalling tradition.,Nó là một câu chuyện thương tâm về một truyền thống kinh khủng .,Present participle of appall.,7193
secrete,verb,tiết,It has also revealed a treasure trove of secrets about London's history.,Nó cũng tiết lộ một kho tàng bí mật về lịch sử của London.,"(obsolete, rare) separated",7194
staple,adjective,chính,"Yes, from antiquity, bread has been a staple food.","Đúng, từ lâu bánh mì là món ăn chính ở nhiều nơi trên thế giới.",(obsolete) A market center for a regionally produced commodity.,7195
sentinel,verb,lính canh,The new sentinel commenced his walk in the corridor.,Người lính canh mới bắt đầu đi dạo trong hành lang.,A sentry or guard.,7196
hunky-dory,adjective,cừ khôi,A little dance and everything's hunky - dory .,Với một điệu nhảy và mọi thứ lại đâu vào đấy .,Alternative form of [i]hunky dory[/i],7197
ecstasy,noun,trạng thái ngây ngất,Intoxicating vapors brought the priestess into a state of ecstasy,Các làn hơi gây say đưa người nữ tế lễ vào trạng thái ngây ngất,Intense pleasure.,7199
tasteful,adjective,có óc thẩm mỹ,I admire your good taste .,Anh có óc thẩm mỹ khá đấy.,having or exhibiting good taste; aesthetically pleasing or conforming to expectations or ideals of what is appropriate,7200
verve,noun,nhiệt tình,"Votta wrote of ""Cool"" that ""for Mike Chang's first solo it's impressive"", and added, ""maybe he should play Tony instead of Blaine""; Slezak also thought he should have been considered for Tony since it was ""performed with such verve and swagger and charisma"".","Votta cho rằng ""Cool"" là ""bản solo đầu tiên ấn tượng của Mike Chang"", và nói thêm, ""có lẽ anh ấy nên đóng vai Tony thay thế Blaine""; Slezak đồng thời cũng nghĩ rằng anh nên xem xét vai Tony vì ca khúc ""được trình bày một cách nhiệt tình , cao trào và duyên dáng"".","Excitement of imagination such as animates a poet, artist, or musician, in composing or performing",7201
magnate,noun,trùm tư bản,"Michael Caine as Arthur Tressler, an insurance magnate and the Four Horsemen's sponsor.","Michael Caine trong vai Arthur Tressler, trùm tư bản bảo hiểm và là nhà tài trợ cho Bộ tứ kỵ sĩ.",Metal object with flux.,7202
excruciating,adjective,hết sức đau đớn,It was the scariest moment of my life; an excruciating choice to make.,Đó là khoảng khắc đáng sợ nhất trong đời tôi khi phải đưa ra một lựa chọn hết sức đau đớn .,the nation's most excruciating dilemma -- W. H. Ferry(Can we date this quote?),7203
escapism,noun,trốn thoát,Let him escape .,Cứ để cho hắn chạy trốn .,An inclination to escape from routine or reality into fantasy,7204
