Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link
Shipwrecked!,Diving for Hidden Time Capsules on the Ocean Floor,The award-winning historian traces how marine archaeology has been developing since 1900 to explore ships on the ocean floor and recover clues for understanding ancient civilizations.,https://cdn.vocabulary.com/units/a65heybj/cover.png?width=220&v=1905057a4e5,https://www.amazon.com/dp/1662602049?tag=vocabulary01-20,Martin W. Sandler,"Literature,Non-Fiction",/lists/a65heybj/shipwrecked
The GRE Verbal Reasoning Test: Challenge Words,,"Our collection of challenge words features some of the hardest words you will encounter in the Verbal Reasoning section of the GRE. These are words that typically appear less frequently across different academic disciplines, so you are less likely to have encountered them before. Master these challenging words and watch your GRE score soar!",https://cdn.vocabulary.com/units/a67okyii/feature.png?width=500&v=185c5ed9502,,,Test-Prep,/lists/a67okyii/gre-verbal-reasoning-test-challenge-words
Becoming,,"In this best-selling memoir, the former First Lady chronicles her early life and her time in the White House.",https://cdn.vocabulary.com/units/aad5dvmy/cover.jpeg?width=220&v=16c24fc2425,https://www.amazon.com/dp/1524763136?tag=vocabulary01-20,Michelle Obama,"Literature,Non-Fiction",/lists/aad5dvmy/becoming
The Color of Water,A Black Man's Tribute to His White Mother,The author pairs his stories of growing up in New York and Delaware as the eighth of twelve children who identified primarily as Black Christians with the memories of his white Jewish mother.,https://cdn.vocabulary.com/units/aah4dzkz/cover.jpeg?width=220&v=1894ab1c74c,https://www.amazon.com/dp/159448192X?tag=vocabulary01-20,James McBride,Non-Fiction,/lists/aah4dzkz/color-of-water
Nowhere Boy,,A fourteen-year-old Syrian refugee and a lonely thirteen-year-old American boy strike up a friendship when they unexpectedly meet in Belgium.,https://cdn.vocabulary.com/units/aalcaqtf/cover.jpeg?width=220&v=171e695da66,https://www.amazon.com/dp/1250307570?tag=vocabulary01-20,Katherine Marsh,Literature,/lists/aalcaqtf/nowhere-boy
150 Words Every 8th Grader Should Know How to Spell,,Vocabulary.com has compiled this collection of spelling words for students in 8th grade. Use the Spelling Bee with these lists to watch your spelling skills soar.,https://cdn.vocabulary.com/units/aatcm3bc/feature.png?width=500&v=18a47de19f2,,,Grade 8,/lists/aatcm3bc/words-every-8th-grader-should-know-how-to-spell
Twelve Years a Slave,,"Adapted into an Oscar-winning film, this memoir tells the story of a free black man who was kidnapped and sold into slavery in the nineteenth century. Read the full text here.",https://cdn.vocabulary.com/units/aayxwoyr/cover.jpeg?width=220&v=16df3b6de39,https://www.amazon.com/dp/B011MCYAXW?tag=vocabulary01-20,Solomon Northup,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/aayxwoyr/12-years-a-slave
Fast Food Nation,The Dark Side Of The All-American Meal,"In this exposé, award-winning journalist Eric Schlosser explores the effects of the American fast food industry on global health, labor conditions, and the environment.",https://cdn.vocabulary.com/units/abep4k5q/cover.jpg?width=220&v=181f340b95c,https://www.amazon.com/dp/0547750331?tag=vocabulary01-20,Eric Schlosser,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature,Non-Fiction",/lists/abep4k5q/fast-food-nation
Frankly in Love,,"Frank Li knows that his conservative Korean parents will not approve of the girl he is dating, so he and friend Joy Song agree to enter into a fake relationship to appease their families.",https://cdn.vocabulary.com/units/abt4znvw/cover.jpeg?width=220&v=177bacd4971,https://www.amazon.com/dp/198481222X?tag=vocabulary01-20,David Yoon,Literature,/lists/abt4znvw/frankly-in-love
A Wrinkle in Time,,Madeleine L'Engle's classic novel details the adventures of the precocious Murry children as they travel across space and time to track down their missing father.,https://cdn.vocabulary.com/units/acfgpvmv/cover.jpeg?width=220&v=16c3008bb06,https://www.amazon.com/dp/0374386137?tag=vocabulary01-20,Madeleine L'Engle,"Grade 5,Grade 6,Grade 7,Grade 8",/lists/acfgpvmv/wrinkle-in-time
The Girls I've Been,,A seventeen-year-old girl must use all the skills she has learned as the daughter of a con artist in order to survive being held hostage by two men trying to rob the bank of a small town in California.,https://cdn.vocabulary.com/units/admnfjvf/cover.png?width=220&v=18d6b1e10b4,https://www.amazon.com/dp/059335382X?tag=vocabulary01-20,Tess Sharpe,Literature,/lists/admnfjvf/girls-ive-been
125 Words Every 6th Grader Should Know,Vocabulary You Need to Succeed,"By analyzing student data and commonly taught texts, Vocabulary.com has compiled this collection of essential vocabulary for students in 6th grade. Master high-frequency, high-utility words that you'll encounter across the curriculum.",https://cdn.vocabulary.com/units/adtf2rj2/feature.png?width=500&v=17dc46006c7,,,Grade 6,/lists/adtf2rj2/125-words-every-6th-grader-should-know
You Call This Democracy?,How to Fix Our Government and Deliver Power to the People,This nonfiction book examines voting in the United States and identifies ways to make government more democratic and to make voting more accessible.,https://cdn.vocabulary.com/units/adwcvu4u/cover.jpeg?width=220&v=1781d7f0a5a,https://www.amazon.com/dp/0358387426?tag=vocabulary01-20,Elizabeth Rusch,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/adwcvu4u/you-call-this-democracy
Smile,,"When she was in sixth grade, cartoonist Raina Telgemeier severely damaged her teeth during an accidental fall. In this graphic memoir, Telgemeier chronicles her literal and figurative quest to reclaim her smile.",https://cdn.vocabulary.com/units/ae7srck7/cover.jpeg?width=220&v=16d2c805cb3,https://www.amazon.com/dp/0545132061?tag=vocabulary01-20,Raina Telgemeier,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/ae7srck7/smile
Middle School Geometry,,"If you feel obtuse when it comes to angles, review this collection of geometry terms. You'll learn about planes, polygons, perimeter, and more. It's as easy as pi!",https://cdn.vocabulary.com/units/affczwxn/feature.png?width=500&v=1825ee5bd49,,,"Grade 6,Grade 7,Grade 8",/lists/affczwxn/middle-school-geometry
Hole in My Life,,"In a high school surrounded by a twelve-foot fence, Jack Gantos imagined what life behind bars would be like; after graduating, he landed in prison, where he dedicated himself to becoming a writer.",https://cdn.vocabulary.com/units/agqkkfyi/cover.jpeg?width=220&v=16c300b622f,https://www.amazon.com/dp/0312641575?tag=vocabulary01-20,Jack Gantos,Non-Fiction,/lists/agqkkfyi/hole-in-my-life
The World Is Flat,,New York Times columnist Thomas Friedman explores the complexities of globalization in the twenty-first century.,https://cdn.vocabulary.com/units/ah3kpzte/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/0312425074?tag=vocabulary01-20,Thomas Friedman,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/ah3kpzte/world-is-flat
My Brother Sam is Dead,,"In this historical novel set during the American Revolution, Tim Meeker must decide whether he should do as his father says and remain loyal to the British king or join his brother among the rebels.",https://cdn.vocabulary.com/units/ahabhy4y/cover.jpeg?width=220&v=16c248cf4a7,https://www.amazon.com/dp/0439783607?tag=vocabulary01-20,James Lincoln Collier,"Grade 6,Grade 7,Grade 8,Literature",/lists/ahabhy4y/my-brother-sam-is-dead
The City of Ember,,A city built to save humanity now faces dark times.,https://cdn.vocabulary.com/units/ahceu5c6/cover.jpeg?width=220&v=1824a95cf38,https://www.amazon.com/dp/0375822747?tag=vocabulary01-20,Jeanne DuPrau,"Grade 5,Grade 6,Grade 7,Grade 8",/lists/ahceu5c6/city-of-ember
Out of Darkness,The Story of Louis Braille,"In this biography, Russell Freedman explores the life of Louis Braille, who developed a system of writing for blind people.",https://cdn.vocabulary.com/units/aijykxcc/cover.jpg?width=220&v=175d19975ec,https://www.amazon.com/dp/0395968887?tag=vocabulary01-20,Russell Freedman,"Grade 9,Grade 10,Grade 11,Grade 12,Non-Fiction",/lists/aijykxcc/out-of-darkness
Awkward,,Middle school gets off to a rocky start for Peppi Torres after an awkward encounter with Jaime Thompson — and things only get worse when Peppi's art club begins feuding with the science club. Can Peppi save the day?,https://cdn.vocabulary.com/units/aiucjeu4/cover.jpeg?width=220&v=16c8cb2c458,https://www.amazon.com/dp/0316381306?tag=vocabulary01-20,Svetlana Chmakova,"Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/aiucjeu4/awkward
Keeping Up Appearances,Make a fashion statement with these ready-to-wear and ready-to-learn words.,"In the age of social media, fashion and style get a lot of attention. But throughout history, clothes and other adornments have always been a means of self-expression. From terms for exotic cloth, to fancy jewels, to some highly hashtag-worthy words that are perfect for selfies, unpack this collection of on-trend words.",https://cdn.vocabulary.com/units/aix5osus/feature.png?width=500&v=16e0e015cdb,,,"Grade 9,Grade 10,Just for Fun",/lists/aix5osus/keeping-up-appearances
From a Whisper to a Rallying Cry,The Killing of Vincent Chin and the Trial that Galvanized the Asian American Movement,This powerful nonfiction book explores the murder of Vincent Chin and the growth of the Asian American civil rights movement.,https://cdn.vocabulary.com/units/aiyqqttq/cover.jpeg?width=220&v=17c7f2430da,https://www.amazon.com/dp/1324002875?tag=vocabulary01-20,Paula Yoo,"Literature,Non-Fiction",/lists/aiyqqttq/from-a-whisper-to-a-rallying-cry
Ripped from the Headlines: November 2023,Our Weekly Roundups of Current Events Vocabulary,"Each week, we peruse the news to give you a word’s-eye view of what’s happening in the world. Here are some of our favorite examples from current events and culture stories. Whether you’re a news nerd, a word nerd, or you just like learning, these lists are a fun way to wrap up your week.",https://cdn.vocabulary.com/units/ajrek32a/feature.png?width=500&v=1930896f5f3,,,Events,/lists/ajrek32a/ripped-from-the-headlines-november-2023
"I Survived the Great Molasses Flood, 1919",,"In this nineteenth book of the historical fiction I Survived series, twelve-year-old Carmen Grasso finds her horse licking Boston's giant leaky molasses tank just before an explosion.",https://cdn.vocabulary.com/units/ajvpnmxv/cover.png?width=220&v=18f073e4578,https://www.amazon.com/dp/1338317415?tag=vocabulary01-20,Lauren Tarshis,Grade 5,/lists/ajvpnmxv/i-survived-the-great-molasses-flood-1919
The Inquisitor's Tale,,"In the thirteenth century, travelers at an inn tell tales about the adventures of three children attempting to escape religious persecution.",https://cdn.vocabulary.com/units/ak3zmehd/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/0142427373?tag=vocabulary01-20,Adam Gidwitz,Literature,/lists/ak3zmehd/inquisitors-tale
Class Act,,"In this sequel to the award-winning graphic novel New Kid, eighth-graders Drew and Jordan grapple with identity, privilege, and fitting in.",https://cdn.vocabulary.com/units/akf37i3z/cover.jpeg?width=220&v=17528bd5e36,https://www.amazon.com/dp/0062885502?tag=vocabulary01-20,Jerry Craft,"Grade 5,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/akf37i3z/class-act
Thirst,,"Nicknamed Minni Meow, a twelve-year-old girl in India discovers that there are powerful criminals who are stealing from her Mumbai neighborhood's water supply.",https://cdn.vocabulary.com/units/akqzvw64/cover.png?width=220&v=18c7e44cd18,https://www.amazon.com/dp/0593354419?tag=vocabulary01-20,Varsha Bajaj,Literature,/lists/akqzvw64/thirst
Tell Me How You Really Feel,Words to Help You Express Yourself,Feeling moody? Plumb the depths of human emotion with these lists related to feelings.,https://cdn.vocabulary.com/units/aksogmpg/feature.png?width=500&v=16d270296fd,,,Just for Fun,/lists/aksogmpg/tell-me-how-you-really-feel
Prisoner B-3087,,"Based on a true story, this novel tells the story of a boy who survived imprisonment in multiple Nazi concentration camps during World War II.",https://cdn.vocabulary.com/units/alaj6wpj/cover.jpeg?width=220&v=16aeaaa6958,https://www.amazon.com/dp/054545901X?tag=vocabulary01-20,Alan Gratz,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/alaj6wpj/prisoner-b-3087
The Rime of the Ancient Mariner,,"This seven-part poem tells the story of a sailor who brings a curse on his ship after killing an albatross, a giant sea bird considered to be a good omen. Read the full text here.",https://cdn.vocabulary.com/units/anne4nu3/cover.jpeg?width=220&v=189881fb67a,https://www.amazon.com/dp/B018E7JL7I?tag=vocabulary01-20,Samuel Taylor Coleridge,Grade 12,/lists/anne4nu3/rime-of-the-ancient-mariner
The Red Badge of Courage,,"Henry Fleming is a young Union private during the Civil War. After fleeing from battle, he'll do anything for a second chance to prove his bravery.",https://cdn.vocabulary.com/units/anohvav5/cover.jpeg?width=220&v=16db64b1554,https://www.amazon.com/dp/0199552541?tag=vocabulary01-20,Stephen Crane,"Grade 6,Grade 7,Grade 8,Grade 10,Literature",/lists/anohvav5/red-badge-of-courage
Tuesdays with Morrie,,"In this work of nonfiction, Mitch Albom reconnects with a favorite college professor and learns valuable lessons in the last months of the elderly scholar's life.",https://cdn.vocabulary.com/units/ao6rfaa5/cover.jpeg?width=220&v=18a75801ec7,https://www.amazon.com/dp/076790592X?tag=vocabulary01-20,Mitch Albom,"Literature,Non-Fiction",/lists/ao6rfaa5/tuesdays-with-morrie
Truly Devious,,"When Stevie Bell is admitted to the exclusive Ellingham Academy, she hopes to solve the mystery of the famous crimes that took place at the school years ago. But then another murder takes place, and Stevie realizes that her life and the lives of her friends may depend on her sleuthing skills.",https://cdn.vocabulary.com/units/apkg5r4l/cover.jpeg?width=220&v=171c7571a8e,https://www.amazon.com/dp/0062338064?tag=vocabulary01-20,Maureen Johnson,Literature,/lists/apkg5r4l/truly-devious
