word,part_of_speech,meaning,example,example_meaning,definition
polemicist,noun,người tranh cãi,"So why is my story more than just the story of a quirky, long, six-year, difficult lawsuit, an American professor being dragged into a courtroom by a man that the court declared in its judgment was a neo-Nazi polemicist ?","Vậy tại sao câu chuyện của tôi lại hơn cả một câu chuyện về một vụ kiện mưu mô, khó khăn kéo dài những sáu năm giữa một giáo sư ở Mỹ bị kéo vào phòng xử án và một người đàn ông mà tòa đã gọi là nhà luận chiến thuộc tân Phát- xít ?",A person who writes polemics
begotten,adjective,sinh ra,How did Jehovah’s only- begotten Son come to be born as a human?,Làm sao Con một của Đức Giê-hô-va được sinh ra làm người?,Past participle of beget
probity,noun,tính liêm khiết,Probity .,Liêm khiết .,integrity
captious,adjective,tính xoi mói,,,Having a disposition to find fault unreasonably or to raise petty objections.
sang-froid,noun,sự bình tĩnh,,,"Composure, level-headedness, coolness in trying circumstances."
underpin,verb,làm nền,One of the things that underpins it is this idea of resilience.,Một trong những điều làm nền tảng cho nó là ý tưởng về khả năng phục hồi.,(transitive) To support from below with props or masonry.
dyslexia,noun,chứng khó đọc,Dyslexia also runs in families.,Chứng khó đọc cũng phổ biến trong phạm vi gia đình.,"(neurology, pathology) A learning disability in which a person finds it difficult to read and write."
dysgraphia,noun,,Other learning disabilities are dysgraphia (a disorder that affects handwriting) and dyscalculia (difficulty with math skills).,Dạng khác là khiếm khuyết kỹ năng viết (dysgraphia) và kỹ năng làm toán (dyscalculia).,A language disorder that affects a person's ability to write.
remediation,noun,,Is there no remedy ?,Không có biện pháp nào sao?,An action taken to remedy a situation.
affective,adjective,xúc động,"If his target is afraid and affected , then he's won.","Nếu mục tiêu của hắn sợ và xúc động , thì hắn thắng.","Relating to, resulting from, or influenced by the emotions."
phoneme,noun,âm vị,The coastal dialects have additional phonemes that do not exist in Standard Somali.,Các phương ngữ ven biển có thêm các âm vị không tồn tại trong tiếng Somali tiêu chuẩn.,(linguistics) An indivisible unit of sound in a given language. A phoneme is an abstraction of the physical speech sounds (phones) and may encompass several different phones.
recommence,verb,bắt đầu lại,His plan was to recommence the revolt of the angels.,Mưu toan của anh là tái diễn cuộc nổi loạn của các thiên thần.,To begin again.
charisma,noun,uy tín,Sava was predominantly occupied with clerical duties and did not enjoy as much charisma among tribal heads as his predecessor did.,Sava được chủ yếu chiếm đóng với các nhiệm vụ văn thư và không được hưởng nhiều uy tín trong số những người đứng đầu bộ lạc như người tiền nhiệm của ông đã làm.,(Christianity) An extraordinary power granted by the Holy Spirit
aureole,noun,quầng,"Actinolite is commonly found in metamorphic rocks, such as contact aureoles surrounding cooled intrusive igneous rocks.","Actinolit được tìm thấy phổ biến trong các đá biến chất, như vành tiếp xúc xung quan các đá mácma xâm nhập đã nguội.",(astronomy) Corona.
ad hominem,adjective,lập luận công kích cá nhân,"It has always been controversial because it is (in a pejorative sense) considered a subjective term, used as an ad hominem attack against groups with differing doctrines or practices.","Nó đã luôn luôn gây tranh cãi bởi vì nó (theo nghĩa xấu) được coi là một thuật ngữ mang tính chủ quan, được sử dụng như một việc tấn công cá nhân khi tranh luận giữa các nhóm có các học thuyết hoặc cách thờ phượng khác nhau.","(logical fallacy) A fallacious objection to an argument or factual claim by appealing to a characteristic or belief of the person making the argument or claim, rather than by addressing the substance of the argument or producing evidence against the claim; an attempt to argue against an opponent's idea by discrediting the opponent himself."
bon voyage,interjection,chúc thượng lộ bình an,"Well, anchors aweigh, and have a bon voyage .","Được rồi, chuẩn bị lên đường đi, và chúc thượng lộ bình an .",Used to wish someone a good journey.
caveat,verb,hang,But a few caveats remained.,Có một số cây thông cổ còn sót lại .,a qualification or exception
caveat emptor,noun,,,,Used as a warning to anyone buying something that there might be unforeseen problems or faults with what is bought.
cum laude,adjective,,"Graduated a semester early, magna cum laude .",Tốt nghiệp sớm một học kì .,With praise; an honor added to a diploma or degree for work that is above average.
deus ex machina,noun,,"Deus ex machina is a Latin term meaning ""god from the machine.""","Deus ex machina là một thuật ngữ tiếng Latin, có nghĩa là ""Chúa tới từ cỗ máy.""","Any resolution to a story that does not pay due regard to the story's internal logic and that is so unlikely that it challenges suspension of disbelief, and presumably allows the author, director, or developer to end the story in the way that he or she desired"
en masse,adverb,cả đống,Produce it en masse .,Ta muốn có số lượng lớn .,in a single body or group; together
mea culpa,noun,,"Mea culpa , babe.",Lỗi của tôi.,"My fault, due to my error; my bad."
ad nauseam,adverb,,What's ad nauseam ?,""" Điệp khúc "" là gì ạ ?",to a nauseating or sickening degree.
carte blanche,noun,,"You mean "" carte blanche . """,Ý cậu là Carte Blanche .,Unlimited discretionary power to act; unrestricted authority
