word,part_of_speech,meaning,example,example_meaning,definition
flummox,verb,làm bối rối,I'm completely flummoxed .,Làm mình lúng túng quá.,To confuse; to fluster; to flabbergast.
as the crow flies,adverb,đường chim bay,"The nearest station is now at Llanfairpwllgwyngyll, 5 miles (8 km) away as the crow flies .","Ga tàu gần nhất nay nằm ở Llanfairpwllgwyngyll, cách 5 dặm (8 km) theo đường chim bay .","(idiomatic) In a straight line distance between two locations, as opposed to the road distance or over land distance."
thoroughly,adverb,rất,We thoroughly enjoyed meeting people of different nationalities who were thirsting for the truth.,Chúng tôi rất thích gặp những người thuộc quốc tịch khác nhau đang khao khát lẽ thật.,In a thorough or complete manner.
rein,verb,dây cương,The actual rigging on the reins on the horse are made from the same sort of thing.,Sợi dây thừng trên dây cương ngựa được làm từ thứ tương tự như vậy.,"A strap or rope attached to the bridle or bit, used to control a horse, animal or young child."
brig,noun,cầu,"Trapped in the fort and the town of Dover, Tennessee, Confederate Brig . Gen. Simon B. Buckner surrendered his command of 11,500 men and many needed guns and supplies to Grant's demand for ""unconditional surrender"".","Chuẩn tướng miền Nam Simon B. Buckner bị vây hãm trong đồn và trong thị trấn Dover, Tennessee, đã phải ra hàng với đội quân 11.500 người cùng nhiều đại bác và đồ tiếp tế, theo đúng yêu cầu ""đầu hàng vô điều kiện"" của tướng Grant.","(nautical) A two-masted vessel, square-rigged on both foremast and mainmast"
hopper,noun,cái phễu,"No means no, Hopper .","Không là không, Hopper!","A temporary storage bin, filled from the top and emptied from the bottom, often funnel-shaped."
filament,noun,dây tóc,for the filament of his electric light bulb.,cho dây tóc của bóng đèn sợi đốt của mình.,A fine thread or wire.
squab,adjective,sofa,You wanna squab ?,Muốn chơi tay đôi à?,A baby pigeon or dove.
antagonistic,adjective,đối kháng,"In this'verse, life is antagonistic to the natural state.",Trong vũ trụ này cuộc sống bị đối kháng,"Contending or acting against; as, antagonistic forces."
abortive,adjective,sớm thất bại,"We should abort , sir.","Chúng ta nên hủy chiến dịch , thưa ngài.",(obsolete) A fruitless effort or issue.
rube,noun,,Makes you look like a rube .,Khiến cậu trông như kẻ quê mùa vậy .,A person of rural heritage; a yokel.
vocational,noun,nghề nghiệp,He said that poetry was no more a vocation than good health.,Anh nói thi ca không phải là một nghề nghiệp mà chỉ làm lành mạnh con người.,of or pertaining to a vocation
proviso,noun,điều khoản,"Well, there is one proviso .",Thật ra là có một điều kiện .,A conditional provision to an agreement
