word,part_of_speech,meaning,example,example_meaning,definition
diorama,noun,Diorama,"In 2003, following the release of Diorama , the band announced a hiatus, during which time members recorded with side projects The Dissociatives, The Mess Hall, and Tambalane.","Năm 2003, sau khi phát hành của Diorama , ban nhạc đã công bố một thời gian gián đoạn, trong đó các thành viên thời gian ghi lại với dự án phụ Các Dissociatives, Mess Hall, và Tambalane.","A three-dimensional display of a scenery, often having a painted background in front of which models are arranged, e.g. in a museum where stuffed animals are presented against a painted landscape."
exasperated,adjective,giận dữ,He came back tired and exasperated .,Bố trở về mệt mỏi và chán nản.,Simple past tense and past participle of exasperate.
coy,adjective,rụt rè,"Oh, please, don't be coy with me.","Làm ơn, đừng rụt rè với tôi.","(archaic) Quiet, reserved, modest."
speculation,noun,sự suy đoán,Why set hearts aflutter at mere speculation ?,Tại sao nghi ngờ trái tim cảm thấy chỉ là sự suy đoán ?,The process of thinking or meditating on a subject
herald,verb,sứ giả,Heralds are crying the news now.,Các sứ giả đang khóc lóc kể lể tin tức.,"A messenger, especially one bringing important news."
revered,adjective,tôn kính,They looked determined... and-and-and reverent at the same time.,Trong những quyết định của họ... sự cung kính của họ.,Simple past tense and past participle of revere.
imbibe,verb,hấp thụ,"It has seemed sweet to false religion and its parishioners to imbibe the ways of the world, but what a harvest of spiritual and physical disease they have reaped!","Tôn giáo giả và những người theo tôn giáo đó có vẻ vui thích hấp thụ đường lối của thế gian, nhưng họ gặt hái biết bao bệnh tật về thiêng liêng và thể xác!",To drink (used frequently of alcoholic beverages).
surreptitious,adjective,gian lận,Surreptitious do some to run errands shady business.,Surreptitious làm một số để chạy errands kinh doanh râm.,"stealthy, furtive, well hidden, covert (especially movements)"
vehemence,noun,sự dữ dội,But the Persians were unprepared for the suddenness and vehemence of the Macedonian attack.,Nhưng người Phe-rơ-sơ không dè sự tấn công bất ngờ và cảm tử của người Macedonia.,"An intense concentration, force or power."
paradigm,noun,mẫu,I think the Internet is really changing this paradigm quite a lot.,Tôi nghĩ Internet làm thay đổi hình mẫu này rất nhiều.,An example serving as a model or pattern; a template.
revelation,noun,sự tiết lộ,Should we not expect such a revelation to exist?,Chẳng phải chúng ta mong muốn có một sự tiết lộ như thế hay sao?,Something that is revealed.
progressive,adjective,tiến bộ,"If science makes progress , we'll be able to solve such problems.","Nếu khoa học tiến bộ , chúng ta sẽ có thể giải quyết những vấn đề như vậy.",Favouring or promoting progress; advanced.
pedagogy,noun,sư phạm,They enable their teachers to make innovations in pedagogy .,Họ cho phép giáo viên tạo những cải tiến trong sư phạm .,The profession of teaching.
paraphernalia,noun,phụ tùng linh tinh,It says that occult paraphernalia is anything but harmless.,Kinh-thánh nói rằng những đồ vật thuộc về ma thuật rất có hại.,"(plural only; not used in singular form) Miscellaneous items, especially the set of equipment required for a particular activity; stuff."
amicably,adverb,thân tình,My dealings with Bobby Dean were amicable .,Thỏa thuận của tôi với Bobby Dean rất thân tình .,friendly; in an amicable manner.
errant,adjective,giang hồ,Is this an errant apprentice or captive?,Đệ tử giang hồ hay tù nhân của ngươi?,"straying from the proper course or standard, or outside established limits"
postulate,adjective,định đề,"The postulator assigned was Father Jean-Louis Chassem, MSC.","Thỉnh nguyện viên được gán là linh mục Gioan Louis Chassem, MSC.","Something assumed without proof as being self-evident or generally accepted, especially when used as a basis for an argument."
disparate,adjective,khác hẳn nhau,JA: I don't know. I guess people can see the gross disparity in force.,"Tôi không biết, tôi đoán mọi người có thể thấy sự chênh lệch quá rõ ràng về lực lượng.",Composed of inherently different or distinct elements; incongruous.
matrix,noun,ma trận,"The only way to revive him, we needed Prime and his Matrix .","Cách duy nhất hồi sinh hắn, ta cần Prime và Ma trận của hắn.",(now rare) The womb.
quaint,adjective,kỳ lạ,That's quaint .,Kỳ lạ quá.,"(obsolete) Of a person: cunning, crafty. [13th-19th c.]"
incidental,adjective,thứ yếu,"We'd catch cat-naps at 40 below on our sled, incidentally .",Chúng tôi mượn đống hành lý làm chỗ nghỉ chân .,"Loosely associated; existing as a byproduct, tangent, or accident."
sobriety,noun,sự tiết độ,Please introduce a little sobriety to the affair.,Xin vui lòng gặp gỡ điềm đạm thôi nhé.,The quality or state of being sober.
oppressive,adjective,ngột ngạt,"Sometimes the night that surrounds us will appear oppressive , disheartening, and frightening.","Đôi khi đêm đen bao quanh chúng ta dường như ngột ngạt , làm nản lòng và đáng sợ.",Burdensome or difficult to bear.
benign,adjective,nhân từ,"is benign in comparison with man,","vẫn luôn nhân từ hơn con người,",Kind; gentle; mild.
oncology,noun,ung thư học,"After completing a Fellowship in the relevant sub-specialty, the Physician is permitted to practice without direct supervision by other physicians in that sub-specialty, such as Cardiology or Oncology .","Sau khi hoàn thành thời gian thực tập trong ngành phụ khoa thích hợp, bác sĩ được phép thực hành mà không có sự giám sát trực tiếp của các bác sĩ khác trong phụ khoa đó, chẳng hạn như khoa tim mạch và ung thư học .","The branch of medicine concerned with tumors, including study of their development, diagnosis, treatment, and prevention."
subsequent,adjective,theo sau,and several subsequent studies have also used Aron's fast friends protocol,và vài cuộc nghiên cứu theo sau cũng áp dụng công thức giao hữu của Aaron,"Following in time; coming or being after something else at any time, indefinitely."
