word,part_of_speech,meaning,example,example_meaning,definition
summit,noun,đỉnh,"Its main summit is usually approached from the Zvozdochka (Russian for ""little star"") glacier, which is coloured red with rocks from Jengish Chokusu.","Đỉnh chính của nó thường được tiếp cận từ sông băng Zvozdochka (tiếng Nga cho ""ngôi sao nhỏ""), có màu đỏ do đá từ Jengish Chokusu.",(countable) a peak; the top of a mountain
victorious,adjective,chiến thắng,"Hence, from a human point of view, their chances of being victorious would seem remote.","Vì thế, theo quan điểm loài người, dường như họ không thể chiến thắng .","Being the winner in a contest, struggle, war etc"
wreckage,noun,mảnh vỡ,"By 21 October, an estimated 27% of the wreckage was recovered.","Đến ngày 21 tháng 10, khoảng 27% các mảnh vỡ được đưa lên.","Something wrecked, especially the remains or debris of something wrecked."
champ,verb,nhai rào rạo,Hey Champ,Này Champ!,(countable) shortened form of champion
pottery,noun,đồ gốm,The quality of the pottery and its firing improved beyond all recognition.”,Phẩm chất của đồ gốm và cách nung đã được cải tiến rất nhiều”.,"(countable) A potter's (work)shop, where pottery is made"
subscribe,verb,lạc quyền,Subscribe to optimisation tips!,Đăng ký mẹo tối ưu hóa!,"To sign up to have copies of a publication, such as a newspaper or a magazine, delivered for a period of time."
monogamous,adjective,một chồng,"Women 40 and older who aren't monogamous , haven't finished menopause .","Phụ nữ 40 tuổi trở lên không quan hệ một vợ một chồng , chưa mãn kinh .",Being married to one person at a time.
construct,verb,xây dựng,The workers stopped short of constructing that building because they didn't have enough money to finish it.,Những người công nhân đã ngừng xây dựng tòa nhà đó vì họ không có đủ tiền để hoàn thành nó.,Something constructed from parts.
mulatto,noun,sạm,A mulatto ?,Người da màu ?,(often pejorative) A person of mixed African and Caucasian descent.
originate,verb,bắt đầu,"The energy was channeled through him, but it originated from his board.",Nguồn năng lượng đã chảy trong người anh ta nhưng bắt đầu từ cái ván trượt.,(transitive) To give an origin or beginning to; to cause to be; to bring into existence; to produce as new; to be the first actor to play (a role)
deprived,adjective,thiếu thốn,I never felt deprived because of not having many things.,Tôi chưa bao giờ cảm thấy thiếu thốn vì không có nhiều của cải.,Subject to deprivation; poor.
vainglorious,adjective,dương dương tự đắc,"You weak, foul, lustful, vainglorious man.","Đồ kém cỏi, dâm dục, ghê tởm, tự phụ.",With excessive vanity or unwarranted pride.
enthrall,verb,mê hoặc,absolutely enthralled and amazed at what they looked like.,hoàn toàn bị mê hoặc và kinh ngạc khi thấy chúng như thế nào.,"(transitive) To hold spellbound; to bewitch, charm or captivate."
consolidate,adjective,hợp nhất,"Coincidentally, we were just contemplating a consolidation of our criminal enterprises.","Thật trùng hợp , chúng tôi đang dự tính hợp nhất hai tập đoàn tội phạm của ta.",To combine into a single unit; to group together or join.
saturated,adjective,bão hoà,"It looks for highly saturated colors, from toys.","Nó tìm những màu bão hoà , từ đồ chơi.",(comparable) Soaked or drenched with moisture.
deterioration,noun,sự làm hư hỏng,Mertz suffered a quick deterioration .,Mertz bị suy kiệt nhanh chóng.,"The process of growing worse, or the state of having grown worse."
steed,noun,ngựa,We will steal a steed and we will ride to the next town.,Chúng ta sẽ cướp một con ngựa và chạy đến thị trấn tiếp theo.,"(archaic) A stallion, especially in the sense of mount."
prophetic,adjective,tiên tri,Still others were saying: “It is a prophet like one of the prophets of old.”,Kẻ khác lại nói: “Đó là một nhà tiên tri giống như các nhà tiên tri thời xưa”.,"predicted, as by a prophecy"
ergonomic,adjective,công thái học,Ergonomic .,An toàn .,Of or relating to the science of ergonomics
conceivably,adverb,có thể hình dung được,"So I think, conceivably , those could be predictive.","Thế nên tôi nghĩ, có thể hình dung được thôi, những hình đó có thể mang tính dự đoán cao.","In a conceivable manner, possibly."
unendurable,adjective,khó chịu đựng,""" What do I make by it? "" he began again in a tone of unendurable wrong.",""" Tôi phải làm gì làm cho nó? "", Ông bắt đầu một lần nữa trong một giai điệu sai không chịu đựng được.",Not to be endured; intolerable.
liquefy,verb,hoá lỏng,I need you to liquefy the fund.,Tôi cần ông hoá lỏng quỹ tiền.,"(physics, chemistry) To make into a liquid, either by condensing a gas or by melting a solid."
transfusion,noun,sự truyền máu,They do not suffer from complications that often accompany transfusions .,Họ lại không bị các biến chứng thường đi đôi với sự truyền máu .,(medicine) The transfer of blood or blood products from one individual to another.
reek,noun,khói,I would come home with my clothes reeking of woodsmoke.,Tôi thường về nhà khi quần áo mang đậm mùi khói gỗ,A strong unpleasant smell.
engross,verb,chiếm,But you're so engrossed in your pain that you can't see me.,Nhưng anh lúc nào cũng chỉ biết đến nỗi đau của riêng mình thôi... anh đâu thể nhìn thấy nỗi đâu mà tôi phải chịu đựng.,"(transitive, now law) To write (a document) in large, aesthetic, and legible lettering; to make a finalized copy of."
raconteur,verb,,A raconteur .,Một Raconteur .,"A storyteller, especially a person noted for telling stories with skill and wit."
boudoir,noun,phòng khuê,"Uh, no more "" Boudoir Beauties in High Heels. ""","Ơ, không còn "" Người Đẹp Boudoir Trong Giày Cao Gót. ""","A woman’s private sitting room, dressing room, or bedroom."
quail,verb,run sợ,"He looked down upon the quailing guards, who were shrinking into a corner or crouching at his feet.","Ông nhìn những người lính canh đang run sợ , thu mình vào góc tường hoặc cúi quỳ xuống dưới chân ông.","Any of various small game birds of the genera Coturnix, Anurophasis or Perdicula in the Old World family Phasianidae or of the New World family Odontophoridae."
flamboyance,noun,tính chất chói lọi,"""Starlet Seo Ye-ji Admits She's Far from Flamboyant "".",Truy cập ngày 15 tháng 6 năm 2014. ^ “Starlet Seo Ye-ji Admits She's Far from Flamboyant”.,The condition of being flamboyant
arrange,verb,sắp xếp,I think I can arrange that.,Tôi nghĩ tôi có thể sắp xếp việc đó.,"To set up, to organize, especially in a positive manner."
aluminum,noun,nhôm,You're looking at the cell house of a modern aluminum smelter.,Bạn đang nhìn ngôi nhà nhỏ của một thợ nung nhôm hiện đại.,A metallic chemical element (symbol Al) with an atomic number of 13.
forehead,noun,cái trán,"You have a high, round forehead .",Cô có một cái trán cao và rộng.,(anatomy) The part of the face above the eyebrows and below the hairline.
impel,verb,thúc ép,"This uneasiness impels them to answer all incoming text messages immediately, which is often not necessary.","Trạng thái bứt rứt này thúc ép họ lập tức trả lời mọi điện báo gửi đến, thường là điều không cần thiết.","(transitive) To urge a person; to press on; to incite to action or motion via intrinsic motivation. (contrast with propel, to compel or drive extrinsically)"
egocentric,adjective,ích kỷ,I feel that I am no longer egocentric and proud.,Tôi cảm thấy mình không còn ích kỷ và kiêu ngạo nữa.,"selfish, self-centered"
harassment,noun,sự quấy rối,How to deal with sexual harassment,Làm sao đối phó với sự quấy rối tình dục?,Persistent attacks and criticism causing worry and distress.
decelerate,verb,giảm tốc độ,"But as riders accelerate and decelerate , they experience more or less gravitational force.","Nhưng khi hành khách tăng và giảm tốc độ , họ cảm nhận nhiều hoặc ít hơn lực G.",to reduce the velocity of something
operetta,noun,Opêret,"Operetta , based on Voltaire.",Dựa trên thông tin được cung cấp bởi Voltaire.,(music) A lighter version of opera with a frivolous story and spoken dialogue
disenfranchise,verb,tước quyền bầu cử,"Emperor of the Disenfranchised , yes.","Đúng, Hoàng Đế của Người Mất Quyền Bầu Cử .","(transitive) to deprive someone of a franchise, generally their right to vote"
