word,part_of_speech,meaning,example,example_meaning,definition
expose,verb,vạch trần,The World’s Secret Ruler Exposed,Kẻ cai trị giấu mặt bị vạch trần,"(transitive) To reveal, uncover, make visible, bring to light, introduce to."
provide,verb,cung cấp,Provider of any and all entertainments and diversions.,Người cung cấp tất cả các trò giải trí... và tiêu khiển ở đây.,"To determine the form of some situations, by means of a stipulation or condition."
theory,noun,lý thuyết,Theory and speed math.,Lý thuyết toán và giải toán tốc độ.,"(countable, proscribed) An unproven conjecture."
mention,verb,nói,"Throughout the scriptures, prayer and fasting are mentioned together.","Khắp trong thánh thư, cầu nguyện và nhịn ăn được nói đến chung với nhau.","A speaking or notice of anything, usually in a brief or cursory manner. Used especially in the phrase to make mention of."
pattern,noun,mẫu,"If he can see this pattern in his own brain, he can learn how to control it.","Nếu thấy được mẫu này của não bộ, anh ta có thể học cách điều khiển nó.","A design, motif or decoration formed from multiple copies of an original fitted together."
supplementary,adjective,phụ thêm vào,Supplementary ventilation also exists on either side of the tunnel.,Thông gió phụ trợ cũng được lắp đặt ở cả hai phía đường hầm.,Additional; added to supply what is wanted.
calisthenics,noun,,These calisthenics are designed to increase our capacity for happiness and service.,Những sự rèn luyện này là nhằm gia tăng khả năng của chúng ta để có được hạnh phúc và phục vụ.,"pluralGymnastic exercises, especially morning exercises, done to keep one's body healthy."
specialized,adjective,chuyên dụng,Any kind of skill requires specialized learning.,Bất cứ kỹ năng nào cũng đều đòi hỏi việc học tập chuyên dụng .,Simple past tense and past participle of specialize.
pioneer,verb,mở,Got pushed down into the Florida Everglades back in pioneer days.,Bị đẩy xuống vùng Đầm Lầy Florida hồi thời mở đường.,"One who goes before, as into the wilderness, preparing the way for others to follow"
combative,adjective,hiếu chiến,"Just what I just said, less combative .","Tôi vừa nói đấy, bớt hiếu chiến đi.",Given to fighting; disposed to engage in combat; pugnacious.
gargantuan,adjective,khổng lồ,We've never had such gargantuan surpluses before.,"Chúng ta chưa từng có một sự thừa thãi khổng lồ như thế, trước kia.",(obsolete) Of the giant Gargantua or his appetite.
ineligible,adjective,không đủ tư cách,you're ineligible for song of the year.,bạn không đủ tư cách nhận giải bài hát của năm.,Not eligible.
collegial,adjective,,Birth and Growth of the Collegiants,Sự thành lập và phát triển của các Học Viện Viên,(Roman Catholic Church) ruled by bishops having equal power
baffle,verb,cái báp,Baffled by Death?,Hoang mang trước cái chết chăng?,"A device used to restrain or regulate, e.g. sound, light, gas, or a fluid."
doozy,adjective,,It's a doozy !,Buồn cười vãi !,"(US) something that is extraordinary. Often used in the context of troublesome, difficult or problematic, but can be used positively as well."
glint,adjective,lấp lánh,"Finally, she carefully searches every nook and cranny until the lamp catches a glint of a silver coin.","Cuối cùng, bà cẩn thận tìm kiếm mọi ngóc ngách trong nhà cho đến khi bắt gặp đồng tiền lấp lánh .",Not sharp; dull.
dissection,noun,sự mổ xẻ,Dissection ?,Giải phẫu ?,"the act of dissecting, or something dissected"
centaur,noun,chòm sao người ngựa,Centaurs .,Nhân mã .,(Greek mythology) A mythical beast having a horse's body with a human head and torso in place of the head and neck of the horse.
brim,noun,vành,"Cover your skin with tightly long-sleeved shirts , long pants and wide- brimmed hats .","Mặc áo sơ mi kín tay dài , quần dài và đội mũ rộng vành .","Of pigs: to be in heat, to rut."
contaminate,verb,làm bẩn,Carry meat and fish in separate bins or bags so they do not contaminate other food.,"Hãy đựng thịt cá trong bao, giỏ hoặc thùng riêng để không làm bẩn các loại thực phẩm khác.",To introduce impurities or foreign matter; to soil or defile.
saturate,verb,đẫm,Some packaged mixes may have a high saturated fat content.,Những chiếc bè bơm hơi có thể dùng những giàn khung nhiều lớp cao su hóa có độ bền cao.,"To cause to become completely penetrated, impregnated, or soaked; imbue."
hybrid,adjective,lai,"You made a genetic hybrid , raised it in captivity.","Các người đã tạo ra một sinh vật lai gen, nuôi nó trong điều kiện nuôi nhốt.","(biology) Offspring resulting from cross-breeding different entities, e.g. two different species or two purebred parent strains."
meiosis,noun,giảm phân,"Meiosis is fair, like tossing a penny.","Quá trình giảm phân rất công bằng, giống như tung một đồng xu.","(countable, rhetoric) A figure of speech whereby something is made to seem smaller or less important than it actually is."
justify,verb,bào chữa,And how can the wife justify competing with her husband for headship?,Và người vợ có thể tự bào chữa thế nào nếu tranh giành quyền làm đầu với chồng?,(transitive) To provide an acceptable explanation for.
footnote,verb,chú thích,(See also footnote .) (b) In what ways does Jehovah express his feelings for us?,(Cũng xem chú thích ). (b) Đức Giê-hô-va biểu lộ cảm xúc với chúng ta ra sao?,"A short piece of text, often numbered, placed at the bottom of a printed page, that adds a comment, citation, reference etc, to a designated part of the main text"
purist,adjective,,We're purists .,Chúng em tinh khiết nhất .,Of or pertaining to purism
illogical,adjective,phi lý,The charge was not only false but also illogical .,Những lời cáo buộc đó không chỉ sai mà còn phi lý .,Contrary to logic; lacking sense or sound reasoning.
abort,verb,phá thai,"That I'm getting an abortion , and you're the father.","Mà tôi nhận được phá thai , và bạn là người cha.",(obsolete) A miscarriage; an untimely birth; an abortion.
indecisive,adjective,do dự,We should not conduct studies indefinitely with indecisive ones.,"Chúng ta không nên học hỏi vô hạn định với những người trù trừ, do dự .",(of a person) Not decisive; not marked by promptness or decision.
metaphorical,adjective,ẩn dụ,"And they think it's a metaphor , but this is not a metaphor .","Họ nghĩ nó là một ẩn dụ , nhưng đây không là ẩn dụ .",Pertaining to or characterized by a metaphor; figurative; symbolic.
arboretum,noun,vườn cây gỗ,"In the Shing Mun Arboretum , a living specimen is displayed.","Trong Vườn ươm Shing Mun (Thành Môn), một mẫu vật sống được trưng bày.","A place where many varieties of trees are grown for research, educational, and ornamental purposes."
