word,part_of_speech,meaning,example,example_meaning,definition
image,noun,ảnh,"For example, with images from a digital camera, the Exif information can be viewed, both in the Properties pages for the photo itself, as well as via optional additional Details View columns.","Ví dụ: với hình ảnh từ máy ảnh kỹ thuật số, thông tin Exif có thể được xem, cả trong các trang thuộc tính cho ảnh , cũng như thông qua các cột Chi tiết xem bổ sung.",An optical or other representation of a real object; a graphic; a picture.
narcissistic,adjective,tự yêu mình,Narcissists tend to be Extremely preferential.,Người tự yêu mình thường cực kỳ ưu tiên.,Having an inflated idea of one's own importance.
pompous,adjective,hoa mỹ,"In his autobiography, Chaplin wrote, ""Simplicity is best ... pompous effects slow up action, are boring and unpleasant ...","Trong tự truyện của mình, Chaplin cũng viết, ""Tính đơn giản là tuyệt vời nhất... các hiệu ứng hoa mỹ kéo chậm hành động, chúng gây chán ngán và chẳng có gì thú vị...","Affectedly grand, solemn or self-important."
portrait,adjective,điển hình,In the Bible Job offers the classic portrait of patience.,"Trong Kinh Thánh, Gióp tiêu biểu cho tính kiên nhẫn điển hình thời xưa đó.","A painting or other picture of a person, especially the head and shoulders."
pose,verb,đặt,"I do not pose question as master, but as a man.","Ta không đặt câu hỏi với tư cách ông chủ, mà là một người đàn ông.","(transitive) set in place, arrange"
shallow,adjective,nông,Perhaps it will be easier in the shallows .,Có lẽ sẽ dễ hơn ở những chỗ nông .,Having little depth; significantly less deep than wide.
confrontational,adjective,,What difficult tests confront Christian youngsters today?,Những tín đồ đấng Christ trẻ tuổi phải đương đầu với những thử thách khó khăn nào ngày nay?,"Pertaining to a confrontation; characterized by, or given to initiating hostile encounter; in-your-face."
impulsively,adverb,,I'm impulsive .,Em rất bồng bột .,In an impulsive manner; with force; by impulse.
abrasion,noun,sự mài mòn,They are usually both a scrape ( abrasion ) and a heat burn .,Chúng thường là cả phỏng do trầy xước ( sự mài mòn ) và phỏng do sức nóng .,"The act of abrading, wearing, or rubbing off; the wearing away by friction."
contusion,noun,vết đụng giập,"20 to 30 contusions on all sides, including defensive wounds on the hands and the forearms.","20 đến 30 vết đụng giập từ mọi phía, bao gồm vết thương do phản kháng trên bàn tay và cánh tay.","A wound, such as a bruise, in which the skin is not broken; often having broken blood vessels and discolouration"
arraignment,noun,sự buộc tội,"Hey, when's the arraignment ?","Hey, khi nào có quyết định của tòa ?",(law) The formal charging of a defendant with an offense
manslaughter,noun,tội ngộ sát,"Well, we'll try and get it in as manslaughter , sir.","Vâng, chúng tôi sẽ cố gắng đưa vào tội ngộ sát , thưa ngài.","An act of killing a human being unlawfully, but not wilfully (as opposed to murder)."
premeditated,adjective,có chủ tâm,Premeditated murder is the most serious charge tried in our criminal courts.,Giết người có chủ tâm là tội nguy hiểm nhất trong tòa án hình sự.,Simple past tense and past participle of premeditate.
vilification,noun,sự gièm pha,"IN RECENT years, Jehovah’s Witnesses in France have been the target of an intense campaign of vilification .","TRONG những năm gần đây, Nhân Chứng Giê-hô-va ở Pháp là mục tiêu của một chiến dịch vu khống dữ dội .",slanderous or malicious defamation; character assassination
seamy,adjective,có đường may nối,,,"Sordid, squalid or corrupt."
sophistication,noun,sự làm giả,Except it's much more sophisticated .,"Cho dù là cái quái gì đi nữa, có điều tinh vi hơn nhiều.",Enlightenment or education.
pilgrim,verb,người du hành,"Thorn was a pilgrim , affectionately known as Pappy because of his fatherly, Christlike disposition","Thorn, một người du hành được gọi là “Pappy” (bố) vì anh trìu mến như một người cha","One who travels, especially on a journey to visit sites of religious significance."
thanksgiving,noun,lễ tạ ơn,Hope you know you're invited for Thanksgiving tomorrow.,Hy vọng em biết mình được mời tới lễ Tạ ơn vào ngày mai.,an expression of gratitude.
blockbuster,adjective,Bom tấn,now dominated by a culture of the Hollywood blockbuster .,giờ bị thống trị bởi văn hóa phim bom tấn Hollywood.,"A high-explosive bomb used for the purposes of demolishing extensive areas, such as a city block."
citrus,adjective,giống cam quít,Citrus trees grow in the wild; coconut trees and banana plants are abundant.,"Cây thuộc giống cam quít mọc hoang, dừa và chuối cũng đầy dẫy.",Any of several shrubs or trees of the family Rutaceae.
divorce,verb,ly dị,I've heard that Mary wants a divorce .,Tôi nghe nói rằng Mary muốn ly dị .,The legal dissolution of a marriage.
imagine,verb,tưởng tượng,I imagine Tom will be a finalist.,Tôi tưởng tượng Tom sẽ bào chung kết.,(transitive) To form a mental image of something; to envision or create something in one's mind.
rubble,noun,đá vụn bỏ đi,I hate rubble .,Tôi ghét bị đè lắm,"The broken remains of an object, usually rock or masonry."
deduction,noun,khấu trừ,"However, most other deductions are allowed.","Tuy nhiên, hầu hết các khoản khấu trừ khác được cho phép.","(logic) A process of reasoning that moves from the general to the specific, in which a conclusion follows necessarily from the premises presented, so that the conclusion cannot be false if the premises are true."
expression,noun,biểu thức,Click to remove a word or regular expression from the list,Nhấn vào để bỏ một từ hay một biểu thức chính quy khỏi danh sách,A particular way of phrasing an idea.
neuroscientist,noun,,But neuroscientists go further.,Nhưng các nhà nơ -ron học đi xa hơn.,A scientist whose speciality is neuroscience
nonexistent,adjective,,I never said he was nonexistent .,Ta không bao giờ nói ông ta không tồn tại .,Not existent; not real.
deployment,noun,sự triển khai,"Kaviza provides built-in high availability , does not require shared storage and is a turnkey deployment .","Kaviza cung cấp tính sẵn sàng hoạt động cao , không đòi hỏi lưu trữ chia sẻ và là sự triển khai trọn gói .",An arrangement or classification of things.
dormant,adjective,đang ngủ,"I don't know, sweetheart, but whatever parts of you are dormant are gonna stay that way.","Tôi không biết, nhưng dù là phần nào của cô đang ngủ đông thì sẽ vẫn cứ như thế thôi.","Inactive, asleep, suspended."
fragrant,adjective,thơm,"As the wood decays, it secretes fragrant oil and resin.",Khi gỗ bị mục thì dầu và nhựa thơm chảy ra.,Sweet-smelling; having a pleasant (usually strong) scent or fragrance.
software,noun,phần mềm,"Nobody would buy software , certainly not from a woman.","Không ai mua phần mềm cả, càng không thể mua phần mềm do phụ nữ viết.","(computing) Encoded computer instructions, usually modifiable (unless stored in some form of unalterable memory such as ROM). Compare hardware."
mare,noun,ngựa cái,"Yeah, and he was riding a little buckskin mare .","Phải, và ảnh cỡi một con ngựa cái .",An adult female horse.
steady,adjective,vững,"To be consistent is to be steady , constant, and dependable.","Kiên định có nghĩa là vững chắc, kiên trì, và đáng tin cậy.",To stabilize something; to prevent from shaking.
mane,noun,bờm,And he's got a long mane of hair and his fingers are twice the length of ours.,Và hắn có bờm tóc dài và ngón tay dài gấp đôi ngón tay chúng tôi.,Long or thick hair of a person's head.
empathic,adjective,đồng cảm,And I... empathize .,Và con... đồng cảm với bố.,Showing or expressing empathy.
ewe,noun,cừu cái,"The rams of this breed are horned, and the ewes are not.",Cừu đực thuộc giống này có sừng còn cừu cái thì không.,"A female sheep, as opposed to a ram."
disgorge,verb,phun ra,"In some versions, Metis gave Cronus an emetic to force him to disgorge the babies, or Zeus cut Cronus's stomach open.","Theo một số dị bản khác, Metis đã cho Cronus uống một thứ thuốc gây nôn để bắt hắn ta nôn ra những đứa trẻ hoặc là chính Zeus đã mổ dạ dày của Cronus để giải thoát cho anh em mình.","To vomit or spew, to discharge."
masticate,verb,nhai,"(Hebrews 5:11, 14) Solid food must be masticated before being swallowed and digested.","(Hê-bơ-rơ 5:11, 14) Phải nhai đồ ăn đặc trước khi nuốt và tiêu hóa.",(transitive) To chew (food).
lute,noun,đàn luýt,"The lute was similar to the harp, but it usually differed in shape.",Đàn luýt tương tự như đàn hạc nhưng thường có hình dạng khác.,"A fretted stringed instrument, similar to a guitar, having a bowl shaped body or soundbox."
troubadour,noun,Hát rong,"Like many of his contemporary troubadours , Peire merely composed contrafacta.","Giống như nhiều người hát rong đương thời, Cardenal chỉ đơn thuần sáng tác các contrafacta.",An itinerant composer and performer of songs in medieval Europe; a jongleur or travelling minstrel.
quizzical,adjective,buồn cười,"And they would look quizzically , and then be like, "" High five! ""","Mặt chúng biểu hiện rất buồn cười rồi "" high five! "" ( hai người giơ cao và vỗ tay nhau - thể hiện sự tán thành và phấn khích )",Questioning or suggesting puzzlement.
mature,adjective,trưởng thành,You can tell it's mature bone.,Bạn có thể thấy rằng đó là một cái xương trưởng thành .,"Fully developed; grown up in terms of physical appearance, behaviour or thinking; ripe."
corporate,adjective,đoàn thể,I just love requisitions and corporate record reports.,Tôi yêu các đơn yêu cầu và báo cáo đoàn thể lắm ý.,(finance) A bond issued by a corporation
psychologist,noun,nhà tâm lý học,The psychologists asked other people a slightly different question.,Các nhà tâm lý học hỏi những người khác với một câu hỏi khác đi một chút.,An expert in the field of psychology.
evolve,verb,tiến hoá,Maybe we evolved as a hunting pack animal.,Có thể chúng ta tiến hoá như một bầy động vật đi săn.,To move in regular procession through a system.
inclusion,noun,bao gồm,"but inclusive , sustainable growth","mà bao gồm , sự phát triển bền vững","(countable) An addition or annex to a group, set, or total."
trickle,verb,chảy nhỏ giọt,"The thing is, it doesn't trickle up.",Vấn đề ở đây là chúng ta không thể thay đổi được nó.,A very thin river.
slum,verb,khu ổ chuột,This whole area used to be slums when I was a boy.,Cả khu vực này từng là khu ổ chuột khi tôi còn nhỏ.,A dilapidated neighborhood where many people live in a state of poverty.
desalination,noun,Khử muối,and that's going to require us to build desalination plants.,và điều đó đòi hỏi chúng ta phải xây các nhà máy khử muối .,The process of removing salt from sea water in order to make drinking water.
