word,part_of_speech,meaning,example,example_meaning,definition
rote,adjective,làm việc một cách máy móc,"By committing to memory, learning by rote .","Dựa vào trí nhớ, học vẹt hoặc viết mọi thứ ra giấy",(rare) The roar of the surf; the sound of waves breaking on the shore.
viscid,adjective,dính,,,Viscous; having a high viscosity.
basal,adjective,cơ bản,But you said your basal temp spiked last night.,Nhưng em nói đo được nhiệt độ cực đại vào đêm qua mà.,"Relating to, or forming, the base, or point of origin."
ductile,adjective,dẻo,"In 1934, Egon Orowan, Michael Polanyi and Geoffrey Ingram Taylor, roughly simultaneously, realized that the plastic deformation of ductile materials could be explained in terms of the theory of dislocations.","Năm 1934, Egon Orowan, Michael Polanyi và Geoffrey Ingram Taylor gần như cùng một lúc nhận thấy rằng biến dạng dẻo của vật liệu dẻo có thể được giải thích theo thuyết sai lệch mạng.",Capable of being pulled or stretched into thin wire by mechanical force without breaking.
deciduous,adjective,phù du,"In contrast with western Georgia, nearly 85 percent of the forests of the region are deciduous .","Trái ngược với tây Gruzia, gần 85% rừng tại vùng này là phù du .","(biology) Describing a part that falls off, or is shed, at a particular time or stage of development."
pachyderm,noun,con voi,This has come 'round to be that all those naked pachyderms have aquatic ancestors.,Mọi động vật da dày được kết luận là đều có thủy tổ.,Someone (or something) with thick skin. It is used for animals such as an elephant or a hippopotamus.
differential,noun,vi phân,It's a partial differential equation.,Đó là phương trình vi phân riêng phần.,"of, or relating to a difference"
procreate,verb,sinh,"First, it was ordained for the procreation of children.","Một là, hôn nhân nhằm đảm bảo sự sinh sản, duy trì nòi gống.",(transitive) To beget or conceive (offspring).
cautionary,adjective,để báo trước,This is a cautionary tale.,Đây là một câu chuyện cảnh báo .,Serving to caution or warn; admonitory
physique,noun,cơ thể vóc người,"Your physique helps, I'm sure, too. Ah.",Vóc dáng của anh làm em chắc chắn đấy!,"The natural constitution, or physical structure, of a person."
ajar,adjective,khép hờ,"Then one night , finding the hutch door ajar , he escaped .","Thế là một đêm nọ , chú thấy cửa chuồng thỏ khép hờ liền thoát ra ngoài .","Slightly turned or opened; as, the door was standing ajar."
nuzzle,verb,ngửi,Nuzzling into someone's neck.,Ngoạm vào cổ ai đó.,"(of animals, lovers, etc) To touch someone or something with the nose."
octave,adjective,quãng tám,"Incidentally, we see just one octave .","Nhân tiện, chúng ta đang thấy một quãng tám","(music) An interval of twelve semitones spanning eight degrees of the diatonic scale, representing a doubling or halving in pitch."
riveting,adjective,,Riveting .,Thừa ấy chứ .,Present participle of rivet.
vehemently,adverb,dữ dội,The record states that “they vehemently tried to pick a quarrel with him.”,Lời tường thuật ghi lại: “Chúng cãi cùng người cách dữ - dội ”.,In a vehement manner; expressing with a strong or forceful attitude.
savior,noun,saviour,He came to earth as our Savior and Redeemer.,Ngài đã đến thế gian với tư cách là Đấng Cứu Rỗi và Đấng Cứu Chuộc của chúng ta.,A person who rescues another from harm.
complimentary,adjective,biếu,"Some complimentary pink champagne, Mr. Rams-Jones.","Một ít sâm-banh hồng làm quà biếu , ông Rams-Jones.",In the nature of a compliment.
exhilaration,noun,niềm vui vẻ,It sounds exhilarating .,Nghe có vẻ hồ hởi quá.,The act of enlivening the spirits; the act of making glad or cheerful; a gladdening.
abrasive,adjective,để mài mòn,"Greenblatt said that he initially found difficulty in working on any story with Truffles since the character could be ""so abrasive "" that the Chowder staff had to be ""a little more sensitive about finding her softer side.""","Greenblatt nói rằng ban đầu ông thấy khó khăn trong việc làm việc trên bất kỳ câu chuyện với Truffles kể từ khi nhân vật có thể là "" để mài mòn "" mà các nhân viên Chowder phải ""một chút nhạy cảm hơn về việc tìm kiếm mặt mềm mại của cô. """,Producing abrasion; rough enough to wear away the outer surface.
honcho,noun,,Go to the head honcho .,Chúng ta đi thẳng tới .,"boss, leader"
rant,verb,nói huênh hoang,I'm told he was ranting .,Tôi đã bảo anh ta đang nói huênh hoang .,A criticism done by ranting.
permanence,noun,sự lâu dài,(b) What attitude is revealed by those who ignore the Bible’s advice on the permanency of marriage?,b) Những người bỏ qua lời khuyên của Kinh-thánh về sự lâu dài trong hôn nhân có thái độ nào?,The state of being permanent.
coward,noun,nhát gan,"If I weren't such a coward , where would you be?",Nếu mình không phải là một đứa nhát gan thì cậu đang ở đâu chứ?,A person who lacks courage.
glory,noun,vinh quang,“Great shall be their reward and eternal shall be their glory .,“Phần thưởng của họ sẽ vĩ đại và vinh quang của họ sẽ vĩnh cửu.,"Worship or praise, as in glory to God."
steadily,adverb,vững,We become worthy by steadily and steadfastly obeying the commandments.,Chúng ta trở nên xứng đáng bằng cách tuân theo các lệnh truyền một cách kiên định và vững vàng.,In a steady manner.
irredeemable,adjective,không thể cứu vãn,And what I am... is irredeemable .,Và con người em... là không thể cứu vãn .,"Not redeemable; unredeemable; not able to be restored, recovered, revoked, or escaped."
perish,verb,diệt vong,"How is it that ye will perish , because of the hardness of your hearts?",Sao các anh lại muốn cho mình phải bị diệt vong vì lòng dạ chai đá?,To pass away; to come to naught; to waste away; to decay and disappear.
visualize,verb,hình dung,Do you visualize yourself attaining the prize when you read Bible accounts?,"Khi đọc Kinh Thánh, bạn có hình dung mình đạt được giải thưởng không?",(American) Alternative spelling of visualise.
betray,verb,phản bội,I didn't betray you.,Tôi không phản bội cậu.,"To violate the confidence of, by disclosing a secret, or that which one is bound in honor not to make known."
hardscrabble,adjective,,"And if Hardscrabble can't see that, then she can just...",Và nếu cô Hardscrabble không thấy rằng cô chỉ có thể...,Of or pertaining to land that takes a lot of work in order to farm and even then is not very productive.
aimless,adjective,không mục đích,"And it reminds us of the aimless nature of cloudspotting, what an aimless activity it is.","Và nó nhắc nhở chúng ta về bản chất không mục đích của việc ngắm mây, một hành động mới vu vơ làm sao.","Without aim, purpose, or direction."
jambalaya,noun,Jambalaya,"Jambalaya , gumbo.","Jambalya , gumbo... đều có hết!","Any of various of rice-based dishes common in Louisiana Cajun or Creole cooking; most often with shrimp, oysters, chicken or ham"
quench,verb,nén,Quenching our thirst!,Làm dịu đi cơn khát!,"(transitive) To satisfy, especially an actual or figurative thirst."
agitation,noun,sự bối rối,I will bring agitation and terror upon them suddenly.,"Bất thình lình, ta sẽ giáng sự bối rối và kinh khiếp trên chúng.","The act of agitating, or the state of being agitated; the state of being moved with violence, or with irregular action; commotion."
equivalence,verb,sự tương đương,(b) In what way does a ransom involve equivalency ?,(b) Giá chuộc đòi hỏi sự tương đương theo cách nào?,(uncountable) The condition of being equivalent or essentially equal.
