word,part_of_speech,meaning,example,example_meaning,definition
lintel,noun,lanh tô,Lintel 13 is above a doorway in Structure 20.,Vòm đá 13 ở trên một ô cửa trong Cấu trúc 20.,"(architecture) A horizontal structural beam spanning an opening, such as between the uprights of a door or a window, and which supports the wall above."
grackle,noun,grackle,,,Any of several American blackbirds of the genus Quiscalus having iridescent plumage
bemoan,verb,than khóc,""" Do not bemoan the sailor's life.",""" Đừng than khóc cho mạng tên thủy thủ",(transitive) to complain about; to dismay or worry about something
bedeck,verb,trang hoàng,A playground bedecked with flowers.,Một khoảng sân trang hoàng đầy hoa.,"To deck, ornament, or adorn; to grace."
piquant,adjective,cay cay,You know what else Dave finds particularly piquant ?,Anh có biết Dave còn tìm thấy thứ gì đặc biệt nữa không?,Engaging; charming.
elucidation,noun,sự giải thích,"Allow us to elucidate , Miss Bell.","Để bọn tớ giải thích cho bạn rõ nhé, Bell.","A making clear; the act of elucidating or that which elucidates, as an explanation, an exposition, an illustration; as, one example may serve for further elucidation of the subject."
imprudence,noun,hành động khinh suất,What an imprudent investment!,Thật là một sự đầu tư dại dột biết bao!,"(uncountable) The quality or state of being imprudent; want of prudence, caution, discretion or circumspection; indiscretion; inconsideration; rashness; heedlessness."
equivocal,adjective,nước đôi,"First they denied, and then they equivocated ...","Đầu tiên thì họ phủ nhận, rồi thì họ nói nước đôi ...",A word or expression capable of different meanings; an ambiguous term; an equivoque.
acquiescent,adjective,bằng lòng,"I asked for it back, they acquiesced .","Tôi muốn có lại nó, họ đã chấp nhận","willing to acquiesce, accept or agree to something without objection, protest or resistance"
pertinacity,noun,tính cố chấp,,,The state or characteristic of being pertinacious.
supposititious,adjective,giả định,"Some charged that the boy was "" supposititious "", having been secretly smuggled into the Queen's room in a bed-warming pan as a substitute for her stillborn baby.","Một số thông tin cho rằng cậu bé là ""giả mạo"", đã được bí mật đưa vào phòng của Vương hậu thay thế cho một đứa bé chết lưu từ trước.","Spurious; substituted for the genuine, counterfeit."
peroration,noun,,"Webster concluded his peroration with the famous words: ""It is, Sir, as I have said, a small college.","Kết luận bài diễn văn nổi tiếng của mình, Webster đã nói lên những câu từ nổi tiếng mà sau này được nhiều thế hệ trích dẫn lại: ""Nó, thưa ngài, như tôi đã nói, là một ngôi trường nhỏ.","The concluding section of a discourse, either written or oral, in which the orator or writer sums up and commends his topic to his audience, particularly as used in the technical sense of a component of ancient Roman oratorical delivery."
convivial,adjective,hoan lạc,"The Greeks are a convivial lot and when they celebrate, they want you to join in.","Người Hy Lạp là những con người hoan lạc và khi họ mở hội, họ muốn bạn tham gia cùng.","Of or relating to a feast or entertainment, or to eating and drinking, with accompanying festivity; festive; social; gay; jovial."
improvident,adjective,hoang toàng xa phí,,,failing to provide for the future; reckless
adjure,verb,bắt thề,"And now, as I adjure you in his name, begone from this woman and her unborn child... ( CONTINUES, INDISTINCT )","Và ngay bây giờ, ta sẽ thay mặt ông ấy trục xuất ngươi, khỏi người phụ nữ này và đứa con chưa ra đời của cô ấy,","To issue a formal command, especially in a legal context."
deserts,noun,giá trị,A beautiful desert bloom such as yourself should be on the arm of the most powerful man in the world.,Một sắc đẹp giá trị như nàng nên nằm trong người đàn ông mạnh nhất thế giới này.,Plural form of desert.
arraign,verb,buộc tội,"You want to sort this out, you sort it out after he's arraigned .","Cô muốn giải quyết việc này, thì hãy giải quyết nó sau khi anh ta bị buộc tội .",To officially charge someone in a court of law.
insensate,adjective,không cảm xúc,Paul spoke of “the insensibility of their hearts.”,Sứ đồ Phao-lô nói về “lòng họ cứng - cỏi ”.,Having no sensation or consciousness; unconscious; inanimate.
