word,part_of_speech,meaning,example,example_meaning,definition
typify,verb,là điển hình của,Large mammals that have evolved to take advantage of the ample forage typify the biodiversity associated with these habitats.,Động vật có vú lớn mà đã tiến hóa để tận dụng nguồn cỏ lớn là điển hình của sự đa dạng sinh học liên hệ với những sinh cảnh này.,"(transitive) To embody, exemplify; to represent by an image, form, model, or resemblance."
transgressive,adjective,,“Pierced for Our Transgression ”,‘Bị vết vì tội- lỗi chúng ta’,Involving transgression; that passes beyond some limit; sinful.
counterculture,noun,,It was originally a counterculture event held from 1968 to 1970.,Nó ban đầu là một sự kiện chống văn hóa được tổ chức từ năm 1968 đến năm 1970.,"Any culture whose values and lifestyles are opposed to those of the established mainstream culture, especially to western culture"
tenant farmer,noun,tá điền,"In Ugarit, on the Syrian coast, tenant farmers were subject to similar duties unless granted immunity by the king.","Tại Ugarit, vùng ven biển Syria, những tá điền cũng phải làm phu giống như thế ngoại trừ trường hợp được vua cho miễn.",A person who farms land rented from a landlord.
troth,noun,lòng thành thật,"1 MUSlCIAN Ay, by my troth , the case may be amended.","1 Ay nhạc sĩ, sự chân thành của tôi, trường hợp có thể được sửa đổi.","An oath, promise, or pledge."
torture,verb,tra tấn,"So if Dimitri wasn't tortured , maybe he was the one doing the torturing .","Vậy Dimitri không bị tra tấn , không chừng hắn ta là kẻ thực hiện cuộc tra tấn .",Intentional causing of somebody's experiencing agony.
lechery,noun,,Lechery ?,Dâm đãng ?,Inordinate indulgence in sexual activity.
meteoric,adjective,sao băng,"It's not a meteor shower, it's a funeral.","Đó không phải là mưa sao băng , mà là đám tang.","Of, pertaining to, or originating from a meteor."
restricted,adjective,bị giới hạn,Amazona diadema is restricted to the state of Amazonas in north-western Brazil.,Amazona diadema bị giới hạn ở bang Amazonas ở phía tây bắc Brazil.,Simple past tense and past participle of restrict.
congruence,noun,đoàn,I have the first congruency .,Đã có sự hợp nhất đầu tiên.,The quality of agreeing or corresponding; being suitable and appropriate.
nitwit,noun,người ngu đần,"Stop, you nitwit !","Dừng xe lại, đồ ngốc !",A scatterbrained or stupid person.
encyclopedic,adjective,bách khoa,Please edit to make more encyclopedic .,Xem ACID để có thêm thông tin về các tính chất giao dịch cần thiết.,"Of or relating to the characteristics of an encyclopedia; concerning all subjects, having comprehensive information or knowledge."
befoul,verb,làm nhơ bẩn,Commercial interests befoul the earth in other ways for profit.,Các mưu kế thương mại làm bẩn trái đất trên nhiều phương diện khác để cầu lợi.,To make foul; to soil.
swan,verb,con thiên nga,I was feeling a lot like that little swan .,Tôi cảm thấy giống như con thiên nga nhỏ đó.,"(plural also 'swan') Any of various species of large, long-necked waterfowl, of genus Cygnus, most of which have white plumage."
natty,adjective,đẹp,"Somi, Mina, and Natty remain Majors, while Minyoung, Eunsuh, and Momo remain Minors.","Somi, Mina, và Nattyo vẫn ở lại Majors, trong khi Minyoung, Eunsuh và Momo vẫn ở Minors.",(informal) Smart and fashionable.
obtrude,verb,bắt phải chịu,"I don't mean to say that I regret my action, nor will I pretend that I can't sleep o'nights in consequence; still, the idea obtrudes itself that he made so much of his disgrace while it is the guilt alone that matters.","Tôi không có ý nói rằng tôi hối tiếc hành động của tôi, cũng không phải tôi sẽ giả vờ rằng tôi có thể không giấc ngủ đêm của o ́trong hậu quả, vẫn còn, ý tưởng obtrudes riêng của mình rằng ông đã rất nhiều nhục nhã của mình trong khi nó là cảm giác tội lỗi một mình là vấn đề.",(transitive) To proffer (something) by force; to impose (something) on someone or into some area. [from 16th c.]
inestimable,adjective,vô giá,Kingdom truth is without a doubt a pearl of inestimable value!,Sự thật về Nước Trời quả là một viên ngọc vô giá !,"Not able to be estimated; not able to be calculated, computed or comprehended, as because of great scale, degree or magnitude."
sepulchral,adjective,có vẻ tang tóc,Sealed Sepulchres,Các Ngôi Mộ Bị Niêm Phong,Suggestive of a grave
playwright,noun,nhà soạn kịch,"Apparently, you're living with Britain's greatest living playwright .",Cậu đang sống cùng với nhà soạn kịch vĩ đại nhất nước Anh đấy.,A writer and creator of theatrical plays.
invariable,adjective,không đổi,There were a bunch of these types of invariants .,Có một loạt các loại vật thể bất biến .,Not variable; constant.
plausibility,noun,sự có vẻ đúng,It's just as plausible as some of your theories.,Cũng đáng cân nhắc như những giả thuyết của anh vậy.,(obsolete) Something worthy of praise.
prefigure,verb,biểu hiện trước,"Jesus knew that the high priest’s work and the sacrifices prefigured his own ministry and sacrificial death, and he knew how vital it was for people to learn from these.","Chúa Giê-su biết rằng công việc của thầy tế lễ thượng phẩm và các của-lễ biểu hiện trước về chính thánh chức và sự chết làm của-lễ hy sinh của ngài, và ngài biết việc người ta học hỏi về những điều này thật thiết yếu làm sao.",To show or suggest ahead of time; to represent beforehand
wiretap,verb,,Wiretap it.,Nghe lén đi.,A concealed device connected to a telephone or other communications system that allows a third party to listen or record conversations.
gulag,noun,Trại cải tạo lao động của Liên Xô,"Gulag , worst in Russia.","Gulag , là tồi tệ nhất ở Nga.",A prison camp.
ensorcelled,adjective,,,,Simple past tense and past participle of ensorcell.
cannibal,noun,kẻ ăn thịt người,He meets cannibals and giants on his voyages.,Anh ấy đụng phải kẻ ăn thịt người và những tên khổng lồ trong cuộc hành trình.,An organism which eats others of its own species.
rumble,verb,chạy ầm ầm,I'm hearing rumblings about some big play down south.,Nhưng nghe nói bên Mễ đang có vụ gì khủng khiếp lắm.,An onomatopoeia describing a rumbling noise
donor,noun,người cho,These can be classed as either receiver or donor methods.,Đây có thể được phân loại như là một trong hai phương pháp người nhận hoặc người cho .,"One who donates, typically, money."
encouragement,noun,sự khuyến khích,Would we really be able to encourage those who did not understand a great deal of English?,Liệu chúng tôi có thể thực sự khuyến khích những người không hiểu nhiều tiếng Anh không?,"The act of encouraging; incitement to action or to practice; as, the encouragement of youth in generosity."
leprechaun,noun,quỷ,By the leprechaun union?,Tôi phải báo cáo. Bắng Hiệp Hội Ma quỷ ư?,(Irish folklore) One of a race of elves who can reveal hidden treasure to those who catch it
fuel,noun,nhiên liệu,The fuel I want to discuss is spiritual fuel .,Nhiên liệu mà tôi muốn thảo luận là nhiên liệu thuộc linh.,"Substance consumed to provide energy through combustion, or through chemical or nuclear reaction."
plea,verb,lời khẩn cầu,Her message sounded like a desperate plea for attention.,Thông điệp của cô như một lời khẩn cầu sự quan tâm.,"An appeal, petition, urgent prayer or entreaty."
prideful,adjective,tự cao,(b) How might pride affect one’s view of counsel?,(b) Người tự cao phản ứng ra sao trước lời khuyên?,Full of pride.
disciplinarian,adjective,người giữ kỷ luật,"Clewett, was quiet but firm, a good disciplinarian .","Giáo viên mới là thầy Clewett trầm tĩnh nhưng quyết đoán, một người giữ kỷ luật rất nghiêm.",One who exercises discipline.
maiden,noun,trinh nữ,"One day, while out gathering wood, the wife built a maiden out of snow.","Một ngày, khi đi chặt củi, bà đắp một trinh nữ từ tuyết.",(now chiefly literary) A girl or an unmarried young woman.
