word,part_of_speech,meaning,example,example_meaning,definition
calculus,noun,giải tích,"If Isaac Newton had done YouTube videos on calculus , I wouldn't have to.","Nếu như Isaac Newton từng làm những video về giải tích , Thì tôi đã không phải làm rồi.","(dated, countable) calculation, computation"
concavity,noun,lõm,"Boulton greatly reduced the counterfeiting problem by adding lines to the coin edges, and striking slightly concave planchets.","Boulton đã giảm đáng kể vấn đề giả mạo bằng cách thêm các dòng vào các cạnh của đồng xu, và bề mặt đồng xu hơi lõm .",(uncountable) The state of being concave
continuity,noun,sự liên tục,It suggests continuity .,Chữ này có ngụ ý là sự liên tục .,Lack of interruption or disconnection; the quality of being continuous in space or time.
definite integral,noun,tích phân nhất định,This is how we evaluate definite integrals .,Đây là cách chúng ta tính tích phân xác định,(mathematics) The integral of a function between an upper and lower limit
differential calculus,noun,phép tính vi phân,It employs the mathematics of differential calculus (which was also initiated by Newton in his youth).,Nó sử dụng toán học của phép tính vi phân (cũng được Newton khởi xướng khi còn trẻ).,(calculus) The calculus that deals with instantaneous rates of change.
differential equation,noun,phương trình vi phân,It's a partial differential equation .,Đó là phương trình vi phân riêng phần.,(calculus) an equation involving the derivatives of a function
differentiation,noun,phép lấy vi phân,"In fact, it was essentially Christoffel’s idea of covariant differentiation that allowed Ricci-Curbastro to make the greatest progress.","Trên thực tế,, về cơ bản, thì ý tưởng của Christoffel về phép lấy vi phân hiệp biến đã cho phép Ricci-Curbastro đạt được tiến bộ lớn nhất.",The act of differentiating.
discontinuous,adjective,gián đoạn,(The pigeon post was discontinued after three years when the sanatorium was closed.),(Thư bồ câu đã bị gián đoạn sau 3 năm khi viện điều dưỡng bị đóng cửa.),having breaks or interruptions; intermittent
exponential function,noun,Hàm mũ,Let's start with an exponential function .,Hãy bắt đầu với một hàm mũ .,(mathematics) Any function in which an independent variable is in the form of an exponent; they are the inverse functions of logarithms
inverse function,noun,Hàm ngược,"In general, a pricing model function , f, does not have a closed-form solution for its inverse , g.","Nói chung, một mô hình chức năng định giá, f, không có một giải pháp thức đóng cho nghịch đảo của nó, g.",(mathematics) A function that does exactly the opposite of another; formally the inverse function f^{-1}\! of a function f\! exists such that: \forall x . f(x) = y \implies f^{-1}(y) = x.
linearity,noun,tính tuyến tính,"Well when you have a linear model, right?",Nghĩa là gì?,The state of being linear.
logarithmic,adjective,loga,"Select the histogram scale. If the date count 's maximal values are small, you can use the linear scale. Logarithmic scale can be used when the maximal values are big; if it is used, all values (small and large) will be visible on the graph","Ở đây hãy chọn tỷ lệ biểu đồ tần xuất. Nếu ảnh có số đếm tối đa nhỏ, bạn có thể dùng tỷ lệ tuyến. Còn nếu ảnh có số đếm tối đa lớn, bạn có thể dùng tỷ lệ loga ; nếu dùng, mọi giá trị (cả nhỏ lẫn lớn) sẽ được hiển thị trong đồ thị","(mathematics) Of, or relating to logarithms."
maximum,adjective,tối đa,It's aimed at making the virus hit with maximum impact.,Nó là nhằm mục đích làm cho virus có tác động tối đa .,The highest limit.
minimum,adjective,mức tối thiểu,"I'm afraid that if not, I might have to keep the money flow to a minimum .","Tôi e rằng nếu không có, tôi sẽ phải để cho dòng tiền chảy ở mức tối thiểu .",The lowest limit.
monotonic,adjective,đơn điệu,Monotonous and pointless.,Đơn điệu và vô nghĩa.,of or using the Greek system of diacritics which discards the breathings and employs a single accent to indicate stress.
parametric,adjective,tham số,"It's got, like, parametric equalization.",Nó còn có chức năng cân bằng các tham số .,"Of, relating to, or defined using parameters."
aisle,noun,cánh,"No one to show us politely to our section, aisle , row, and seat.","Chẳng ai lịch sự chỉ cho chúng tôi khu, cánh , dãy và ghế ngồi.","A wing of a building, notably in a church separated from the nave proper by piers"
