word,part_of_speech,meaning,example,example_meaning,definition,ID
salivate,verb,chảy nhiều nước bọt,You're salivating .,Anh đang thèm nhỏ dãi .,(intransitive) To produce saliva.,2852
concentrate,verb,tập trung,"In early January 1944, Ferdinand was suddenly taken to a concentration camp in Vught, in the Netherlands.","Đầu tháng 1 năm 1944, anh bất ngờ bị chuyển đến trại tập trung ở Vught, Hà Lan.","(transitive), (intransitive) To bring to, or direct toward, a common center; to unite more closely; to gather into one body, mass, or force.",2853
precise,adjective,đúng,"He quoted also the third chapter of Acts, twenty-second and twenty-third verses, precisely as they stand in our New Testament.","Ông cũng trích dẫn chương ba trong sách Công Vụ Các Sứ Đồ, các câu hai mươi hai và hai mươi ba, đúng như trong Tân Ước của chúng ta.","exact, accurate",2854
random,adjective,bừa,You can't bring some random guy home and expect him to be our sperm donor.,Anh không thể bắt bừa 1 gã rồi mang về nhà và bảo em chấp nhận lấy tinh trùng của người đó.,"(obsolete) Speed, full speed; impetuosity, force. [14th-17th c.]",2855
consequence,noun,hậu quả,What have been the consequences ?,Hậu quả là gì?,That which follows something on which it depends; that which is produced by a cause.,2856
minimal,adjective,rất nhỏ li ti,""" He was able to unhook my bra with minimal supervision. """,""" Cậu ta có thể cởi áo ngực của tôi với ít động tác nhất "".","The smallest possible amount, quantity, or degree.",2857
surreal,adjective,siêu thực,"kind of cubist, surreal , psychedelic picture of me","đại loại như tranh lập thể, siêu thực vẽ tôi đang phê thuốc",Resembling a dream: fantastic and incongruous,2859
extrapolate,verb,ngoại suy,So I want to extrapolate on this idea a bit with something that's a little bit crazy.,Nên tôi muốn ngoại suy về ý tưởng này một chút hơi điên khùng một chút.,(transitive) To infer by extending known information.,2860
allegedly,adverb,bị cho là,Allegedly .,Cứ cho là vậy .,According to someone's allegation.,2861
innuendo,noun,lời nói bóng gió,Someday you have to make good on your innuendos .,Một ngày nào đó anh phải thực hiện những lời nói bóng gió của anh.,"A derogatory hint or reference to a person or thing, especially a sexual one. An implication or insinuation.",2862
spree,noun,chè chén lu bù,The major's men are on a spree .,Người của Thiếu tá đi quậy .,"A merry frolic; especially, a drinking frolic.",2863
cataract,noun,thác nước lớn,"Wilson's presents with cataracts , I think.",Bệnh Wilson có biểu hiện là bị mờ mắt .,(obsolete) A waterspout,2864
simpleton,noun,anh thộn,"Yes, I do, simpleton .",Có phiền đấy .,A simple person lacking common sense.,2865
concourse,noun,phòng lớn,Grand concourse .,Sảnh lớn .,A large open space in a building where people can gather.,2866
unconditional,adjective,không điều kiện,Just for the pursuit of unconditional love?,Chỉ để theo đuổi tình yêu không điều kiện à?,"absolute, and without conditions, limitations, reservations or qualifications",2868
momentum,noun,đà,So it suggests that the momentum is shifting.,Vì thế nó gợi ý rằng đà dịch chuyển.,(physics) (of a body in motion) the product of its mass and velocity.,2869
heirloom,noun,của gia truyền,"It's just hard not to be nervous, because I have family heirlooms .",Chỉ là khó mà không lo lắng bởi vì tôi có của gia truyền .,A valued possession that has been passed down through the generations.,2870
rivet,verb,đinh tán,Adhesives were replacing the rivets .,Chất dính thì để thay thế đinh tán .,A cylindrical mechanical fastener that attaches multiple parts together by fitting through a hole and deforming the head(s) at either end.,2871
tether,verb,buộc,"Oh, you speak of severing bonds, but remain firmly tethered !","Oh, ngươi nói rằng đã phản bội, nhưng có vẻ vẫn ràng buộc lắm!","(by extension) the limit of one's abilities, resources etc",2872
compliant,adjective,phục tùng mệnh lệnh,He's also more compliant than House.,Anh ta cũng nguyên tắc hơn House.,Willing to comply; yielding; bending; pliant; submissive; willing to do what someone wants.,2873
