word,part_of_speech,meaning,example,example_meaning,definition
prolonged,adjective,kéo dài,Ctesiphon fell after a prolonged siege.,Ctesiphon tiếp đó thất thủ sau một cuộc bao vây kéo dài .,lengthy in duration; extended; protracted.
unjust,adjective,bất công,So unjust .,Thật bất công .,"Not fair, just or right."
computation,noun,sự tính toán,So the computation is space soluble and network soluble.,Vì thế sự tính toán là không gian giải được và mạng lưới giải được.,The act or process of computing; calculation; reckoning.
boundless,adjective,vô hạn,His grief will not be boundless .,Nỗi đau thương của người đó sẽ không vô hạn .,"Without bounds, unbounded."
tactician,noun,nhà chiến thuật,A master tactician and a man of singular vision.,Đó là 1 nhà chiến thuật đại tài và 1 con người có tầm nhìn sâu rộng.,A person skilled in the planning and execution of tactics
traffic,noun,giao thông,There are detailed traffic rules for the canal.,Có những quy tắc giao thông chi tiết cho kênh đào.,"Pedestrians or vehicles on roads, or the flux or passage thereof."
onset,verb,bắt đầu,On 12 October 1940 Hitler cancelled Sea Lion due to the onset of winter.,"Vào ngày 12 tháng 10 năm 1940, Hitler hủy bỏ Chiến dịch Sư tử Biển do mùa đông bắt đầu .","(acoustics) The beginning of a musical note or other sound, in which the amplitude rises from zero to an initial peak."
glutton,noun,kẻ tham ăn,"21 For a drunkard and a glutton will come to poverty,+","21 Bởi kẻ say sưa và kẻ tham ăn ắt sẽ đói nghèo,+",gluttonous; greedy; gormandizing.
groundless,adjective,không căn cứ,There's no need to listen to such groundless speculations.,Tôi không muốn nghe những tin đồn vô căn cứ ấy nữa.,Without any grounds to support it; baseless.
barbarity,noun,hành động dã man,That's barbaric !,Thật dã man !,(uncountable) The state of being barbarous; brutality
transpiration,noun,sự thoát hơi nước,When I think what might have transpired,Ta đã nghĩ không biết sẽ có chuyện gì xảy ra nếu ngài không đến đó...,"(botany) The loss of water by evaporation in terrestrial plants, especially through the stomata; accompanied by a corresponding uptake from the roots."
magnetism,noun,sức hấp dẫn,She can't resist my animal magnetism .,Cô ấy không thể cưỡng lại sức hấp dẫn của tôi đâu.,The science which treats of magnetic phenomena.
proton,noun,proton,I'm gonna use it to make a proton shotgun.,"Tôi định dùng để chế tạo súng thục "" proton "".",(physics) A positively charged subatomic particle forming part of the nucleus of an atom and determining the atomic number of an element; the nucleus of the most common isotope of hydrogen; composed of two up quarks and a down antiquark
neutron,noun,nơtron,"Look, I could swing around that neutron star to decelerate.","Vậy, tôi có thể bay quanh ngôi sao Nơtron kia để giảm tốc...",(physics) A subatomic particle forming part of the nucleus of an atom and having no charge; it is a combination of an up quark and two down quarks
substrate,adjective,chất nền,silk lines to a substrate .,các sợi tơ với chất nền .,(biochemistry) What an enzyme acts upon.
palace,noun,cung điện,You weren't made to sit on a chair in a palace .,Nàng không sinh ra chỉ để ngồi trên ngai cao trong cung điện .,A large and lavishly ornate residence.
nationality,noun,quốc tịch,"After the war, the nationality of the island was uncertain.",Sau chiến tranh quốc tịch của hòn đảo chưa được xác định.,"Membership of a particular nation or state, by origin, birth, naturalization, ownership, allegiance or otherwise."
masterpiece,noun,kiệt tác,I think this just might be my masterpiece .,Tôi nghĩ đây sẽ là kiệt tác để đời của tôi.,"A piece of work that has been given much critical praise, especially one that is considered the greatest work of a person's career."
readiness,noun,sự sẵn sàng,"But, they might be ready to make a go of it on their own.",Họ sẽ thực sự sẵn sàng trên đôi chân của mình.,the state or degree of being ready
eroded,adjective,bị xói mòn,"on Earth erodes away because of water and tumbling,","trên Trái Đất bị xói mòn do nước và các hoạt động,",worn down or worn away.
admonitory,adjective,cảnh cáo,,,Of or pertaining to an admonition
vitrify,verb,làm thành thuỷ tinh,,,"to be made into glass, especially through heat"
fertility,noun,khả năng sinh sản,The red that means fertility can also mean poison.,Màu đỏ biểu tượng cho khả năng sinh sản cũng có thể mang nghĩa là độc dược.,"The condition, or the degree of being fertile."
straits,noun,eo biển,The king ordered that a pontoon bridge of ships be built across the strait of Hellespont.,Vua lệnh xây một cầu phao bằng tàu băng qua eo biển Hellespont.,Plural form of strait.
shalwar,noun,,"Stitched clothes, such as the shalwar kameez for women and kurta–pyjama combinations or European-style trousers and shirts for men, are also popular.","Các loại phục trang được khâu cũng phổ biến, như shalwar kameez cho nữ giới và kết hợp kurta–pyjama hay quần áo kiểu Âu cho nam giới.","(in singular or plural) loose trousers worn in some South Asian or Islamic countries, especially by women"
meritocracy,noun,Chế độ nhân tài,Let's take meritocracy .,Hãy xem chế độ nhân tài .,"Rule by merit, and talent. By extension, now often used to describe a type of society where wealth, income, and social status are assigned through competition."
rehash,verb,làm lại thành mới,If they are rehashed in terms of data bases the better.,Nếu chúng được thử lại về mặt cơ sở dữ liệu thì tốt hơn.,"(transitive) To rework old material (physical material, ideas, documents etc), redo some work, with some variations."
annals,noun,biên niên,The first record of the Cimmerians appears in Assyrian annals in the year 714 BC.,Tường thuật đầu tiên về Cimmerians xuất hiện trong biên niên sử Assyria vào năm 714 TCN.,Plural form of annal.
ridiculous,adjective,lố lăng,"I know Joe, and me sayin'he definitely had nothin'to do with it is ridiculous .","Tôi biết Joe, và tôi nói dứt khoát không có gì làm lố lăng .",Deserving of ridicule; foolish; absurd.
tatter,verb,mảnh,"An emergency room doctor stitched together the shreds of skin , pulling cat-gut through the tattered outside of my face and then suturing the shards of flesh inside my mouth .","Bác sĩ phụ trách phòng cấp cứu đã khâu những mảnh da nhỏ lại với nhau , kéo chỉ cát-gút qua phần bị rách bên ngoài gương mặt tôi rồi sau đó khâu những mảnh thịt bị rách bên trong miệng tôi lại .",A shred of torn cloth; an individual item of torn and ragged clothing.
miracle,verb,phép mầu,But he doesn't do miracles just to show off.,Nhưng người không tạo ra những phép mầu chỉ để khoe khoang.,A wonderful event occurring in the physical world attributed to supernatural powers.
sacerdotal,adjective,giáo chức,"Newman added that such things as holy water, sacerdotal vestments, and images were “all of pagan origin, and sanctified by their adoption into the Church.”","Ông Newman nói thêm rằng những thứ như nước thánh, y phục nhà tu và các hình tượng, “tất cả đều bắt nguồn từ tà giáo, và trở nên thánh sạch sau khi được Giáo hội chấp nhận”.",Of or relating to priests or a high religious order; priestly.
