word,part_of_speech,meaning,example,example_meaning,definition
stampede,verb,chạy tán loạn,Stampede in the gorge.,Lũ bò chạy tán loạn ở hẻm núi.,"A wild, headlong scamper, or running away, of a number of animals; usually caused by fright; hence, any sudden flight or dispersion, as of a crowd or an army in consequence of a panic."
range,verb,Dải,Now imagine your ears were only sensitive to a very limited range of frequencies.,Bây giờ hãy tưởng tượng tai bạn chỉ nhạy cảm với một dải tần số rất hạn chế.,Line or series of mountains
smear,verb,bôi nhọ,"Smeared by the Church in 591 anno Domini, poor dear.","Giáo hội bôi nhọ cô ta vào năm 59 1 trước CN, tội thật.","(transitive) To spread (a substance, especially one that colours or is dirty) across a surface by rubbing."
hideous,adjective,ghê tởm,Thank God Mr. Coleman survived these hideous acts of random violence.,Cám ơn chúa anh Coleman đã sống sót qua những hành động ghê tởm này.,Frightful; shocking; extremely ugly.
fidgety,adjective,bồn chồn,Jimmy’s mom would be holding and hugging her two-year-old when he would get fidgety .,Mẹ của Jimmy sẽ bế và ôm cậu con hai tuổi của mình mỗi khi cậu bé lo lắng bồn chồn .,"Having, or pertaining to, a tendency to fidget."
mural,adjective,bức tranh tường,A colonnaded great hall (lobby) includes a mural of Ulrim Falls.,Một sảnh lớn hội trường (sảnh) bao gồm một bức tranh tường của Ulrim Falls.,"A large painting, usually drawn on a wall."
apocalypse,noun,sách khải huyền,“Glad Tidings” From the Apocalypse,“Tin vui” từ sách Khải - huyền,(uncountable) The end of life on earth or all.
counterclaim,verb,yêu cầu bồi thường,"Genevieve, Missouri, who had advocated the American occupation of Oregon as a counterclaim to the British.","Genevieve, Missouri người cổ vũ Hoa Kỳ chiếm Oregon để đối chọi lại sự tuyên bố chủ quyền của người Anh.",(law) a suit filed by a defendant against a plaintiff secondary to the original complaint.
portion,noun,phần,"In some languages, however, ""part of a program"" refers to "" portion of run time (time period during execution)"", and is known as dynamic scope.","Tuy nhiên trong một số ngôn ngữ, ""một phần chương trình"" đề cập đến ""một phần của thời gian chạy (khoảng thời gian trong khi thực thi)"", và được gọi là tầm vực động (dynamic scope).",An allocated amount.
critique,verb,bài phê bình,His sociology engaged in a neo-Kantian critique of the limits of human perception.,Ông tham gia vào bài phê bình xã hội học của neo-Kantian chỉ trích giới hạn của nhận thức con người.,"Essay in which another piece of work is criticised, reviewed, etc."
foreshadow,verb,báo hiệu,"Irving establishes the mood and tone, foreshadowing the horror which is to come.","Irving lập tâm trạng và giai điệu, báo hiệu trước các kinh dị đang tiến đến gần.","To presage, or suggest something in advance."
tang,verb,chuôi,The tang is nearly the width of the blade.,Chuôi kiếm gần bằng chiều ngang của lưỡi kiếm...,(obsolete) tongue
visionary,adjective,hão huyền,"So states the German book Seher, Grübler, Enthusiasten ( Visionaries , Ponderers, Enthusiasts).","Cuốn sách tiếng Đức Seher, Grübler, Enthusiasten (Người mơ mộng hão huyền , người cân nhắc, người nhiệt tình) nói như vậy.",someone who has visions; a seer
jabber,verb,lời nói huyên thiên,Jabber Protocol,Công cụ vẽName,"(intransitive) To talk rapidly, indistinctly, or unintelligibly; to utter gibberish or nonsense."
annual,adjective,hàng năm,Many of them will travel long distances to attend the annual festivals there.,Nhiều người trong họ sẽ từ nơi rất xa về dự các lễ hội hàng năm tại đó.,Happening once every year.
countdown,verb,đếm ngược,"When the countdown is complete, the reaction should render the volcano inert.","Khi quá trình đếm ngược hoàn tất, phản ứng sẽ làm nguội núi lửa.","A count backward in fixed units to the time of some event, especially the launch of a space vehicle"
nonviolence,noun,Bất bạo động,how they can use nonviolent struggle to conduct conflict.,làm sao để sử dụng đấu tranh bất bạo động để xử lý xung đột.,"A philosophy that rejects the use of violence, and instead seeks to bring about change through peaceful responses even to violent acts."
skeptic,noun,người hay hoài nghi,I was skeptical .,Tôi đã không tin .,"Someone who habitually doubts beliefs and claims presented as accepted by others, requiring strong evidence before accepting any belief or claim."
insurance,noun,bảo hiểm,We're talking about a guy who was insured by my client.,Nói về người được bảo hiểm bởi khách hàng tôi.,A means of indemnity against a future occurrence of an uncertain event.
pardon,verb,xá tội,First you must go to Camp David and find the pardoned turkey.,Cậu phải đến Camp Refuge và tìm Gà Tây Xá Tội .,Forgiveness for an offence.
primatology,noun,Linh trưởng học,"Because of the high number of women, Schiebinger has even asserted that “ Primatology is widely celebrated as a feminist science”.","Do số lượng lớn nhà nghiên cứu là phụ nữ, Schiebinger thậm chí còn khẳng định rằng "" linh trưởng học nổi tiếng khắp nơi là một khoa học nữ quyền"" (Primatology is widely celebrated as a feminist science).",(zoology) The branch of zoology relating to the study of primates
