word,part_of_speech,meaning,example,example_meaning,definition
logistic,adjective,logistic,This makes order picking one of the most controlled logistic processes.,Điều này làm cho thứ tự chọn một trong các quy trình logistic được kiểm soát nhất.,(operations) Relating to logistics.
populist,adjective,dân túy,In 1946 General Juan Perón became president; his populist ideology became known as peronism.,"Năm 1946 tướng Juan Perón được bầu làm tổng thống, tạo ra một phong trào dân túy được gọi là ""Chủ nghĩa Peron"".",A person who advocates democratic principles
fettle,noun,điều kiện,"Thank me no thankings, nor proud me no prouds, But fettle your fine joints'gainst Thursday next","Cảm ơn tôi không thankings, cũng không tự hào tôi không prouds, Nhưng điều kiện khớp tốt của bạn ́gainst Ngày kế tiếp",A state of proper physical condition; kilter or trim.
prude,adjective,nhã nhặn,How am I a prude ?,Sao lại làm bộ làm tịch ?,"A person who is or tries to be excessively proper, especially one who is easily offended by matters of a sexual nature."
insentient,adjective,vô tri vô giác,"Using verbs for inanimate, insentient objects is akin to breathing life into the objects, making it lively in the mind of the reader.","Dùng động từ cho những vật tưởng là vô tri , vô giác cũng giống như việc thổi sức sống vào trong vật thể, làm nó sống động trong đầu người đọc thơ.",having no consciousness or animation; not sentient
disinfect,verb,tẩy trùng,We've found that propolis is a natural disinfectant .,Chúng tôi nhận thấy rằng keo ong là một chất tẩy trùng tự nhiên.,To sterilize by the use of cleaning agent such as bleach.
accessory,adjective,a tòng,An accessory .,Một đồng lõa .,"Having a secondary, supplementary or subordinate function by accompanying as a subordinate; aiding in a secondary way; being additional; being connected as an incident or subordinate to a principal; contributing or being contributory. Said of persons and things, and, when of persons, usually in a bad sense; as, he was accessory to the riot; accessory sounds in music."
tireless,adjective,bền bỉ,(Matthew 7:28) He was also a tireless preacher.,"(Ma-thi-ơ 7:28, An Sơn Vị) Người đó cũng là một người rao giảng bền bỉ .","Indefatigable, untiring and not yielding to fatigue"
likelihood,noun,có khả năng,"Without the tube, there's a high likelihood that Mr. Giles will die.","Nếu không có ống thông khí quản, có khả năng rất cao rằng Ông Giles sẽ chết.",The probability of a specified outcome; the chance of something happening; probability; the state of being probable.
squawk,verb,làm ầm ĩ,I squawk .,Tôi có tiếng quạc quạc.,"A shrill noise, especially made by a voice; a yell, scream, or call."
sniper,noun,bắn tỉa,Former Army Ranger and decorated sniper .,Cựu bộ binh thuộc Lục quân Hoa Kỳ và là một tay bắn tỉa .,A person using long-range small arms for precise attacks from a concealed position.
slumber,verb,ngủ,Daytime naps may steal hours from nighttime slumber .,Giấc ngủ trưa có thể khiến bạn ngủ ít đi vào ban đêm .,"a very light state of sleep, almost awake"
prioress,noun,bà trưởng tu viện,"The first, in 1895 is a memoir of her childhood, written under obedience to the Prioress , Mother Agnes of Jesus, her older sister Pauline.","Têrêsa bắt đầu cầm bút vào năm 1895 để viết một hồi ký về thời thơ ấu của mình, dưới lệnh của chị Pauline (tên dòng là Mẹ Anges Chúa Giêsu).",a nun in charge of a priory; an abbess or mother superior
psalm,noun,thánh ca,His songs include both contemplative and pastoral psalms .,Chúng là những bài thánh ca vừa sâu lắng vừa mộc mạc.,A sacred song; a poetical composition for use in the praise or worship of God.
joust,verb,cưỡi ngựa đấu thương,The joust .,Cuộc đấu thương .,A tilting match: a mock combat between two mounted knights or men-at-arms using lances in the lists or enclosed field.
moccasin,noun,giày da đanh,"However, the Moccasins had other plans.","Tuy nhiên, quân Liên Xô có một kế hoạch khác.","Of a light beige colour, like that of a moccasin."
elder,noun,bô lão,This girl thinks she knows better than the town elders .,Con ả này tưởng mình khôn hơn các bô lão của thị trấn.,Comparative of old; greater than another in age or seniority.
sacred,adjective,thần thánh,"You know, I've always held science as sacred .","Anh biết đấy, tôi luôn tin vào khoa học như là thần thánh .","Set apart by solemn religious ceremony; especially, in a good sense, made holy; set apart to religious use; consecrated; not profane or common; as, a sacred place; a sacred day; sacred service."
ornament,verb,đồ trang trí,Many ornaments found in the kurgans depict everyday Scythian life.,Nhiều đồ trang trí tìm được trong các mộ này miêu tả đời sống hàng ngày của họ.,An element of decoration.
forbidden,adjective,ngăn cấm,"I'm a Kingsguard, forbidden by oath to carry on the family line.","Con là Vệ Vương, bị lời thề ngăn cấm lập gia đình.",not allowed.
eager,adjective,ham,Do not be too eager to deal out death and judgment.,Đừng quá ham muốn đối đầu với cái chết và sự phán quyết,A tidal bore.
balance,verb,cân bằng,"When escaping a cell with quotes, the number of quotes must be balanced .","Khi thoát một ô bằng dấu ngoặc kép, số dấu ngoặc kép phải được cân bằng .",(uncountable) a state in which opposing forces harmonise; equilibrium
standard,noun,tiêu chuẩn,14 Do I respect and love the Bible’s moral standards ?,14 Tôi có tôn trọng và yêu thích những tiêu chuẩn đạo đức trong Kinh Thánh không?,(of a tree or shrub) Growing on an erect stem of full height.
lack,verb,thiếu,"These maps allow teachers to easily locate students who need more help with lessons, and provide assistance when they lack books, clothes, or transportation.","Những bản đồ này cho phép giáo viên dễ dàng xác định vị trí của những học sinh cần giúp đỡ nhiều hơn trong học tập, và hỗ trợ kịp thời khi các em thiếu sách vở, quần áo hoặc phương tiện đi lại.",(obsolete) A defect or failing; moral or spiritual degeneracy.
require,verb,yêu cầu,The Philippines ' government required both sides to put an end to the attacks .,Chính phủ Philippines đã lên tiếng yêu cầu hai bên chấm dứt các cuộc tấn công .,(obsolete) To ask (someone) for something; to request. [14th-17th c.]
sergeant,noun,trung sĩ,"Is that how you'd let your sergeant go out, Jones?","Có phải đây là cách mà cậu muốn cho trung sĩ của mình ra đi không, Jones?","UK army rank with NATO code OR-6, senior to corporal and junior to warrant officer ranks."
struggle,verb,đấu tranh,All this time I've been struggling with who I am.,"Suốt thời gian qua, anh đã luôn đấu tranh với con người mình.","strife, contention, great effort"
torpedo,noun,ngư lôi,"Well, then, what do you need torpedo for?","Vậy, Cậu cần đạn ngư lôi cho việc gì?",(military) A cylindrical explosive projectile that can travel underwater and is used as a weapon.
amphibious,adjective,lưỡng cư,"an amphibious park, if you will.",một công viên lưỡng cư .,Capable of functioning on land or in water.
bombardment,noun,cuộc oanh tạc,That is the beginning of the carpet bombardment .,Đó là khởi đầu của cuộc oanh tạc .,"the act of bombing, esp towns or cities"
suicide,verb,tự sát,And who's gonna be paying us for this suicidal endeavor?,Và ai sẽ trả tiền cho nỗ lực tự sát này của chúng ta?,"(uncountable) Intentional killing of oneself, as a kind of action or social phenomenon."
bivouac,verb,,My men'll bivouac here tonight.,Tối nay lính của tôi sẽ đóng quân ở đây.,"An encampment for the night, usually without tents or covering."
disguise,verb,cải trang,"So, he disguises himself. Steals the man's home, steals his identity.","Vậy, hắn cải trang , lấy trộm nhà một người, lấy trộm danh tính của họ.",An attire (e.g. clothing) used to hide one's identity or assume another.
conquer,verb,chinh phục,Tanks and planes may defeat the troops but they cannot conquer the people.,Xe tăng và máy bay có thể đánh bại quân đội nhưng chúng không thề chinh phục được người dân.,to defeat in combat; to subjugate
deserted,adjective,hoang vắng,And the deserted condition of the land becomes very extensive.,Nơi nơi trong xứ trở nên hoang vắng .,Simple past tense and past participle of desert.
ideological,noun,tư tưởng,But this is just my own personal ideology .,Nhưng điều này chỉ là tư tưởng của cá nhân riêng tôi.,Of or pertaining to an ideology.
convex,adjective,lồi,and a convex lens.,và thấu kính lồi .,"(mathematics) (not comparable) (Of a set of points) such that for any two points in the set, every point between those two points is also in the set"
lustrous,adjective,láng,R-remember how you grew that lustrous arm hair?,Nhớ lúc lông tay mọc không?,As if shining with a brilliant light; radiant.
