word,part_of_speech,meaning,example,example_meaning,definition
bigwig,noun,nhân vật quan trọng,All the bigwigs of the party are there.,Ở đó toàn các ông to của Đảng có mặt.,(jocose) A person of importance to a group or organization
honorific,noun,kính cẩn,"""To eat"" is mangan (low), bekelór (mid-), madaran (high) or majengan ( honorific ).","""Ăn"" là mangan (thấp), bekelór (vừa), madaran (cao) và majengan ( kính cẩn ).",Showing or conferring honour and respect.
auspices,noun,sự che chở,"Under the auspices of Mother Concord, a sanctified truce is declared.","Dưới sự che chở của Mẹ Hòa bình, 1 thỏa thuận đình chiến đã được tuyên bố.",Plural form of auspice.
insubordination,noun,sự bất tuân,My father will not stand pleased by word of insubordination .,Cha tôi sẽ không hài lòng về sự bất tuân này.,The quality of being insubordinate; disobedience to lawful authority.
incandescent,adjective,nóng sáng,Tokyo Denki was founded as Hakunetsusha in 1890 and had been Japan's first producer of incandescent electric lamps.,"Tokyo Denki, mới đầu gọi Hakunetsusha, được thành lập vào năm 1890 và là công ty Nhật đầu tiên sản xuất bóng đèn nóng sáng .",emitting light as a result of being heated
physical,noun,thân thể,Division won' t tolerateThat kind of physical liability in a recruit,Division sẽ không rước cái kiểu trách nhiệm đảm bảo thân thể cho lính tuyển đâu,Having to do with the body.
relativity,noun,tính tương đối,Nicholas Hall knows that failure is a relative term.,Nicholas Hall biết rằng thất bại là một từ ngữ mang tính tương đối .,The state of being relative to something else.
basis,noun,nền tảng,A Basis for New Bible Translations,Nền tảng cho các bản dịch Kinh Thánh về sau,"A starting point, base or foundation for an argument or hypothesis."
proportional,adjective,cân xứng,It kind of determined the proportions of the design.,Nó như thể quyết định tỷ lệ cân xứng của thiết kế vậy.,At a constant ratio (to). Two magnitudes (numbers) are said to be proportional if the second varies in a direct relation arithmetically to the first.
rotate,verb,quay,"Even before Voyager proved that the feature was a storm, there was strong evidence that the spot could not be associated with any deeper feature on the planet's surface, as the Spot rotates differentially with respect to the rest of the atmosphere, sometimes faster and sometimes more slowly.","Ngay cả khi tàu Voyager gửi về những đặc điểm của cơn bão này, đã có những manh mối thuyết phục về cơn bão không liên quan đến đặc điểm bất kỳ nào sâu ở bên dưới bề mặt hành tinh, như xoáy bão quay vi sai so với phần khí quyển còn lại bao quanh, đôi khi nhanh hơn đôi khi chậm hơn.","(intransitive) to spin, turn, or revolve."
singularity,noun,cái kỳ dị,They had a singular goal.,Chúng có một mục đích phi thường .,"the state of being singular, distinct, peculiar, uncommon or unusual"
mechanics,noun,cơ học,Their very purpose was to perform a mechanical function.,Mục đích là thực hiện chức năng cơ học .,(physics) The branch of physics that deals with the action of forces on material objects with mass
collapse,verb,sụp,"So when you think of it at that point, all walls collapse .","Khi nghĩ về sự sống ở điểm đó, tất cả mọi bức tường kiến thức đều sụp đổ.",(intransitive) To fall down suddenly; to cave in
spherical,adjective,có hình cầu,Doesn't that blow your little spherical mind?,Điều này có làm bộ não hình cầu nhỏ bé của bạn muốn nổ tung không?,(geometry) shaped like a sphere.
visible,adjective,hữu hình,But this our containment of the visible universe.,Nhưng sự kìm hãm không gian của chúng ta là trong vũ trụ hữu hình .,Able to be seen.
disorder,noun,sự lộn xộn,And this disorder is in direct contrast to the unalterable order of a bloodline.,Và sự lộn xộn này lại trái ngược,Absence of order; state of not being arranged in an orderly manner.
psychological,adjective,về tâm lý,"Excellent insights into human psychology , wise advice on every page.","Hiểu biết sâu sắc về tâm lý học con người, lời khuyên thông thái trên mỗi trang.",Of or pertaining to psychology.
initial,adjective,ban đầu,The initial death toll will shake world governments to their core.,Số người chết ban đầu sẽ làm các chính phủ quốc tế run rẩy tận tâm can.,"Chronologically first, early; of or pertaining to the beginning, cause or origin"
necessary,noun,cần thiết,She found it necessary to accustom her child to getting up early.,Cô ấy nhận ra điều cần thiết là tập cho bọn trẻ của cô ấy thức dậy sớm.,"(archaic, UK) bathroom, toilet, loo"
progress,verb,tiến bộ,"If science makes progress , we'll be able to solve such problems.","Nếu khoa học tiến bộ , chúng ta sẽ có thể giải quyết những vấn đề như vậy.","Movement or advancement through a series of events, or points in time; development through time. [from 15th c.]"
limitation,noun,mặt hạn chế,"More than anyone else, he understands our limitations .","Hơn bất cứ ai hết, ngài hiểu những mặt hạn chế của chúng ta.",The act of limiting or the state of being limited.
barrier,noun,chướng ngại,Age is not a barrier to becoming an instrument in the hands of God.,Tuổi tác không phải là chướng ngại vật để trở thành một công cụ trong tay Thượng Đế.,A structure that bars passage.
omnipotence,noun,quyền tuyệt đối,"God cannot be glamorous because God is omnipotent , omniscient -- too far above us.","Chúa không thể quyến rũ bởi Chúa có quyền tuyệt đối , thông suốt mọi sự, quá xa với ta.",Unlimited power; commonly attributed to a deity or deities
encumbered,adjective,gánh nặng,"Dill was encumbered by the chair, and his pace was slower.",Dill bị cái ghế làm vướng chân nên bước đi của nó chậm hơn.,"Weighted down, loaded sufficiently to make slow."
parsimonious,adjective,dè sẻn,"I’m a bit parsimonious , aren’t I?","Tôi tỏ ra hơi bủn xỉn , có phải không?",Exhibiting parsimony; sparing in expenditure of money; frugal to excess; penurious; niggardly; stingy.
presuppose,verb,giả định trước,Theories about language usually presuppose that humans evolved from apelike creatures.,Những thuyết về ngôn ngữ thường giả định trước là con người tiến hóa từ những con vật giống như vượn.,"To assume some truth without proof, usually for the purpose of reaching a conclusion based on that truth."
aloofness,noun,sự tách ra,"Yet, he was no aloof scholar.","Thế nhưng, ông không phải là một ẩn sĩ.",The state of being aloof
scold,verb,trách mắng,It does little good to scold the darkness.,Không có ích gì khi trách mắng bóng tối.,To rebuke.
foreclosure,noun,Phát mãi tài sản,"Okay, well, then you're looking at foreclosure .","Được, vậy hãy đối mặt với việc xiết nợ nhé.","(law) the proceeding, by a creditor, to regain property or other collateral following a default on mortgage payments"
abdomen,noun,bụng,Pain could be caused by a blind uterus hidden in his abdomen .,Cơn đau có thể là do có tử cung ẩn trong bụng thằng bé.,"The belly, or that part of the body between the thorax and the pelvis."
