word,part_of_speech,meaning,example,example_meaning,definition
courtier,noun,triều thần,"1603 – English explorer, writer and courtier Sir Walter Raleigh goes on trial for treason.","1603 – Người thám hiểm, nhà văn, và triều thần Anh Ngài Walter Raleigh ra tòa do tội phản quốc.",A person in attendance at a royal court.
diplomacy,noun,ngành ngoại giao,"I wanted to become secretary of state in order to engage in productive diplomacy , not full-time damage control.",Tôi muốn trở thành bộ trưởng là để phục vụ cho ngành ngoại giao chứ không phải để kiểm soát thiệt hại.,"The art and practice of conducting international relations by negotiating alliances, treaties, agreements etc., bilaterally or multilaterally, between states and sometimes international organisms, or even between policies with varying status, such as those of monarchs and their princely vassals"
grudging,adjective,bất đắc dĩ,"According to Ambrose, Nixon's courageous conduct ""caused even some of his bitterest enemies to give him some grudging respect"".","Theo Ambrose, cách cư xử dũng cảm của Nixon ""khiến cho ngay cả một số đối thủ quyết liệt nhất của ông cũng bất đắc dĩ dành cho ông phần nào tôn trọng"".",Unwilling or with reluctance.
concession,verb,nhượng địa,It was a German colonial concession from 1898 until 1914.,Nó là nhượng địa của thực dân Đức từ năm 1898 đến năm 1914.,(rhetoric) Admitting a point to strengthen one's overall case.
aloof,adjective,tách xa,"And this, of course, is the basis of much of Eastern philosophy, and that is there is no real independent self, aloof from other human beings, inspecting the world, inspecting other people.","Và điều này, tất nhiên, là nền tảng của hầu hết triết học phương Đông, rằng không có cá nhân tồn tại độc lập thật sự, tách xa khỏi mọi người khác, nghiên cứu thế giới, nghiên cứu mọi người khác.","At or from a distance, but within view, or at a small distance; apart; away."
governess,verb,cô giáo,I'm not here as your governess .,Dì không tới đây để làm cô giáo của con.,A woman paid to educate children in their own home
paltry,adjective,không đáng kể,Small wonder that the recovery rate is a paltry 15 percent.,"Chẳng lấy làm lạ khi tỷ lệ tìm lại được không đáng kể , chỉ 15 phần trăm mà thôi.","trashy, trivial, of little value"
till,verb,ngăn kéo để tiền,Till they beat him.,Cho đến khi chúng hạ hắn.,(now dialectal) to
despotic,adjective,bạo ngược,"Far from all being equal, they lived in a strict, and sometimes despotic , social hierarchy.","Thay vì tất cả đều bình đẳng, họ lại sống trong xã hội có cấp bậc, nghiêm khắc, và đôi lúc bạo ngược .",Of or pertaining to a despot or tyrant.
morose,adjective,khinh khỉnh,This view is not cynical or somber or morose or morbid.,Quan điểm này không yếm thế hoặc u sầu hoặc ủ rũ hoặc đen tối.,"Sullen, gloomy; showing a brooding ill humour"
brooch,verb,trâm,"Though I suppose a brooch is a sort of pin, so...",Nhưng ta cứ nghĩ trâm là kim cài áo...,A piece of women’s ornamental jewellery having a pin allowing it to be fixed to garments worn on the upper body.
contemptuously,adverb,khinh khỉnh,""" at times contemptuous . """,""" khinh bỉ . """,In a disrespectful or discourteous manner; condescendingly.
toil,noun,công việc cực nhọc,and we get freed up from drudgery and toil .,chúng ta được giải phóng khỏi sự lao dịch và công việc cực nhọc,"labour, work"
beseech,verb,cầu xin,I have come to beseech you one last time.,Cháu tới để cầu xin chú một lần cuối.,(dated) To beg or implore.
foundry,noun,lò đúc,Here was a secondary facility... in case the foundry was compromised.,Đây là cơ sở thứ hai trong trường hợp cái lò đúc bị chiếm.,"A facility that melts metals in special furnaces and pours the molten metal into molds to make products. Foundries are usually specified according to the type of metal dealt with, as iron foundry, brass foundry, etc."
exuberant,adjective,hồ hởi,Because we have such an obvious explanation for this exuberance .,Bởi vì chúng ta có một sự giải thích cực kỳ rõ ràng cho sự hồ hởi này.,(of people) Very high-spirited; extremely energetic or enthusiastic.
waive,verb,từ bỏ,"And for the record, I waive my right to counsel.","Và cho cậu biết, tôi từ bỏ quyền được từ vấn.",(obsolete) A waif; a castaway. - John Donne
staunch,adjective,trung thành,"And then, as he was a staunch anti-colonialist,","Sau đó, ông là một người trung thành chống đối thực dân,","dependable, persistent"
upstart,adjective,người mới phất,What of the upstart Sport?,Những gì của upstart thể thao?,"someone who has gained sudden wealth, power or influence, but has either not gained social acceptance or has become arrogant or presumptuous"
pogrom,verb,cuộc tàn sát,His hateful pogroms were never condemned by most German church leaders.,Phần lớn các nhà lãnh đạo giáo hội người Đức đã không bao giờ lên án những cuộc thảm sát đầy thù hận của Hitler.,"A riot aimed at persecution of a particular group, usually on the basis of their religion or ethnic origin."
derisive,adjective,chế giễu,No one could pack as much derision into his voice as Jack.,Không ai có thể đưa nhiều chất chế giễu vào giọng nói của mình như Jack.,Expressing or characterized by derision; mocking; ridiculing.
subversive,adjective,,"So, my name is Roger Doiron, and I have a subversive plot.",Tên tôi là Roger Doiron và tôi có 1 âm mưu phá hoại,"Intending to subvert, overturn or undermine a government or authority"
entreaty,noun,lời cầu khẩn,* Entreaties to God dominate this group of psalms.,* Phần lớn các bài Thi-thiên từ 1 đến 24 là những lời cầu khẩn dâng lên Đức Chúa Trời.,The act of entreating or beseeching; urgent prayer; earnest petition; pressing solicitation.
idyllic,adjective,bình dị,The Philippines: an idyllic country with some of the clearest water and bluest skies on the planet.,"Philippines, một đất nước bình dị với mặt nước và bầu trời trong xanh nhất hành tinh.",Of or pertaining to idylls.
carrion,noun,xác chết đã thối,It will also eat carrion and eggs.,Chúng cũng sẽ ăn xác thối và trứng.,Dead flesh; carcasses.
mobilize,verb,huy động,You can also do the same for mobilizing diaspora giving.,Cũng có thể làm điều tương tự để huy động sự hỗ trợ của cộng đồng hải ngoại.,(transitive) To make something mobile.
teem,verb,bàng bạc,"And the waters, too, teemed with life.",Và nước cũng phát sinh đời sống.,To be stocked to overflowing
stalemate,verb,sự bế tắc,We can't afford a stalemate .,Ta không chịu nổi sự bế tắc này.,"(chess) The state in which the player to move is not in check but has no legal moves, resulting in a draw."
ensue,verb,tiếp theo,"With all the expansion we have seen over the ensuing years, this has been absorbing work.","Với sự phát triển không ngừng trong những năm tiếp theo , tôi rất bận rộn trong công việc này.","(obsolete) To follow ( a leader, inclination etc.)."
tumult,verb,sự náo động,Here worshippers of Diana raised a tumult against Paul (Acts 19:22–41).,Tại đây những kẻ thờ Đi Anh dấy lên sự náo động chống lại Phao Lô (CVCSĐ 19:22–41).,The noise as made by a crowd.
patronage,noun,sự bảo trợ,Does she move to secure us her husband's patronage ?,Cô ấy đã rời đi để lấy sự bảo trợ từ chồng cô ta chưa?,The act of providing approval and support; backing; championship.
mired,adjective,,We are mired in piss and shit because of you.,Chúng ta dính vào việc cứt đái này là vì bọn các người.,Simple past tense and past participle of mire.
requisition,verb,trưng dụng,We'll land in Manila and you will requisition your own transportation to the island.,Ta sẽ đáp xuống Manila và các vị sẽ trưng dụng phương tiện đến hòn đảo.,"A request for something, especially a formal written request on a pre-printed form."
bravado,noun,"""nổ"" cho oai",Lead her gang with cool bravado,Dẫn dắt băng đảng của mình bằng lòng can đảm tuyệt vời,A swaggering show of defiance or courage.
seethe,verb,sôi sục,"He'd stay close, seething , and he'd plan his revenge.","Hắn sẽ lại gần, sôi sục , và hắn có kế hoạch trả thù của mình.","(transitive, obsolete) To boil."
endowed,adjective,,The Endowment,Lễ Thiên Ân,Simple past tense and past participle of endow.
revel,verb,thích thú,I may flinch from gory sight yet know that I revel in its meaning.,Có thể em hơi ngần ngại trước cảnh máu me... nhưng em thích thú với ý nghĩa của nó.,An instance of merrymaking; a celebration.
livery,verb,chế phục,Is there a livery handy?,Có ai giữ ngựa không?,"Any distinctive identifying uniform worn by a group, such as the uniform worn by chauffeurs and male servants."
