word,part_of_speech,meaning,example,example_meaning,definition
disavow,verb,chối,"As the Hollywood Blacklist expands to exclude more communists and communist sympathizers from working in the industry, Trumbo and his comrades are abandoned by Robinson and producer Buddy Ross, who disavow them to protect their careers.","Khi danh sách đen của Hollywood mở rộng để loại trừ nhiều người cộng sản và những người thông cảm cộng sản khỏi làm việc trong ngành, Trumbo và các đồng đội của anh bị Robinson và nhà sản xuất Buddy Ross bỏ rơi, người đã từ chối họ bảo vệ sự nghiệp của họ.","To refuse strongly and solemnly to own or acknowledge; to deny responsibility for, approbation of, and the like; to disclaim; to disown."
zeal,noun,nhiệt huyết,"In 2009, that zeal brought me to Twitter.","Năm 2009, cái nhiệt huyết đó đưa tôi đến với Twitter.","The fervor or tireless devotion for a person, cause, or ideal and determination in its furtherance; diligent enthusiasm; powerful interest."
equinox,noun,điểm phân,"The effects of the equinoxes shorten it near 26 March and 16 September by 18 seconds and 21 seconds, respectively.",Hiệu ứng điểm phân ngắn lại gần ngày 26 tháng 3 và ngày 16 tháng 9 bởi 18 giây và 21 giây lần lượt.,The intersection of the ecliptic (apparent path of the sun) with the celestial equator.
weathered,adjective,,What's the weather like in this world?,Thời tiết sẽ thế nào trong thế giới này?,"worn by weather; as of rocks, stone, etc."
grueling,adjective,khắt khe,THE battle was grueling .,Trận chiến thật mệt nhọc .,alternative spelling of gruelling
agonize,verb,chịu khổ sở,If I really struggle morally and agonize,Nếu tôi thực sự đấu tranh một cách đạo đức và chịu khổ sở,(intransitive) To writhe with agony; to suffer violent anguish.
taunt,adjective,chế nhạo,But all the kids used to taunt me with this lame song.,Nhưng tụi nó đã nghĩ ra bài hát để chế nhạo tôi.,"to make fun of (someone); to goad (a person) into responding, often in an aggressive manner."
legendary,adjective,nổi tiếng,They hoped to take him from a popular boxer to a legendary one.,Họ muốn đưa anh ta từ một boxer nổi tiếng thành một huyền thoại.,Of or pertaining to a legend or to legends.
pact,noun,hiệp ước,"I say this year, we make a pact .","Tớ năm nay không hẹn hò gì cả, chúng ta sẽ làm một hiệp ước .",An agreement; a compact; a covenant.
literally,adverb,theo nghĩa đen,"No, I mean literally , how could you do it?","Không, theo nghĩa đen kia, làm sao em có thể làm chuyện đó?",(speech act) word for word; not figuratively; not as an idiom or metaphor
organic,adjective,có cơ quan,It's self- organizing . There is no great central organization,Nó tự tổ chức. Không có cơ quan lớn để thúc đẩy,"(biology) pertaining to, derived from, like, of the nature of, an organ of the body"
acquaintance,noun,người quen,Barton Mathis doesn't have any family or known acquaintances .,Barton Mathis không có bất kỳ người thân trong gia đình hoặc những người quen biết.,"(uncountable) A state of being acquainted, or of having intimate, or more than slight or superficial, knowledge; personal knowledge gained by intercourse short of that of friendship or intimacy"
yonder,adverb,kìa,Yonder's in the way.,Đằng trước là con đường.,"In a distant, indicated place; over there."
caw,verb,kêu,– Then somehow that bird will rise from the rock and kind of caw ...,Bằng cách nào đó con chim này sẽ trỗi dậy từ hòn đá và như quạ kêu ...,The harsh cry of a crow.
bicker,verb,chửi nhau,This bickering is pointless.,Cải vả thế này thì ích gì.,"To quarrel in a tiresome, insulting manner."
delivery,noun,sự giao hàng,"Perisol delivery , in place.",Đã tiêm thuốc tê.,The act of conveying something
heritage,noun,di sản,Your very nature reflects your divine heritage and destiny.,Thiên tính của các em phản ảnh di sản và số mệnh thiêng liêng của các em.,An inheritance; property that may be inherited.
mass,adjective,lễ mét,So Sunday Mass gonna take a little longer.,Nên lễ Mét chủ nhật sẽ bị kéo dài.,"(bodybuilding) Excess body weight, especially in the form of muscle hypertrophy."
forward,adjective,đầu,I very much look forward to beginning our work.,Tôi rất mong chờ được bắt đầu vào việc.,(dialectal or obsolete) Agreement; covenant.
gander,verb,con ngỗng đực,Take a gander at this Bolt action.,Một dấu hiệu!,"(dialect) (intransitive) ramble, wander"
compass,verb,compa,There's a metaphor which I love: living like a drawing compass .,Có một phép ẩn dụ tôi tâm đắc: sống là như một compa vẽ.,A magnetic or electronic device used to determine the cardinal directions (usually magnetic or true north).
suffice,verb,thoả mãn,Would gleaning suffice ?,Liệu việc mót lúa có đủ không?,(intransitive) To be enough or sufficient; to meet the need (of anything); to be equal to the end proposed; to be adequate.
nebula,noun,tinh vân,"A dying star, gasping its last breath into a planetary nebula ?","Một ngôi sao đang chết dần, trút hơi thở cuối cùng như một tinh vân hành tinh ?",(astronomy) A cloud in outer space consisting of gas or dust (e.g. a cloud formed after a star explodes).
dampen,verb,làm nản chí,We are losing the inertial dampeners !,Ta đang mất thiết bị hãm quán tính.,(transitive) To make damp or moist; to make slightly wet.
crater,verb,hố bom,You know what this crater reminds me of?,Cái hố bom này làm cháu nhớ gì không?,(astronomy) A hemispherical pit created by the impact of a meteorite or other object.
instill,verb,truyền dẫn,"We instill hope, again and again and again.","Ta truyền dẫn hy vọng, hết lần này đến lần khác.",To cause a quality to become part of someone's nature.
valiant,adjective,dũng cảm,Take hold of your life and order yourself to be valiant .,Hãy kiểm soát cuộc sống của mình và tự ra lệnh cho mình phải dũng cảm .,Showing courage or determination; heroic.
arctic,adjective,vùng bắc cực,The Chukchi Sea has very few islands compared to other seas of the Arctic .,Biển Chukotka có rất ít đảo khi so sánh với các biển khác ở vùng Bắc cực .,"Being extremely cold, snowy, or having other properties of extreme winter associated with the Arctic."
circumnavigate,verb,,The objective was to circumnavigate Africa from east to west.,"Mục đích của ông là giong buồm đi vòng quanh châu Phi, từ đông sang tây.","(transitive) To travel completely around somewhere or something, especially by sail."
avian,adjective,loài chim,"Yes, what wisdom is manifest in the design of the avian eye!",Quả là một sự khôn ngoan tuyệt diệu thể hiện trong cấu trúc đôi mắt loài chim !,"Characteristic of or pertaining to, birds, bird-like or flying creatures."
