word,part_of_speech,meaning,example,example_meaning,definition
deviant,adjective,bất thường,You're saying I'm a deviant ?,Ông đang bảo tôi bất thường ?,"A person who deviates, especially from norms of social behavior."
node,noun,nút,"Hybrid dependency/phrase structure grammar uses dependencies between words, but also includes dependencies between phrasal nodes – see for example the Quranic Arabic Dependency Treebank.",Văn phạm kết hợp phụ thuộc và thành phần dùng phụ thuộc giữa các từ nhưng cũng có phụ thuộc giữa các nút cụm từ - xem ví dụ Quranic Arabic Dependency Treebank.,"A knot, a knob; a protuberance; a swelling."
vindictiveness,noun,tính chất trả thù,He is a vindictive bastard.,Hắn là một tên khốn đầy thù hận .,The condition of being vindictive
haggard,adjective,hốc hác,But on that day a very haggard woman opened the door and stood before him.,"Nhưng vào ngày đó, một phụ nữ hốc hác đã mở cửa và đứng trước mặt ông.","Looking exhausted and unwell, in poor condition"
affinity,noun,ái lực,Roxithromycin has fewer interactions than erythromycin as it has a lower affinity for cytochrome P450.,Roxithromycin ít tương tác thuốc hơn so với erythromycin do nó có ít ái lực với cytochrome P450.,A natural attraction or feeling of kinship to a person or thing.
tractable,adjective,dễ bảo,"And another Bible scholar, Joseph Benson, wrote during the last century: “Men of fierce, cruel, and ungovernable dispositions shall be so transformed by the preaching of the gospel, and by the grace of Christ, that they shall become most humble, gentle, and tractable , and shall no more vex and persecute those meek and poor ones, mentioned [in] Isa 11 verse 4.”","Một chuyên-gia khác về Kinh-thánh là Joseph Benson, đã viết vào thế-kỷ 19 như sau: “Những con người cứng đầu, hung bạo và tàn ác sẽ biến đổi nhân-cách họ với sự rao truyền của phúc-âm và ân-sủng của đấng Christ tác-động trên con người họ khiến họ trở thành thật khiêm-tốn, hòa-nhã, dễ bảo ; họ sẽ không quấy nhiễu và hà hiếp kẻ yếu thế và kẻ nghèo được đề-cập đến ở câu 4”.","Capable of being easily led, taught, or managed; docile; manageable; governable."
alimony,noun,tiền cấp dưỡng,Did you know my wife pays me alimony ?,Cô có biết vợ tôi phải trả tiền cấp dưỡng cho tôi không?,(law) A court-enforced allowance made to a former spouse by a divorced or legally separated person.
sere,adjective,sear,"The Greek historian Strabo writes, ""they extended their empire even as far as the Seres (China) and the Phryni.""",Nhà sử học Hy Lạp Strabo viết rằng: Họ đã mở rộng đế chế của mình xa tới tận Seres (người Trung Quốc) và Phryni.,Without moisture.
environs,noun,vùng ven,Integration between land and water elements of the coastal zone: This is the realisation of the physical environment being a whole.,Đất và nước yếu tố của các vùng ven biển: Đây là việc thực hiện các môi trường vật lý là một tổng thể.,The surroundings; the environment.
allege,verb,cho là,This man is an alleged victim of consumption.,Người đàn ông này được cho là nạn nhân của bệnh lao phổi.,"(obsolete) To lighten, diminish."
supersede,verb,thay thế,In September 1997 it was superseded by Microsoft Internet Explorer 4.,Vào tháng 9 1997 nó đã bị thay thế bởi Internet Explorer 4.,(transitive) Set (something) aside.
libel,verb,lời phỉ báng,"In 1999, an article about the case in the Canadian newspaper The Globe and Mail resulted in a libel suit by Goh.","Năm 1999, một bài viết về sự kiện này trên tờ báo Globe and Mail của Canada kết dẫn tới một lời phỉ báng từ Lý.",A written (notably as handbill) or pictorial statement which unjustly seeks to damage someone's reputation.
dissent,verb,bất đồng quan điểm,"Your dissent on Godfrey v. Kent was brilliant, by the way.","Vụ bất đồng quan điểm với Godfrey v. Kent là rất thông minh, dù sao đi nữa.","(intransitive) To disagree; to withhold assent. Construed withfrom(or, formerly,to)."
tamp,noun,đầm,A 15-kilometre (9.3 mi) tamped -earth ramp was built to transport marble and materials to the construction site and teams of twenty or thirty oxen pulled the blocks on specially constructed wagons.,"15 km (9,3 mi) đường dốc bằng đất đầm nện được xây dựng để vận chuyển đá cẩm thạch và các vật liệu khác đến để xây dựng công trình và các đội gồm 20 hoặc 30 con bà được dùng để kéo các khối đá trên các toa xe có cấu tạo đặc biệt.","(blasting) to plug up with clay, earth, dry sand, sod, or other material, as a hole bored in a rock, in order to prevent the force of the explosion from being misdirected."
internment,noun,sự giam giữ,Constraints can be internal or external to the system.,Các ràng buộc có thể là nội bộ hoặc bên ngoài hệ thống.,"Confinement within narrow limits, as of foreign troops, to the interior of a country."
shamble,verb,chạy lóng ngóng,"Also, comp in shambles ?","Nói chung thì, kinh khủng thật.",To walk while shuffling or dragging the feet.
gilt,adjective,lợn cái con,Gilts at seven.,Giá vàng đang ở mức 7.,(slang) money
unequivocal,adjective,sòng,His words are unequivocal and bold.,Lời của ông thật dứt khoát và mạnh mẽ.,"Unambiguous; without equivocation or ambiguity; singularly clear, unmistakable, or unquestionable"
nominal,adjective,danh,This was despite the fact that he was a nominal Catholic.,Tất cả những điều này bất kể sự kiện ông là một người Công Giáo trên danh nghĩa.,"Of, resembling, relating to, or consisting of a name or names."
