word,part_of_speech,meaning,example,example_meaning,definition
rigmarole,noun,câu chuyện vô nghĩa,"And her sainted mother always dreamed of the whole mass rigmarole , but you're...","Và người... người mẹ thánh thiện của nó vẫn luôn mơ có đầy đủ một lễ Misa lê thê lết thết cho nó, nhưng...","complex, obsolete procedures; excess steps or activity; needless motion"
apprentice,noun,người học việc,"Being an apprentice , you know, you do that.",Bạn phải làm thế khi bạn là người học việc .,"A trainee, especially in a skilled trade."
eccentric,adjective,lập dị,he was eccentric .,Gã Gale Boetticher này lập dị lắm.,not at or in the centre.
piddling,adjective,dọn dẹp,What are you piddle -farting around for? I could do that in 10 minutes.,Sao mày ề à thế nhở. Nếu là tao thì cái đó 10 phút là xong rồi.,"Insignificant, negligible, paltry, trivial, useless."
glimmer,verb,le lói,"A short while later, a glimmer of light began to suffuse the dark vault of the sky.","Một lát sau, tia sáng le lói bắt đầu tràn ngập vòm trời đen tối.",A faint light; a dim glow.
misdeed,noun,hành động xấu,But what misdeed did they commit?,Nhưng hành động xấu xa nào họ đã phạm phải?,"That which was done that should not have been, ranging from any sin or moral offense to various degrees of crime."
connoisseur,noun,người sành sỏi,I'm a connoisseur of the... first printing.,Tôi là một người sành sỏi về những... bản in đầu tiên,"A specialist of a given field whose opinion is valued; especially in one of the fine arts, or in a matter of taste"
cinch,verb,nịt,"Wearing a ""fuller–figure"" "" cinched in corset"" designed by The Blonds, who also design outfits for Lady Gaga, Leah Simpson for the Daily Mail wrote that Aguilera put a ""sexy twist on patriotism with a star–spangled bodysuit and managed to get a few pulses racing in the over–the–top ensemble.""","Trình diễn trong ""trang phục kín đáo"" ""được thít chặt bằng áo nịt ngực"" thiết kế bởi The Blonds, người cũng thiết kế trag phục cho Lady Gaga, Leah Simpson của Daily Mail viết rằng Aguilera đem đến ""sự quyến rũ trong tình yêu nước với bộ quần áo lấp lánh những ngôi sao, và một chút rộn ràng trong bộ trang phục qua-hết-ngực.""",A simple saddle girth used in Mexico.
assumption,noun,giả định,And what assumption are we working on?,Thế chúng ta làm việc với giả định gì?,"The act of assuming, or taking to or upon one's self; the act of taking up or adopting."
mishap,verb,việc không may,"The only mishap was during the ceremony, when Charlotte was heard to giggle when the impoverished Leopold promised to endow her with all his worldly goods.",Việc không may duy nhất xảy ra trong buổi lễ là Charlotte cười khúc khích khi Leopold (rất nghèo so với Charlotte) hứa sẽ chăm lo cho bà với tất cả những thứ vật chất mà anh ta có.,"An accident, mistake, or problem."
swanky,adjective,choáng,Pretty swanky offices.,Văn phòng khoe khoang quá nhỉ.,"Rather posh, elegant, ritzy."
lingo,noun,tiếng lóng,"You gotta learn the lingo , hombrito.","Đi mà học thêm tiếng lóng đi, chàng trai.","Language, especially language peculiar to a particular group or region; jargon or a dialect."
segregate,adjective,tách riêng,You can segregate the data even further at the report level with tools like Segments.,"Thâm chí, bạn có thể tách riêng dữ liệu thêm nữa ở cấp báo cáo bằng các công cụ như Phân đoạn .",Separate; select.
aborigine,noun,thổ dân,Aboriginal and Torres Strait Islander people made up 18.1% of the population.,"Thổ dân và dân đảo Torres Strait chiếm 18,1% dân số.",An aboriginal inhabitant of a country.
foolproof,adjective,hết sức rõ ràng,We've watched the financial markets that we uniquely create -- these markets that were supposed to be foolproof -- we've watched them kind of collapse before our eyes.,Ta đã theo dõi thị trường tài chính do ta tạo ra lẽ ra phải hết sức rõ ràng nhưng lại sụp đổ ngay trước mắt chúng ta.,"For a device: protected, or designed to be proof against misuse or error; fail-safe."
leery,adjective,cẩn thận,"I-it's just, people have to be, and especially women, need to be leery about how much they put out into the world.","Mọi người, và đặc biệt là phụ nữ, cần cẩn thận về những gì mà họ tiết lộ ra thế giới bên ngoài.","Cautious, hesitant, or nervous about something; having reservations or concerns."
