word,part_of_speech,meaning,example,example_meaning,definition
severance,noun,sự chia rẽ,Her support of the Contras caused divisions in her own family and resulted in La Prensa's offices being temporarily shut down on several occasions.,Sự ủng hộ của cô đối với Contras đã gây ra sự chia rẽ trong gia đình bà và kết quả là văn phòng của La Prensa bị tạm thời đóng cửa vài lần.,A separation.
repression,noun,sự kiềm chế,"It is not a repression of faults, so was not framed as a list of prohibitions.","Đây không phải là một sự kiềm chế lỗi lầm, vì vậy không được viết ra như một danh sách gồm những điều không nên làm.",The act of repressing; state of being repressed.
androgynous,adjective,ái nam ái nữ,"Ceviche (voiced by Elan Garfias): A young yellow (and somewhat androgynous ) goat apprentice to Paté and Panini's best friend, Ceviche was introduced in the episode ""The Apprentice Games"".","Ceviche (lồng tiếng bởi Elan Garfias):Một con dê con học việc màu vàng (và phần nào ái nam ái nữ ) cho Paté và người bạn thân nhất của Panini, Ceviche được giới thiệu trong tập phim ""The Apprentice Games"".",Possessing the sex organs of both genders. [from the earlier 17th c.]
virility,noun,khả năng có con,I'm so virile .,Ta thật là cường tráng .,Manly character
unmitigated,adjective,thậm,It hasn't been an unmitigated disaster.,Nó không phải là một thiên tai nhỏ.,Not mitigated
impute,verb,đổ,(b) What motives did Satan impute to Jehovah?,b) Sa-tan đổ lỗi cho Đức Giê-hô-va có những động cơ nào?,"(transitive) To reckon as pertaining or attributable; to charge; to ascribe; to attribute; to set to the account of; to charge to one as the author, responsible originator, or possessor; -- generally in a bad sense."
grammar,verb,sách ngữ pháp,"He produced the first grammar book on Swahili, as well as a dictionary of that language.",Ông đã cho ra đời sách ngữ pháp cũng như từ điển tiếng Swahili đầu tiên.,A system of rules and principles for speaking and writing a language.
usage,noun,tập quán,"There are various technical definitions of spring, but local usage of the term varies according to local climate, cultures and customs.","Về mùa xuân có rất nhiều định nghĩa, nhưng cách sử dụng khác nhau tùy vào khí hậu, văn hóa và tập quán của mỗi khu vực.","(lexicography) The ways and contexts in which spoken and written words are used, determined by a lexicographer's intuitition or from corpus analysis."
diction,noun,cách chọn lời,Do not speak so rapidly that your diction suffers.,Đừng nói nhanh quá khiến người khác không nghe rõ những gì anh chị nói .,"The effectiveness and degree of clarity of word choice, and presentation of said words."
syntax,noun,cú pháp,Syntax,Cú pháp,A set of rules that govern how words are combined to form phrases and sentences.
convention,noun,quy ước,In 1912 a Russo-French naval convention was signed.,"Năm 1912, một bản quy ước hải quân giữa Pháp với Nga được ký kết.",A meeting or gathering.
sentence structure,noun,cấu trúc câu,Avoid the use of involved sentence structure .,Hãy tránh dùng lối hành văn phức tạp .,the grammatical arrangement of words in sentences
complex sentence,noun,câu phức tạp,A heptapod can write a complex sentence in two seconds effortlessly.,Một heptapod có thể viết một câu phức tạp trong hai giây một cách dễ dàng.,"(grammar) a sentence that contains an independent clause as well as one or more dependent clauses, joined by a sub-ordinating conjunction such as 'however'."
compound sentence,noun,câu kép,"Compound words, when they exist freely in a sentence , are often written separately.","Các từ ghép , khi chúng tồn tại tự do trong một câu , thường được viết rời.","(grammar) a sentence that has two or more independent clauses, joined by a conjunction (such as 'but', 'and') and/or punctuation (such as ','). Compare simple sentence."
phrase,noun,cụm từ,The coin represents a Russian phrase .,Đồng xu thể hiện cho 1 thành ngữ của người Nga.,A short written or spoken expression.
clause,noun,điều khoản,Repentance is the escape clause in it all.,Sự hối cải là điều khoản khắc phục sự phạm giới và cái chết.,"(Can we clean up(+)this sense?) (grammar, informal) A group of two or more words which include a subject and any necessary predicate (the predicate also includes a verb, conjunction, or a preposition) to begin the clause; however, this clause is not considered a sentence for colloquial purposes."
active voice,noun,,It's voice activated .,Đó là còi báo hiệu .,(grammar) the form in which the subject of a verb carries out some action
passive voice,noun,,And the object is the passive no- voice .,Và đối phương thì không có tiếng nói một cách tiêu cực.,(grammar) The form of a transitive verb in which its subject receives the action.
transition,noun,chuyển tiếp,"It will take a lot longer than I think we all expect, especially that transition period.","Sẽ mất lâu hơn rất nhiều so với mọi người nghĩ, đặc biệt là quãng chuyển tiếp đó.","the process of change from one form, state, style or place to another"
modifier,noun,từ bổ nghĩa,Modify Task,Sửa đổi tác vụ,"One who, or that which, modifies."
adjective,noun,tính từ,We prefer to use a different adjective to describe Martinez's mouth.,Chúng tôi thích dùng tính từ khác để miêu tả miệng của Martinez's hơn.,(obsolete) Incapable of independent function.
noun,verb,Danh từ,What is the collective noun for a group of stuffy old Etonians?,Danh từ tập hợp nào dùng cho một nhóm học giả trường Eton đây?,"(grammar) A word that can be used to refer to a person, animal, place, thing, phenomenon, substance, quality, or idea; one of the basic parts of speech in many languages, including English."
pronoun,noun,đại từ,"It makes perfect sense, except for the pronouns .","Thật hoàn hảo, ngoại trừ những đại từ .","(grammar) A type of noun that refers anaphorically to another noun or noun phrase, but which cannot ordinarily be preceded by a determiner and rarely takes an attributive adjective. English examples includeI, you, him, who, me, my, each other."
gerund,noun,động danh từ,F word in gerund form.,Chêt tiệt .,"(grammar) A verbal form that functions as a verbal noun. (In English, a gerund has the same spelling as a present participle, but functions differently.)"
reference,verb,sự tham khảo,We're listing you as a reference .,Chúng tôi sẽ ghi ông lại như một sự tham khảo .,A measurement one can compare to.
research,verb,nghiên cứu,He's proposing a suggestion for altering the research method.,Nó đề xuất ý kiến cải cách phương pháp nghiên cứu .,(countable) A particular instance or piece of research.
documentation,noun,tư liệu,"In fact, on all these discs there were documents .","Thực tế, trong tất cả những cái đĩa này đều có những tư liệu .",Something transposed from a thought to a document; the written account of an idea.
source,noun,nguồn,That victory became a source of national pride.,Chiến thắng đó trở thành nguồn sức mạnh khơi dậy niềm tự hào dân tộc.,"The person, place or thing from which something (information, goods, etc.) comes or is acquired."
primary source,noun,,Energy is the primary source of emissions.,Ngành năng lượng là nguồn phát thải lớn nhất .,"(historiography) A historical document that was created at or near the time of the events studied, by a known person, for a known purpose"
secondary source,noun,,She must have relied on secondary sources —I hope not The Selfish Gene.,Bà hẳn đã phải dựa vào các nguồn thứ cấp khác - tôi hy vọng không phải là cuốn Gen vị kỷ.,(historiography) Any document that draws on one or more primary sources and interprets or analyses them; also sources such as newspapers whose accuracy is open to question.
data,noun,dữ liệu,So that's a very important piece of data .,Đó là một phần rất quan trọng của dữ liệu .,Plural form of datum: pieces of information.
multimedia,adjective,Multimedia,"like turning everything into a multimedia show,","như là biến mọi thứ thành show multimedia ,","(plurale tantum) the use of different media to convey information; text together with audio, graphics and animation, often packaged on CD-ROM with links to the Internet"
unreliable,adjective,không đáng tin,Memory's unreliable .,Trí nhớ mới không đáng tin .,Not reliable.
bibliography,noun,thư mục,Bibliography,Tài liệu tham khảo,"A section of a written work containing citations, not quotations, to all the books referenced in the work."
citation,noun,đoạn trích dẫn,One citation .,Một vé phạt .,An official summons or notice given to a person to appear; the paper containing such summons or notice.
plagiarism,noun,ý,We can't make a deal on a book that's been plagiarized .,Chúng tôi không thể thỏa thuận với một cuốn sách ăn cắp ý tưởng.,"(uncountable) The act of plagiarizing: the copying of another person's ideas, text, or other creative work, and presenting it as one's own,especiallywithout permission."
develop,verb,khai triển,All of these themes require development along completely different lines.,Tất cả những chủ đề này đòi hỏi phải khai triển hoàn toàn khác nhau.,"(intransitive) To change with a specific direction, progress."
elaboration,noun,sự thảo tỉ mỉ,That's elaborate .,Rất công phu .,The act or process of producing or refining with labor; improvement by successive operations; refinement.
