word,part_of_speech,meaning,example,example_meaning,definition,ID
irresponsibility,noun,sự vô trách nhiệm,"You know, five years ago, your irresponsibility was somewhat charming.","Năm năm trước, sự vô trách nhiệm của con phần nào duyên dáng.",The character or state of being irresponsible; lack of or freedom from responsibility; want of accountability.,11602
diversification,noun,Đa dạng hoá,Diversification has long been held up as a way to protect your portfolio .,Việc đa dạng hoá được duy trì lâu dài như là cách bảo vệ danh mục đầu tư của bạn .,"The act, or the result, of diversifying",11603
professionalism,noun,tính cách nhà nghề,Just keep it professional .,Chỉ cần cư xử chuyên nghiệp thôi.,"the status, methods, character or standards expected of a professional or of a professional organization, such as reliability, discretion, evenhandedness, and fair play.",11604
phosphorescence,noun,lân quang,"At low temperatures, however, it is possible to observe both the phosphorescence and the triplet-triplet absorption spectrum.","Tuy nhiên, ở nhiệt độ thấp có thể quan sát cả quang phổ và quang phổ hấp thụ triplet-triplet.",The emission of light without any perceptible heat; the quality of being phosphorescent.,11605
misinterpretation,noun,sự dịch sai,It could be misinterpreted as hostility.,Nó có thể hiểu lầm đó là hành động gây chiến.,An instance of misinterpreting.,11606
confidentiality,noun,bảo mật,We had to agree to total confidentiality and sign a non-disclosure agreement.,Chúng tôi phải chấp nhận bảo mật toàn bộ và ký một thỏa thuận không tiết lộ.,(uncountable) The property of being confidential.,11607
transliteration,noun,sự chuyển chữ bản chuyển chữ,Note: Transliteration is not the same as translation.,Lưu ý: Chuyển ngữ không giống như dịch.,"(linguistics, translation studies) The act or product of transliterating, or of representing letters or words in the characters of another alphabet or script.",11609
intensification,noun,sự tăng cường,Further intensification was slow and halted by late on September 7.,Tăng cường hơn nữa đã chậm và dừng lại vào cuối ngày 7 tháng 9.,"The act or process of intensifying, or of making more intense.",11610
unpredictability,noun,sự không thể dự đoán,Vicious and unpredictable all the same.,Độc ác và khó lường đều như nhau cả.,(countable) Something which is unpredictable.,11612
acquisitiveness,noun,khả năng tiếp thu,Confirm acquisition .,Xác nhận mẫu vật .,The quality of being acquisitive; propensity to acquire property; desire of possession.,11613
authoritarianism,noun,chủ nghĩa độc đoán,We aren't a simple authoritarian regime anymore.,Chúng ta không còn là chế độ độc tài đơn giản nữa.,"A form of government in which the governing body has absolute, or almost absolute, control. Typically this control is maintained by force, and little heed is paid to public opinion or the judicial system.",11615
ophthalmologist,noun,bác sĩ chữa mắt,An ophthalmologist is a doctor.,Bác sĩ mắt cũng là bác sĩ.,"A medical doctor specializing in the eye: deficiencies of vision requiring correction, and diseases. Compare optometrist.",11616
representational,adjective,tiêu biểu,Is it a good representation of his Spring Period?,Đó là tác phẩm tiêu biểu cho bộ sưu tập mùa xuân?,Of or pertaining to representation or to representationalism,11618
uncontroversial,adjective,không ai bàn cãi,Thank you for asking a question that I can answer with an uncontroversial answer.,Cám ơn bạn đã hỏi một câu mà tôi có thể trả lời một cách ko tranh cãi.,not controversial,11621
duality,noun,tính đối ngẫu,A duality of his kind.,Bản tính đối ngẫu của hắn..,A classification into two subclasses or opposed parts.,11626
efflorescence,noun,sự nở hoa,The Habsburg years also ushered in the Spanish Golden Age of cultural efflorescence .,Những năm của Habsburg cũng là thời đại hoàng kim Tây Ban Nha về sự nở hoa văn hóa.,"(chemistry) The formation of a powdery surface on crystals, as a hydrate is converted to anhydrous form by losing loosely bound water of crystallization to the atmosphere.",11627
balm,verb,nhựa thơm,"Ancient literature frequently mentions the curative and restorative powers of this balm , essentially in connection with the healing of wounds.","Từ lâu, người ta biết nhựa thơm có nhiều công dụng chữa bệnh. Các tài liệu cổ thường đề cập đến tính năng trị bệnh và phục hồi của nhựa thơm , nhất là làm lành vết thương.","Any of various aromatic resins exuded from certain plants, especially trees of the genus Commiphora of Africa, Arabia and India and Myroxylon of South America.",11628
cessation,noun,sự chấm dứt,"So again, the physical cessation of life is not the same as death.","Vì vậy, một lần nữa, sự chấm dứt theo quy luật tự nhiên của cuộc sống không hề giống như cái chết.","(formal) A ceasing or discontinuance, as of action, whether temporary or final.",11630
whetstone,noun,đá mài,And a mind needs books like a sword needs a whetstone .,Và tâm trí cần cuốn sách cũng như cây kiếm cần đá mài .,"A hard stone or piece of synthetically bonded hard minerals that has been formed with at least one flat surface, used to sharpen or hone an edged tool.",11631
niggardly,adjective,hà tiện,"Upon learning that her husband’s niggardly attitude was going to bring disaster on the household, Abigail decided for herself to take food to David.","Khi biết được thái độ bần tiện của chồng sẽ đem lại điều tai hại cho gia đình, A-bi-ga-in tự quyết định mang lương thực đến cho Đa-vít.","(now rare) Withholding for the sake of meanness; stingy, miserly.",11632
mockery,noun,lời chế nhạo,7 Nehemiah simply ignored the mockery .,7 Nê-hê-mi bỏ ngoài tai lời chế nhạo .,"The action of mocking; ridicule, derision.",11633
jape,verb,nói giễu,"Aw, shut up, you jape .","Ôi, câm miệng đi.",to jest; to play tricks; to jeer,11634
inconstant,adjective,hay thay đổi,"Some have suggested that he appeared to be unsteady, inconstant , vacillating.","Một số người cho rằng dường như ông là người hay thay đổi , dễ dao động.",Not constant; wavering.,11635
carnage,noun,sự tàn sát,But what can justify such carnage ?,Nhưng cái gì sẽ biện minh cho sự tàn sát này?,Death and destruction.,11636
racism,noun,chủ nghĩa phân biệt chủng tộc,"Even today, racism exists in many parts of the world.","Thậm chí ngày nay, chủ nghĩa phân biệt chủng tộc vẫn tồn tại ở nhiều nơi trên thế giới.",The belief that each race has distinct and intrinsic attributes.,11637
trendy,adjective,hợp thời trang,Still trendy and stylish.,Rất hợp thời trang .,"(slang) of, or in accordance with the latest trend, fashion or hype",11638
