word,part_of_speech,meaning,example,example_meaning,definition
crepuscular,noun,hoàng hôn,"They're crepuscular , right?","Bọn chúng hoạt động vào lúc hoàng hôn , tảng sáng phải không?",Of or relating to twilight; dim
defenestration,noun,việc vứt người,"And yes, I know what "" defenestrated "" means.","Và tớ hiểu "" ám hại "" nghĩa là gì!","The act of throwing something, or someone, out of a window."
gallimaufry,noun,mớ hổ lốn,,,"(food, dated) A hash of various kinds of meats, a ragout."
gerontocracy,noun,gerontocracy,,,Government by elders.
lagniappe,noun,lagniappe,,,"(Louisiana, Mississippi and Trinidad and Tobago) An extra or unexpected gift or benefit"
logorrhea,noun,Bệnh trĩ,"They have what I called "" logorrhea dementia,"" which is they talk so much they drive themselves insane.","Họ có cái mà tôi gọi là chứng nói nhiều, họ nói quá nhiều đến nỗi họ tự làm cho mình trở nên mất trí.","(medicine, US) An excessive and often uncontrollable flow of words."
lycanthrope,noun,lycanthrope,,,A human cursed with lycanthropy; a werewolf.
macaronic,adjective,macaronic,"Some are macaronic , a mixture of Latin and German or French vernacular.","Một số là chỉ lối thi khôi hài, một hỗn hợp của tiếng bản xứ Latin và tiếng Đức hoặc tiếng Pháp.","(archaic) jumbled, mixed"
mugwump,noun,người tai mắt,""" Mugwump "" is a perfectly good word of English.","“ Mugwump (người trung lập chính trị)"" là từ tiếng Anh hoàn hảo.",(US) An independent neutral politician.
lamentable,adjective,ai oán,● Naomi lamented : “The Almighty has made it very bitter for me.,● Na-ô-mi ai oán : “Đấng Toàn-năng đã đãi tôi cách cay-đắng lắm.,"Causing sorrow, distress or regret; deplorable, pitiful or distressing."
affirm,verb,khẳng định,Such love affirms that we have value.,Tình yêu thương ấy khẳng định giá trị của chúng ta.,"To agree, verify or concur; to answer positively."
ability,noun,năng lực,"Hank, this serum that you're making, it doesn't affect abilities , right?","Hank, loại huyết thanh cậu đang chế tạo, không ảnh hưởng đến năng lực chứ?",(countable) A skill or competence.
contraindicate,verb,cấm dùng,Lornoxicam is not recommended during pregnancy and breastfeeding and is contraindicated during the last third of pregnancy.,Lornoxicam không được khuyến cáo trong thời gian mang thai và cho con bú sữa mẹ và không được chích ngừa trong lần thứ ba cuối cùng của thai kỳ.,(medicine) To make inadvisable; to warn against a specific medicine or treatment.
countermand,verb,gọi về,"Find a control panel marked, "" Countermand . ""","Tìm bảng điều khiển ghi "" Countermand "".",To revoke (a former command); to cancel or rescind by giving an order contrary to one previously given.
u-turn,noun,sự quay 180 o,A Theological U - Turn,Một tín điều đã thay đổi hoàn toàn,Alternative spelling of U-turn.
blitz,verb,đánh chớp nhoáng,"No, it was a blitz attack.","Không, đó là đánh chớp nhoáng .","A sudden attack, especially an air raid; usually with reference to The Blitz."
incomplete,adjective,không đầy đủ,"An abstract type may provide no implementation, or an incomplete implementation.","Một kiểu trừu tượng có thể không cung cấp sự hiện thực, hoặc hiện thực không đầy đủ .","Not complete; not filled up; not finished; not having all its parts, or not having them all adjusted; imperfect; defective."
lateral,adjective,ở bên,"And then, six months later on the right-hand side you see this reengineered urethra.","6 tháng sau, ở bên phải bạn thấy ống tiểu được tái tạo này",To the side; of or pertaining to the side.
gusty,adjective,dông tố,"The strong, gusty wind strived to strip the leaves off the trees.",Gió mạnh đột khởi cố bứt đi những chiếc lá trong rừng cây.,(of wind) blowing in gusts; blustery
urgent,adjective,khẩn cấp,Some of the most urgent cases for immediate release are:,Một số trường hợp khẩn cấp nhất gồm:,Requiring immediate attention.
clangor,verb,clangor,"Night after night the geese came lumbering in the dark with a clangor and a whistling of wings, even after the ground was covered with snow, some to alight in Walden, and some flying low over the woods toward Fair Haven, bound for Mexico.","Hàng đêm, những con ngỗng đến đốn gỗ trong bóng tối với một tiếng chói tai và huýt sáo cánh, ngay cả sau khi mặt đất được bao phủ bởi tuyết, một số người xuống xe trong Walden, và một số bay thấp qua khu rừng đối với Fair Haven, ràng buộc đối với Mexico.",(US) Alternative spelling of clangour.
communism,noun,chủ nghĩa cộng sản,What's Communism got to do with kids?,Chủ nghĩa cộng sản đối với trẻ em ra sao?,Any political philosophy or ideology advocating holding the production of resources collectively.
sanity,noun,sự ôn hoà,I pray you will bring sanity and compassion back to the senate.,Mong ông sẽ đem sự ôn hoà và trắc ẩn trở lại thượng viện.,The condition of being sane.
perestroika,noun,perestroika,"After the Perestroika reforms in the 1980s Russia had over 100 registered parties, but the people elected to the State Duma represented only a small number of parties.","Sau Perestroika , những năm 1990 có hơn 100 đảng phái chính trị ở Nga, nhưng chỉ có số ít các đảng được bầu vào Duma.",A program of political and economic reform carried out in the Soviet Union in the 1980s under the leadership of Mikhail Gorbachev.
directive,adjective,chỉ thị,The Prime Directive doesn't apply.,Nó không hề vi phạm Chỉ thị số Một.,"serving to direct, indicate, or guide."
dusty,adjective,đầy bụi,"It is so dusty , I can't stay in my room.","Nó đầy bụi , tôi không thể ở trong phòng",Covered with dust.
quiddity,noun,bản chất,,,The essence or inherent nature of a person or thing.
contravene,verb,phạm,The president could not be impeached for contravening the constitution.,Tổng thống không thể bị buộc tội vi phạm hiến pháp.,"(transitive) To act contrary to an order, or fail to conform to a regulation."
counterintuitive,adjective,không như mong đợi,Very counterintuitive .,Rất chi là phản trực quan.,Contrary to intuition or common sense.
ambidextrous,adjective,thuận cả hai tay,"‘About your writing with your left hand, are you ambidextrous , Mr Ewell?’","“Về việc viết bằng tay trái của ông, ông thuận cả hai tay hả ông Ewell?”","Having equal ability in both hands; in particular, able to write equally well with both hands."
indent,noun,lệnh,The command line indent -st -bap -bli0 -i4 -l79 -ncs -npcs -npsl -fca -lc79 -fc1 -ts4 SomeFile.c indents SomeFile.c in a style resembling BSD/Allman style and writes the result to the standard output.,Giao diện dòng lệnh : indent -st -bap -bli0 -i4 -l79 -ncs -npcs -npsl -fca -lc79 -fc1 -ts4 SomeFile.c indents SomeFile.c sẽ tạo ra một bản mã có kiểu BSD/Allman cùng nội dung và ghi ra thiết bị đầu ra chuẩn.,"A cut or notch in the margin of anything, or a recess like a notch."
anticlimax,noun,phép thoái dần,"And this man looked me up and down for about 10 seconds, and he said, ""My, what an anticlimax !""","Anh chàng kia nhìn tôi từ đầu tới chân trong khoảng 10 giây và thốt lên rằng, ""Trời ạ, thật là mất hứng !""","A break in the final crescendo or climax of a narrative, producing a disappointing end."
antihero,noun,antihero,Antihero .,Kẻ gian hùng .,"(literature) A protagonist who proceeds in an unheroic manner, such as by criminal means, via cowardly actions, or for mercenary goals."
anti-inflammatory,adjective,thuốc chống viêm,"Other medications too need to be considered with care, particularly other anti - inflammatory medicines.","Các thuốc khác cũng cần được cân nhắc cẩn thận, nhất là những thuốc chống viêm nhức.",(pharmacology) An agent that prevents or counteracts inflammation.
soundly,adverb,hoàn toàn,Safely and soundly .,Hoàn toàn vô sự.,"In a thorough manner, firmly, completely."
thaw,verb,tan,"However, in climates where freezing is a concern, such a sealer may lead to damage from freeze/ thaw cycles.","Tuy nhiên, trong các khu vực mà sự đóng băng là mối e ngại thì các chất như thế có thể dẫn tới tổn hại từ các chu trình đóng băng/ tan băng.","(intransitive) To melt, dissolve, or become fluid; to soften; — said of that which is frozen; as, the ice thaws. Specifically by gradual warming"
crockery,noun,bát đĩa,"Whether that mattress was stuffed with corn- cobs or broken crockery , there is no telling, but I rolled about a good deal, and could not sleep for a long time.","Cho dù đó nệm được nhồi với ngô bắp hoặc bát đĩa bị hỏng, không có nói, nhưng tôi lăn về một thỏa thuận tốt, và không thể ngủ trong một thời gian dài.","Plates, dishes and other eating and serving tableware, usually made of some ceramic material."
ravel,Verb,rối,It's also important in revealing the ways in which faith and fortune were raveled together.,Nó cũng rất quan trọng trong việc tiết lộ về những cách mà sự trung thành và vận may đã được làm rối cùng nhau.,To pull apart (especially cloth or a seam); unravel.
