word,part_of_speech,meaning,example,example_meaning,definition
propulsive,adjective,đẩy tới,The Propulsion System of the Jellyfish,Hệ thống đẩy tới của con sứa,Of or pertaining to propulsion
schwa,noun,,This problem is usually solved by insertion of the schwa .,Vấn đề này thường được giải quyết bằng cách chèn các nguyên âm trung tính ( schwa ).,"An indeterminate central vowel sound as the ""a"" in ""about"", represented as /ə/ in IPA and /@/ in SAMPA and X-SAMPA."
turnstile,noun,cửa xoay,The spacecraft was also equipped with one 136 MHz telemetry turnstile .,Tàu vũ trụ cũng được trang bị một cửa quay từ xa 136 MHz.,"A rotating mechanical device that controls and counts passage between public areas, especially one that only allows passage after a charge has been made."
volcanic,noun,núi lửa,Perhaps volcanic heat could generate enough to get life off the ground in Titan.,Nhiệt núi lửa có khả năng cung cấp đủ cho sự sống khởi đầu trên bề mặt.,"Of or pertaining to a volcano or volcanoes; as, volcanic heat."
cathedral,adjective,nhà thờ lớn,"Flying buttresses, just as in a cathedral , help strengthen the crown of the tree","Trụ chống, giống như trong một nhà thờ lớn giúp gia cố ngọn cây","A big church building, central place for some area."
drill,noun,khoan,"It's none of my business, but a power drill and some titanium bits will get you a lot further than that camera.","Không phải việc của tôi, nhưng một mũi khoan và một chút titan sẽ thuận tiện hơn là một chiếc máy ảnh.",(transitive) To create (a hole) by removing material with a drill [tool].
yoga,noun,yoga,Y'all need to be at a yoga class or something.,Cả hai nên vào lớp học yoga đi.,Any of several Hindu discipline aimed at training the consciousness for a state of perfect spiritual insight and tranquillity; especially a system of exercises practiced to promote control of the body and mind.
defector,noun,kẻ đào ngũ,Kohl's job was killing defectors .,Công việc của Kohl là thủ tiêu những kẻ đào ngũ .,one who defects.
tribe,noun,bộ lạc,"Near Mono Lake, they took refuge with the nearby Mono tribe of Paiute.","Gần hồ Mono, họ đã lánh nạn với bộ lạc Mono gần đó của Paiute.","A socially, ethnically, and politically cohesive group of people."
expiration,noun,sự mãn hạn,Omit this tag if your video does not expire .,Bỏ qua thẻ này nếu video của bạn không có ngày hết hạn.,"The act or process of breathing out, or forcing air from the lungs through the nose or mouth; as, respiration consists of inspiration and expiration; -- opposed to inspiration."
retriever,noun,người thu nhặt,It's a response algorithm for Fetch Retrieve .,Đây là một thuật toán đáp ứng của Fetch Retrieve .,a type of gun dog that retrieves game for a hunter
audio,adjective,âm thanh,Audio Player Settings,Thiết lập trình phát âm thanh,Of or relating to audible sound.
audiology,noun,thính học,During this time she earned bachelor’s and master’s degrees in speech pathology and audiology and an EdS (Education Specialist) degree from Brigham Young University.,"Trong thời gian này, chị nhận được bằng cử nhân và cao học về môn bệnh lý nói và nghe và EdS (Chuyên Gia về Giáo Dục) ở trường Brigham Young University.","The study of hearing, especially of hearing defects and their treatment"
audiometer,noun,cái đo sức nghe,,,An instrument which is used to determine the acuity of hearing.
audiovisual,adjective,nghe nhìn,"I wanted ""Upwake"" to have the same audiovisual qualities as a movie would.","Tôi muốn ""Upwake"" có chất lượng nghe nhìn giống như một bộ phim.",Containing both aural and visual elements.
audibility,noun,độ nghe rõ,Audible Bell,Chuông nghe được,The quality of being heard or understood; the degree to which a thing is audible.
audile,adjective,,,,Pertaining to hearing.
auditive,adjective,thính giác,What audition ?,Thử vai nào?,Of or relating to hearing; auditory.
homeopathy,noun,Vi lượng đồng căn,What is homeopathy ?,Homeopathy là gì?,"(medicine) a system of treating diseases with small amounts of substances which, in larger amounts, would produce the observed symptoms."
allopathy,noun,phép chữa đối chứng,,,(uncountable) traditional medicine
euphony,noun,luật hài âm,"This phrase, relying on a patriotic poem written by Max von Schenkendorf during the Napoleonic Wars, was popularized as the more euphonious Blut und Eisen (""Blood and Iron""), and became symbolic of Bismarckian Machtpolitik (""Power politics"").","Cụm từ này, dựa trên một bài thơ yêu nước Das eiserne Kreuz được viết bởi Max von Schenkendorf trong chiến tranh Napoleon, mà được phổ biến rộng rãi và trở nên biểu tượng của chính trị quyền lực Bismarck.",A pronunciation of letters and syllables which is pleasing to the ear.
symphony,noun,giao hưởng,"The symphonies of Mozart, Beethoven, and as late as Brahms, were still played on natural trumpets.","Những bản giao hưởng của Mozart, Beethoven, và muộn nhất, của Brahms, vẫn chơi trên kèn thường.","an extended piece of music of sophisticated structure, usually for orchestra"
