word,part_of_speech,meaning,example,example_meaning,definition
bootleg,adjective,bán rượu lậu,Bootleg - Engineer.,Kĩ sư của tàu.,"(chiefly US, transitive) to make, transport and/or sell illegal alcoholic liquor"
realm,noun,vương quốc,"The whole realm is in your debt, none more so than I.",Vương Quốc này mang nợ của ngươi và ta cũng vậy,"An abstract sphere of influence, real or imagined."
glassy,adjective,đờ đẫn,This is the perfect time to bring back that glassy -eyed look.,Đây là thời gian thích hợp để đưa trở lại vẻ mặt đờ đẫn .,"Of or like glass, in particular smooth and (somewhat) reflective."
helicopter,noun,máy bay lên thẳng,Take them to the helicopter .,Đem chúng lên máy bay lên thẳng .,"An aircraft that is borne along by one or more sets of long rotating blades which allow it to hover, move in any direction including reverse, or land; and having a smaller set of blades on its tail that stabilize the aircraft."
inhale,verb,nuốt,"He doesn't chew, he inhales .",Cậu ấy không nhai mà nuốt luôn.,"(intransitive) To draw air into the lungs, through the nose or mouth by action of the diaphragm."
brush,verb,chải,She brushed her husband's hat.,Cô ta chải sạch cái nón của chồng mình.,"An implement consisting of multiple more or less flexible bristles or other filaments attached to a handle, used for any of various purposes including cleaning, painting, and arranging hair."
molar,adjective,răng hàm,"Burned off, the molars pulled out, too.","Bị đốt cháy, răng hàm cũng bị kéo ra.",A back tooth having a broad surface used for grinding one's food.
exhausted,adjective,kiệt sức,"He noticed that despite his exhaustion , Saúl tried to encourage everyone who visited him.","Anh nhận thấy dù kiệt sức , Saúl cố gắng khuyến khích những người đến thăm cháu.",Depleted; in a state of exhaustion.
hibachi,noun,,"When I say restaurant, I mean a guy, a hibachi , and the trunk of his car.","Ý anh "" nhà hàng "", tức là một thằng, một bếp nướng và một cái thân xe.","A portable brazier, powered by charcoal, used for cooking."
briquet,noun,,It was named in 1898 by botanist John Isaac Briquet for the British plant collector Richard Spruce.,Nó được nhà thực vật học John Isaac Briquet đặt tên vào năm 1898 để vinh danh nhà sưu tập thực vật người Anh Richard Spruce.,"a small brick, typically made of charcoal and typically used for fuel"
sparkler,noun,kim cương lấp lánh,We need more sparklers .,Chúng ta cần thêm pháo sáng .,A hand-held firework that emits sparks.
tier,noun,tầng,"We're talking five- tier security with protocols that rotate every hour, on the hour.",Chúng ta đang có hệ thống bảo mật 5 tầng sử dụng các giao thức thay đổi luân phiên hằng giờ.,"One who ties (knots, etc)."
