word,part_of_speech,meaning,example,example_meaning,definition
revelry,noun,cuộc truy hoan,Sounds of revelry —loud singing— can be heard.,Có thể nghe được tiếng ồn ào phát ra từ cuộc truy hoan —tiếng ca hát ầm ĩ.,Joyful merry-making.
proportion,noun,tỉ lệ,It's simply the proportion of the population who agree most people can be trusted.,Nó đơn giản là tỉ lệ dân số đồng ý rằng đa số mọi người là đáng tin.,(countable) a quantity of something that is part of the whole amount or number.
tethered,adjective,có dây,Tethering can use a lot of battery.,Tính năng chia sẻ kết nối có thể tiêu hao nhiều pin.,Simple past tense and past participle oftether.
oblivion,noun,sự lãng quên,What he now felt was the fear of his own oblivion .,Điều hắn cảm thấy bây giờ là nỗi sợ hãi sự lãng quên chính mình.,The state of being completely forgotten.
interloper,noun,thâm nhập,Have I offended you in my home where you're an interloper ?,Tôi đã xúc phạm tới bà chưa trong khi bà là người xen vào ?,(obsolete) An unlicensed or illegitimate trader.
tangible,adjective,hữu hình,'Cause I'm not doing this without seeing tangible proof with my own eyes.,Vì tôi sẽ không làm gì hết trừ khi tận mắt nhìn thấy bằng chứng hữu hình .,possible to be treated as fact; real or concrete
provisions,noun,lương thực,What about the overnight stops and supplies of provisions ?,Còn vấn đề trọ qua đêm và lương thực thì sao?,Plural form of provision.
belittle,verb,coi nhẹ,"Look, I didn't mean to belittle the whole bartending thing last night.",Tớ không có ý coi nhẹ cái việc pha rượu này tối qua đâu.,To knowingly say that something is smaller or less important than it actually is.
prattle,verb,bập bẹ,Clean know to prattle .,Sạch sẽ biết prattle.,to talk incessantly and in a childish manner; to babble.
yoke,noun,ách,"We should not think that this is too difficult, for, remember, Jesus also said: “My yoke is kindly and my load is light.”","Ta không nên nghĩ rằng việc này quá khó, vì hãy nhớ rằng Giê-su cũng nói: “Vì ách ta dễ chịu và gánh ta nhẹ-nhàng” (Ma-thi-ơ 11:30).",To link or to join.
putrid,adjective,tồi,You'd rather be listening to those putrid new songs?,Thế cậu thích nghe mấy cái bài hát tồi tệ kia hơn à?,"Rotting, rotten, being in a state of putrefaction."
fluster,verb,bối rối,You think her white hair is going to fluster me?,Anh nghĩ mái tóc bạc của bà ta sẽ làm tôi bối rối à?,"To confuse, befuddle, throw into panic by making overwrought with confusion."
boisterous,adjective,huyên náo,I'll be seen drinking and boisterous and disgruntled.,"Người ta sẽ thấy tôi uống, gây huyên náo , và tỏ ra bất bình.",Full of energy; exuberant; noisy.
smitten,adjective,bị mê hoặc,So at this point I'm smitten .,"Nên ngay lúc đó, tôi bị mê hoặc",Made irrationally enthusiastic.
impurity,noun,tạp chất,Only if you cleanse yourself of all the impurities .,Chỉ khi con chịu gột rửa những tạp chất khỏi cơ thể.,"The condition of being impure; because of contamination, pollution, adulteration or insufficient purification."
concede,verb,nhường,"The powerhouse, the telephone exchange, these I concede .","Nhà máy điện, tổng đài điện thoại, những thứ đó tôi nhường .","To yield or suffer; to surrender; to grant; as, to concede the point in question."
harbor,verb,hải cảng,Good to see the old chap still guarding the harbor .,Thật vui khi thấy Titan vẫn còn canh gác hải cảng .,"A sheltered expanse of water, adjacent to land, in which ships may dock or anchor, especially for loading and unloading."
remnant,adjective,còn lại,There are always remnants of the perished ones,"Sẽ luôn còn lại những phần mà người ra đi để lại,",The small portion remaining of a larger thing or group.
meander,verb,đi lang thang,"Following the concert, he meandered toward where I stood with my friends outside the auditorium.","Sau buổi hòa nhạc, anh ta đi lang thang về phía nơi tôi đang đứng với những người bạn của tôi bên ngoài thính phòng.","A winding, crooked, or involved course; as, the meanders of an old river."
infirmity,noun,tính chất hom hem,You are the infirm .,Bà mới là bệnh đó!,"feebleness and frailty, especially due to old age."
addled,adjective,,"In your addled brain, you blame me for what happened to her.","Đầu óc anh rối bời , anh đổ lỗi chuyện xảy ra với cô ấy cho tôi.",Simple past tense and past participle of addle.
drudgery,noun,lao dịch,and we get freed up from drudgery and toil.,chúng ta được giải phóng khỏi sự lao dịch và công việc cực nhọc,"tedious, menial and exhausting work"
mar,verb,làm hỏng,Why can you be confident that the new world will not be permanently marred by wicked ones?,Tại sao bạn có thể tin tưởng rằng thế giới mới sẽ không bị kẻ ác làm hỏng vĩnh viễn?,"To spoil, to damage."
erratic,adjective,thất thường,"You've been so erratic lately, as you are now.","Chàng rất thất thường dạo gần đây, giống như chàng bây giờ.","(geology) a rock moved by geologic forces from one location to another, usually by a glacier."
intervention,noun,sự can thiệp,What do you want in terms of medical intervention ?,Bạn muốn sự can thiệp về y học nào?,The action of intervening; interfering in some course of events.
loath,adjective,ghê,It would be most inconvenient since I've sworn to loathe him for all eternity.,Nó thật là bất tiện khi em thề là sẽ vĩnh viễn ghê tởm anh ta.,"(obsolete) hostile, angry, loathsome, unpleasant"
shrivel,verb,làm co lại,It's all shrivelled up.,Nó teo mất tiêu.,(intransitive) To collapse inward; to crumble.
anguish,verb,nỗi đau đớn,"He knows of our anguish , and He is there for us.","Ngài biết nỗi đau đớn của chúng ta, và Ngài hiện diện ở đó vì chúng ta.","Extreme pain, either of body or mind; excruciating distress."
