word,part_of_speech,meaning,example,example_meaning,definition
undulate,adjective,gợn sóng,Peter clambered over the side of the vessel and down onto the undulating surface of the sea.,Ông bước qua mạn thuyền và đặt chân xuống mặt nước biển gợn sóng .,(transitive) To cause to move in a wavelike motion.
chastise,verb,trừng trị,"(Proverbs 16:22) They receive further discipline, often in the form of severe chastisement .","(Châm-ngôn 16:22) Kẻ ngu muội phải chịu sự sửa phạt khác nữa, thường là sự trừng trị nghiêm khắc.",To punish or scold someone.
lexicon,noun,từ điển,How do lexicons define the Greek word ge·ne·aʹ?,Những từ điển định nghĩa chữ Hy Lạp ge·ne·aʹ như thế nào?,(linguistics) A dictionary that includes or focuses on lexemes.
mosey,verb,mosey,Let's mosey .,Đi thôi .,"(chiefly US, dialect) To amble; to walk or proceed in a leisurely manner."
hankering,noun,sự ao ước,I've a hankering to see it.,Chú rất muốn được nhìn thấy nó.,Present participle of hanker.
girth,verb,chu vi,"(For example: bike helmet label stating ""head girth : 56–60 cm"".)","(Ví dụ: nhãn mũ bảo hiểm xe đạp ghi "" chu vi đầu: 56-60 cm"".)",The distance measured around an object.
brood,verb,ấp,"In anguish He cried out, “O Jerusalem, Jerusalem, which killest the prophets, and stonest them that are sent unto thee; how often would I have gathered thy children together, as a hen doth gather her brood under her wings, and ye would not!”","Ngài đã kêu lên trong đau đớn: “Hỡi Giê Ru Sa Lem, Giê Ru Sa Lem, ngươi giết các tiên tri, và quăng đá các đấng chịu sai đến cùng ngươi, bao phen ta muốn nhóm họp con cái ngươi, như gà mái túc và ấp con mình dưới cánh, mà các ngươi chẳng muốn!”","The young of certain animals, especially a group of young birds or fowl hatched at one time by the same mother."
nicker,verb,nicker,"The sound that that very large chest makes, of the horse -- the whinnying and the nickering and everything -- that starts usually with one performer, carries on with a second person and ends with a third.","Tiếng động mà bộ ngực rất lớn này tạo ra, của con ngựa -- tiếng rên và rầm rĩ và mọi thứ -- thường bắt đầu từ một nghệ sĩ, tiếp tục đến người thứ hai và kết thúc bằng người thứ ba.","(UK, slang) Pound sterling."
slough,verb,lột,"So today, I'm collecting what I shed or slough off -- my hair, skin and nails -- and I'm feeding these to edible mushrooms.","Vì vậy hôm nay, tôi thu thập những thứ tôi lột ra được tóc, da và móng - và tôi bón chúng cho các loại nấm ăn.",The skin shed by a snake or other reptile.
testy,adjective,bẳn,"No need to be testy , luv.",Không cần phải cáu kỉnh như thế đâu cưng,"easily annoyed, irritable"
inkling,noun,ý niệm mơ hồ,Dozens of projects give us an inkling of what they're capable of doing.,Hàng tá các dự án cho ta ý niệm mơ hồ về những gì họ có thể làm được.,A slight suspicion or hint.
halter,noun,dây,The halteres are actually gyroscopes.,là một cấu trúc được gọi là các dây cương,"A bitless headpiece of rope or straps, placed on the head of animals such as cattle or horses to lead or tie them."
supplant,verb,hất cẳng,Tallulah Bankhead and Joan Bennett were widely considered to be the most likely choices until they were supplanted by Paulette Goddard.,Tallulah Bankhead và Joan Bennett đều là những sự lựa chọn sáng giá cho tới khi bị Paulette Goddard hất cẳng .,"(transitive) To take the place of; to replace, to supersede."
implore,verb,van xin,I implore you...,Tôi van xin bà...,"To beg for, to entreat urgently or earnestly."
chiffon,noun,the,"In 1971, Bright Tunes sued Harrison for copyright infringement over ""My Sweet Lord"", owing to its similarity to the 1963 Chiffons hit ""He's So Fine"".","Năm 1971, Bright Tunes kiện Harrison việc ca khúc này vi phạm bản quyền do nó có giai điệu gần giống với bản hit năm 1963 ""He's So Fine"" của ban nhạc The Chiffons.",A sheer silk or rayon fabric
