word,part_of_speech,meaning,example,example_meaning,definition,ID
solitude,noun,nơi tĩnh mịch,"Hell's brimstone his food, consumed from birth, in solitude .","Địa ngục thiêu hủy thức ăn, thiêu rụi sự sống ở nơi tĩnh mịch .","Aloneness; state of being alone or solitary, by oneself.",8701
deteriorate,verb,xấu đi,Vietnam’s human rights situation deteriorated significantly in 2017.,Tình hình nhân quyền Việt Nam xấu đi đáng kể trong năm 2017.,(transitive) To make worse; to make inferior in quality or value; to impair.,8702
emit,verb,phát hành,"About 86% of the gas released from these structures is methane, with much less carbon dioxide and nitrogen emitted .","Khoảng 86% khí phát hành từ các cấu trúc này là methane, carbon dioxide ít hơn nhiều và nitơ phát ra.",(transitive) To send out or give off.,8703
excel,verb,trội hơn,(Romans 12:6) Different brothers excel in different areas.,"(Rô-ma 12:6) Trong nhiều khía cạnh, có những anh trội hơn người khác.",(transitive) To surpass someone or something; to be better or do better than someone or something.,8704
sabotage,verb,phá hoại,If we're gonna sabotage Division that's one of the veins I'm gonna need you to tap.,Muốn phá hoại được Division phòng đó là một trong những mạch chính em cần xâm nhập.,"A deliberate action aimed at weakening an enemy through subversion, obstruction, disruption, and/or destruction.",8705
apparent,adjective,biểu kiến,"It has an apparent magnitude of +2.05, making it readily visible to the naked eye.","Nó có cấp sao biểu kiến +2.05, và dễ dàng thấy được bằng mắt thường.","Capable of being seen, or easily seen; open to view; visible to the eye; within sight or view.",8706
flammable,adjective,dễ cháy,It's flammable .,Dễ cháy lắm.,"Capable of burning, especially a liquid.",8707
exempt,verb,miễn,"This was not only due to the country's backwards economy, but also because the nobility were tax- exempt and free from the expense of waging wars, not only the great ones, but the smaller campaigns in the Caucasus.","Điều này không chỉ do nền kinh tế lạc hậu của đất nước, mà còn bởi vì tầng lớp quý tộc được miễn thuế và không phải chịu chi phí cho chiến tranh, không chỉ các cuộc chiến tranh vĩ đại, mà còn là các chiến dịch nhỏ hơn ở Caucasus.",One who has been released from something.,8708
priority,noun,quyền ưu tiên,This job gets top priority at all times.,Công việc này có quyền ưu tiên tối cao.,"Prior or antecedent in time, or preceding something else; as, priority application.",8709
recurring,adjective,có định kỳ,"She also had recurring roles on Sister, Sister, Party of Five, and Boy Meets World.","Cô cũng có các vai diễn có định kỳ trong Sister, Sister; Party of Five; và Boy Meets World.",Present participle of recur.,8710
stable,adjective,ổn định,The current stable release is openSUSE Leap 15.0.,Bản phát hành ổn định hiện tại là openSUSE Leap 15.0.,"A building, wing or dependency set apart and adapted for lodging and feeding (and training) animals with hoofs, especially horses",8711
viewpoint,noun,quan điểm,The woman summoned all her courage and explained her Bible-based viewpoint to her partner.,Bà thu hết can đảm giải thích cho ông ấy quan điểm của bà dựa trên Kinh Thánh.,"The position from which something is observed or considered; an angle, outlook or point of view",8712
ascendant,adjective,có uy thế,"Over the span of several centuries, however, various factors gradually led to the ascendancy of the codex.","Tuy nhiên, trong nhiều thế kỷ, một số yếu tố đã khiến sách chép tay dần dần có uy thế hơn.","Rising, moving upward.",8713
gerrymander,verb,gerrymander,"As The Independent newspaper put it, sleaze covers “everything from love affairs and local government gerrymandering to kickbacks on big export orders.”",Tờ báo The Independent nói rằng sự nhơ nhuốc ảnh hưởng đến “mọi phương diện từ việc ái tình vụng trộm và việc chính quyền địa phương gian lận đến việc ăn hối lộ trong những chuyến hàng xuất cảng lớn”.,"(transitive, pejorative) To divide a geographic area into voting districts in such a way as to give an unfair advantage to one party in an election.",8714
appendage,noun,phần phụ,"Typically, each body segment carries one pair of appendages .","Thông thường, mỗi khúc cơ thể đều mang một cặp phần phụ .",an external body part that projects from the body,8715
affiliation,noun,liên kết,The Soka Gakkai International comprises a global network of affiliated organizations.,Soka Gakkai International bao gồm một mạng lưới các tổ chức liên kết toàn cầu.,The relationship resulting from affiliating one thing with another.,8716
skewed,adjective,nghiêng,All to gather skewed data from a house full of sexual invalids.,Tất cả vì mớ dữ liệu khập khiễng từ một ngôi nhà đầy ắp bệnh qua đường tình dục.,Twisted at an angle.,8717
scathing,adjective,nghiêm khắc,Franklin wrote a scathing attack against the racial prejudice of the Paxton Boys.,Franklin đã nghiêm khắc lên án thành kiến chủng tộc của nhóm Paxton Boys.,harmful or painful; acerbic,8718
sobering,adjective,tỉnh táo,Stay sober .,Ráng tỉnh táo nghe .,Describing something that causes more sober thought or concern.,8719
deficit,noun,Thâm hụt ngân sách,A budget deficit will occur because of a revenue shortfall.,Thâm hụt ngân sách sẽ xảy ra do sự sụ giảm doanh thu.,Deficiency in amount or quality; a falling short; lack.,8720
voucher,verb,biên lai,"For companies that do not operate a cafeteria, it is mandatory for white-collar workers to be given lunch vouchers as part of their employee benefits.","Với công ty mà không có căng tin, công nhân cổ cồn trắng bắt buộc phải được cung cấp biên lai bữa trưa như là một phần lợi ích của họ.",(transitive) To establish the authenticity of; to vouch for.,8721
paralegal,noun,trợ lý pháp lý,The paralegal ?,Cô trợ lý hả?,"(law) One who assists a lawyer in their routine work but who is without the qualified status of a solicitor or barrister (England and Wales), attorney (U.S.), or advocate; known more commonly in the U.S. as a legal assistant.",8722
hallmark,verb,dấu hiệu nhận biết,"Tanner, the hallmark of a sociopath is a lack of empathy.","Tanner, dấu hiệu nhận biết một kẻ điên là sự thiếu đồng cảm.",To provide or stamp with a hallmark,8723
parity,noun,tính chẵn lẻ,The concept of parity is used for making groups of two objects.,Khái niệm tính chẵn lẻ được dùng để tạo các nhóm chứa hai đồ vật.,(uncountable) Equality; comparability of strength or intensity.,8724
curious,adjective,tò mò,Really want to curious is dead.,Thực sự muốn tò mò là chết.,"(obsolete) Fastidious, particular; demanding a high standard of excellence, difficult to satisfy.",8725
permanent,adjective,vĩnh cửu,On God’s part this covenant is permanent .,"Về phần Đức Chúa Trời, giao ước này là vĩnh cửu .","Without end, eternal.",8727
temporary,adjective,tạm thời,It affords us a temporary channel of communication with the outside world.,Nó cho chúng ta một kênh tạm thời để giao tiếp với thế giới bên ngoài.,"For a limited time, ephemeral, not constant; transient",8728
cosmetic,adjective,trang điểm,And do n't use cosmetics if you have an eye infection like pinkeye .,Và cũng chớ nên trang điểm nếu bị nhiễm trùng mắt như bị bệnh đau mắt đỏ chẳng hạn .,External or superficial; pertaining only to the surface or appearance of something.,8729
