word,part_of_speech,meaning,example,example_meaning,definition
solemnity,noun,sự long trọng,"I so testify in all solemnity and leave my love and my blessing with you, my beloved brethren and sisters of this grateful Church.","Tôi xin làm chứng như vậy với tất cả sự long trọng và để lại tình yêu thương và phước lành của tôi với các anh chị em, các anh chị em yêu dấu của Giáo Hội đầy lòng biết ơn này.",The quality of being deeply serious and sober or solemn.
winnow,verb,đập,"That evening, Ruth made her way to the threshing floor —a flat, hard-packed area where a number of farmers would take their grain for threshing and winnowing .","Chiều hôm ấy, Ru-tơ đi đến sân đạp lúa, khoảng sân có nền đất cứng, một số nông dân đập và sàng lúa tại đây.","(transitive) To subject (granular material, especially food grain) to a current of air separating heavier and lighter components, as grain from chaff."
touchstone,noun,đá thử vàng,"It was a thin strip of vellum on which was written the secret of the "" Touchstone "" !","Đó là một dải giấy da mỏng trên đó có viết về bí mật của "" Hòn đá thử vàng "" !",A stone used to test the quality of gold alloys.
disaffected,adjective,bất bình,Disaffection in the other republics was met by promises of greater decentralization.,Sự bất bình của những nước cộng hoà khác được thoả mãn bằng các hứa hẹn phi tập trung lớn hơn.,Simple past tense and past participle of disaffect.
encrypt,verb,mã hóa,"By this stage, sending a PGP encrypted message is becoming quite complicated.","Tới giai đoạn này, việc gửi một bức thư mã hóa bằng PGP vẫn còn khá phức tạp.",To conceal information by means of a code or cipher.
peripatetic,adjective,lưu động đi rong,"Strabo mentions a contemporary of his, Athenaeus of Seleucia, a Peripatetic philosopher.","Strabo có nhắc đến người sống cùng thời của mình, Athenaeus thành Seleucia, là một triết gia phái Peripatetic.",tending to walk about
rapprochement,noun,和解,“Malcolm and I have come to a rapprochement of sorts.”,“Malcolm và cháu đã lập một mối quan hệ hữu nghị.”,"The reestablishment of cordial relations, particularly between two countries; a reconciliation."
tranche,noun,phân đoạn,We want to do $ 15 million in swaps on the AA tranche .,Tôi muốn mua 15 triệu hợp đồng hoán đổi cho ngạch AA.,"A slice, section or portion."
convulse,verb,làm chấn động,Gasping and convulsing ...,Thở hổn hển và co giật ...,(transitive) To violently shake or agitate.
delineation,noun,sự mô tả,"Increasingly, the digital economy is intertwined with the traditional economy, making a clear delineation harder.",Kinh tế kỹ thuật số được đan xen với nền kinh tế truyền thống tạo ra một miêu tả rõ ràng hơn.,(art) An image of the outline of an object
eviscerate,verb,moi ruột,He eviscerates Underwood on ICO.,Ông ấy sẽ moi ruột Underwood trong vụ Tổ chức Lãnh thổ Hồi giáo.,"(transitive) To disembowel, to remove the viscera."
idiosyncratic,adjective,do khí chất,Too idiosyncratic .,Quá cá tính .,Peculiar to a specific individual; eccentric.
sanguine,adjective,lạc quan,"How can you, out of all people, be so sanguine after what happened last week?",Sao cô có thể quá lạc quan thế sau chuyện xảy ra tuần trước chứ?,Having the colour of blood; red.
schematic,adjective,lược đồ,You have got to upload that schematic in the next three minutes.,Anh phải tải lược đồ đó lên trong ba phút tới.,A drawing or sketch showing how a system works at an abstract level.
sommelier,noun,,Is the sommelier in?,Có ngài Sommelier trong đó không?,A wine steward. The person at an expensive restaurant who keeps the wine cellar and advises guests on a choice of wines.
unorthodox,adjective,không chính thống,"It's a bit unorthodox , but it's tested.","Hơi không chính thống , nhưng được thử nghiệm rồi.","unusual, unconventional, or idiosyncratic"
effigy,noun,hình nộm,Why is there a clay effigy of me on your coffee table?,Sao lại có hình nộm của tôi trên bàn cà phê vậy?,"a dummy or other crude representation of a person, group or object that is hated."
