word,part_of_speech,meaning,example,example_meaning,definition
crouch,verb,núp,There are worse things crouching in the shadows than Riario.,Có những lúc núp trong bóng tối tệ hơn là Riario.,(obsolete) A cross.
cling,verb,bám vào,What a powerful reason to cling to the true God!,Quả là lý do mạnh mẽ để bám vào Đức Chúa Trời thật!,Fruit (especially peach) whose flesh adheres strongly to the pit.
perplexity,noun,rắc rối,"The result is a society fragmented, confused, and perplexed . —2 Timothy 3:1-5.","Bởi vậy, xã hội phân rẽ, lộn xộn, và đầy rắc rối .—2 Ti-mô-thê 3:1-5.",The state or quality of being perplexed; puzzled or confused.
summons,verb,giấy triệu tập,Each parliamentary session begins with the monarch's summons .,Mỗi phiên họp được bắt đầu bằng giấy triệu tập của quân vương.,"A call to do something, especially to come."
incorporation,noun,liên đoàn,In June 2008 JAniCA was legally incorporated as an Unlimited liability company intermediary corporation to further continue improving the work conditions in the Japanese animation industry.,"Tháng 6 năm 2008, nghiệp đoàn đã sáp nhập một cách hợp pháp với tư cách là "" Liên đoàn trung gian - công ty trách nhiệm không hữu hạn"" (Unlimited liability company intermediary corporation) để tiếp tục thúc đẩy về cải thiện môi trường làm việc trong công nghiệp anime Nhật Bản.","The act of incorporating, or the state of being incorporated."
rationalize,verb,biện minh,He rationalized this by saying that everyone would win.,Ông biện minh cho điều này bằng cách nói rằng cả hai bên đều có lợi.,(American) Alternative spelling of rationalise.
guzzle,verb,ăn uống tham lam,You've guzzled enough.,Tham uống đủ rồi.,"To drink (or, sometimes, eat) quickly, voraciously, or to excess; to gulp down; to swallow greedily, continually, or with gust; said especially of alcohol consumption."
perforate,adjective,đục lỗ,Goldstein used a gas discharge tube which had a perforated cathode.,Goldstein đã sử dụng một ống đã rút khí có một cathode đục lỗ .,(philately) Perforated.
ostracism,noun,sự tẩy chay,Meaning “Bringer of Disaster; Bringer of Ostracism .”,Nghĩa là “kẻ mang đến tai họa; kẻ mang đến sự tẩy chay ”.,The act of banishing or excluding someone
matriculate,verb,tuyển vào đại học,Ryti was the only one of seven sons to pass the university entrance examination; however his three sisters also matriculated .,Ryti là người duy nhất có bảy người con vượt qua kỳ thi tuyển sinh đại học; Tuy nhiên ba chị em của ông cũng đã được tuyển vào đại học . ^ “Ministerikortisto”.,"(transitive) To enroll as a member of a body, especially of a college or university"
mechanize,verb,cơ giới hoá,"In the 20th century, mechanization of agriculture reduced the need for farm workers.","Trong thế kỷ 20, cơ giới hoá nông nghiệp đã làm giảm nhu cầu về lao động nông nghiệp.",To equip something with machinery.
dock,verb,cắt bớt,Dock your allowance?,Cắt bớt tiền sinh hoạt của chị sao?,"Any of the genus Rumex of coarse weedy plants with small green flowers related to buckwheat, especially the common dock, and used as potherbs and in folk medicine, especially in curing nettle rash."
scab,verb,vảy,My skin is full of scabs and pus.,Da tôi chỉ toàn vảy và mủ.,"An incrustation over a sore, wound, vesicle, or pustule, formed during healing."
strikebreaker,noun,phá công,"Strikebreakers (called ""scabs"") were threatened and sometimes attacked.","Strikebreakers (gọi là ""scabs"") đã bị đe dọa và đôi khi bị tấn công.",A non-unionized worker hired to replace a striking union worker.
last resort,noun,phương kế sau cùng,"Or worse , get your card canceled in a time when you might need it as a last resort .","Hay tệ hơn , để thẻ bị huỷ trong lúc mà bạn có thể cần nó như là phương kế sau cùng .","(idiomatic) The only remaining, unwanted, option or choice."
fraternal,noun,anh em,"A fraternity , now, that's a brotherhood of men who forge a lifetime bond.",đó là một tình anh em của những người có gắn bó máu thịt suốt đời.,Of brothers (fraternal twins)
martyrdom,noun,nỗi thống khổ,"So I made a group of work that at once faced my own personal questions in life, and yet it brought my work into a larger discourse -- the subject of martyrdom , the question of those who willingly stand in that intersection of love of God, faith, but violence and crime and cruelty.","Vì thế tôi đã tiến hành một vài công việc mà ngay lập tức trả lời một số câu hỏi của tôi về cuộc sống, và đã đưa công trình của tôi đến một tranh luận lớn hơn về chủ đề: nỗi thống khổ , câu hỏi của những ai sẵn sàng đứng ở ngã giao của tình yêu dành cho Chúa, niềm tin, và bạo lực, tội ác và sự hung tàn.","The condition of a martyr; the death of a martyr; the suffering of death on account of adherence to the Christian faith, or to any cause."
rattling,adjective,huyên náo,( Rattling ),(Tiếng gậy lắc),"lively, quick (speech, pace)"
reliance,noun,sự tin cậy,How do we show such reliance ?,Làm thế nào chúng ta bày tỏ sự tin cậy ấy?,The act of relying on someone or something; trust.
