word,part_of_speech,meaning,example,example_meaning,definition,ID
pacemaker,noun,máy điều hoà nhịp tim,"Now, your pacemaker is not a single cell.","Bây giờ, bộ máy điều hoà nhịp tim không phải là đơn bào.","One who sets the pace in a race, to guide the others.",13192
separatism,noun,chủ nghĩa phân lập,"""Pro-Russian Gubarev, a symbol of east Ukraine separatism "".","Truy cập ngày 7 tháng 4 năm 2014. ^ a ă “Pro-Russian Gubarev, a symbol of east Ukraine separatism”.","A theory or doctrine which supports a state of separation between organizations, institutions, or other societal groups (e.g. between church and state) or between different political jurisdictions (e.g. a country and its former colony).",13193
sync,verb,đồng bộ,"Syncing services, such as backup, require a Google Account.","Dịch vụ đồng bộ hóa, chẳng hạn như sao lưu, yêu cầu có Tài khoản Google.",harmony,13194
parenthetical,adjective,chen vào giữa,Let me parenthetically pause here and tell you,Để tôi mở ngoặc đơn ở đây và nói cái này,"using, containing, or within parentheses (like this)",13195
palpate,adjective,sờ nắn,I palpated .,Tôi bắt mạch.,"to examine, or otherwise explore, (usually an area or organ of the human body) by feeling it",13196
codify,verb,soạn thành luật lệ,"GAAP was codified , or rewritten , in 1953 .","GAAP được soạn thành luật lệ , hoặc được soạn lại , vào năm 1953 .","To reduce to a code, to arrange into a code.",13197
morphology,noun,hình thái học,That's an important difference because it marks two completely different morphologies .,Đây là một khác biệt quan trọng vì nó nhấn mạnh 2 khác biệt về hình thái học .,"(uncountable) A scientific study of form and structure, usually without regard to function. Especially:",13199
emanation,noun,sự phát ra,From where does unholy conduct emanate ?,Hành vi không thánh thiện xuất phát từ đâu?,The act of flowing or proceeding from a fountain head or origin.,13201
marmot,noun,con macmôt,You have the humor of a marmot .,Cậu có khiếu hài hước của một con ma - mút .,Any of several large ground-dwelling rodents of the genera Marmota and Cynomys in the squirrel family.,13203
warehouse,verb,kho hàng,Looks like they're hiring security guards down at their warehouse .,Hình như họ đang tuyển bảo vệ cho kho hàng .,"A place for storing large amounts of products (wares). In logistics, a place where products go to from the manufacturer before going to the retailer.",13204
laureate,adjective,được giải thưởng,Real Nobel laureates hand you the prize.,Những người được giải thưởng Nobel thật sẽ trao giải cho bạn.,"Crowned, or decked, with laurel.",13206
retirement,noun,sự về hưu,"And best of all, it brought new spiritual growth, instead of spiritual retirement .”","Và hơn hết, nó mang đến sự tăng trưởng mới về phần thuộc linh, thay vì sự về hưu của phần thuộc linh.”","An act of retiring, or the state of being retired; withdrawal; seclusion; as, the retirement of an officer; the portion of one's life after retiring from one's career.",13207
wrinkle,verb,vết nhăn,"She'd wrinkled up the bed, but they weren't mashed down.","Cổ làm nhăn ra giường, nhưng những vết nhăn vẫn còn phồng lên.","A small furrow, ridge or crease in an otherwise smooth surface.",13208
traditional,adjective,cổ truyền,It is still frequently used in traditional medicines in the Arab world.,Nó vẫn còn thường được dùng trong các loại thuốc cổ truyền của các nước Ả-rập.,"Of or pertaining to tradition; derived from tradition; communicated from ancestors to descendants by word only; transmitted from age to age without writing; as, traditional opinions; traditional customs; traditional expositions of the Scriptures.",13209
dengue,noun,sốt xuất huyết Dingue,What exactly is dengue ?,Nói chính xác thì bệnh này là gì?,"(pathology) An acute febrile disease of the tropics caused by a flavivirus, transmitted by mosquitoes, and characterized by high fever, rash, headache, and severe muscle and joint pain.",13210
waltz,verb,Waltz,Have you seen the new work they've done to the Waltz Towers?,bạn đã bao giờ chứng kiến một công việc mới mà họ đã làm ở tháp Waltz ?,a ballroom dance in 3/4 time,13211
remark,verb,lời bình luận,Resist the temptation to make witty remarks just for the sake of making the audience laugh.,Hãy cưỡng lại khuynh hướng đưa ra lời bình luận dí dỏm cốt để làm cử tọa cười.,Act of pointing out or attentively noticing; notice or observation.,13212
needle,noun,kim,It would attract the steel needle and separate it from the straw.,Nam châm sẽ thu hút cây kim và tách rời nó khỏi rơm rạ.,"A long, thin, sharp implement usually for piercing such as sewing, or knitting, acupuncture, tattooing, body piercing, medical injections etc.",13213
rusty,adjective,gỉ,Because my moves are a little rusty .,Vì hệ vận động của tớ bị gỉ một chút.,"Lacking recent experience, out of practice, especially with respect to a skill or activity.",13214
handkerchief,noun,khăn tay,We'll put up our handkerchiefs if we have to.,"Dùng luôn cả khăn tay nữa, nếu cần.","A piece of cloth, usually square and often fine and elegant, carried for wiping the face, eyes, nose or hands.",13215
tumbler,noun,cốc,The tumbler is stuck.,Lẫy khóa bị kẹt rồi.,One who tumbles; one who plays tricks by various motions of the body; an acrobat.,13216
turnover,adjective,Doanh thu,"The Group posted a consolidated turnover of €2,569.9 million in 2016.","Công ty đã đạt doanh thu hợp nhất đạt 2.569,9 triệu euro vào năm 2016.",The act of overturning something,13217
aforementioned,adjective,đã kể trước đây,All the aforementioned remarks and campaign issues hurt McCain's standing with voters.,Tất cả những lời nói và vấn đề vận động tranh cử nói trên đã làm tổn hại địa vị của McCain đối với cử tri.,Previously mentioned.,13218
mezzanine,noun,gác lửng,"From a mezzanine , the visitors gazed down upon a maze of machinery.","Từ trên tầng gác lửng , khách tham quan nhìn xuống một hệ thống chằng chịt máy móc.",A balcony in an auditorium.,13219
collagen,noun,collagen,Collagen is what gives structure to our bones.,Collagen là chất tạo nên cấu trúc xương của chúng ta.,"(biochemistry) Any of more than 28 types of glycoprotein that forms elongated fibers, usually found in the extracellular matrix of connective tissue.",13220
laissez-faire,noun,laissez-faire,I have a laissez - faire attitude about the hats.,Tôi cũng chẳng để ý chuyện đó.,Alternative form of laissez faire.,13221
germinal,adjective,mầm,And that enables us to develop germination protocols.,Điều đó cho phép chúng tôi phát triển một quy trình nảy mầm chung.,Pertaining or belonging to a germ.,13222
carillon,noun,chuông chùm,It's carillon eve.,Đó là lễ Carillon ( lễ Chuông chùm ),"A set of bells, often in a bell tower, sometimes operated by means of a keyboard (manual or pedal), originating from the Low Countries. Modern carillons are sometimes also operated by computer.",13223
daguerreotype,verb,phép chụp hình đage,The first daguerreotype of the Moon.,Bức hình đầu tiên chụp theo phương pháp Daguerre của Mặt Trăng.,An early type of photograph created by exposing a silver surface which has previously been exposed to either iodine or bromine vapour.,13224
cowrie,noun,tiền vỏ ốc,The family offered food to sticks with cowrie shells tied onto them.,Thức ăn được cúng trước những thanh gỗ bọc vỏ sò sặc sỡ đủ màu.,A gastropod of the family Cypraeidae common to the Indian Ocean.,13225
proximate,adjective,gần,Tracking phones like this is all about proximity .,Lần kiểu đó chỉ ở gần mới được.,Close or closest; adjacent.,13227
affray,verb,ẩu đả,"Since arm from arm that voice doth us affray , Hunting thee hence with hunt's- up to the day.","Kể từ khi cánh tay từ cánh tay mà bằng giọng nói thuần phục chúng tôi ẩu đả , săn ngươi do đó hunt's cho đến ngày.",The act of suddenly disturbing any one; an assault or attack.,13228
delinquency,noun,tội,"That includes juvenile delinquency , due process for children involved in the criminal justice system, appropriate representation, and effective rehabilitative services; care and protection for children in state care; ensuring education for all children regardless of their race, gender, sexual orientation, gender identity, national origin, religion, disability, color, ethnicity, or other characteristics, and; health care and advocacy.","Nó gồm tình trạng phạm tội vị thành niên, quy trình pháp lý cho trẻ em liên quan tới hệ thống pháp lý hình sự, sự đại diện thích hợp và các dịch vụ phục hồi hiệu quả; chăm sóc hay bảo vệ trẻ em trong các trung tâm chăm sóc của nhà nước; đảm bảo giáo dục cho mọi đứa trẻ không cần biết tới nguồn gốc, nòi giống, giới tính, sự tàn tật, hay khả năng, và chăm sóc sức khoẻ và biện hộ pháp lý.",misconduct,13229
kenning,noun,kenning,"Now, Ken .","Làm đi, Ken .",(obsolete) Sight; view; a distant view at sea.,13230
attachment,noun,phụ tùng,"Over about a month, he graduated me from cardboard to roofing aluminum called flashing and still, one of my all-time favorite attachment materials, POP rivets.","Qua khoảng một tháng, ông bảo tôi lấy mấy tấm lợp mái làm bằng nhôm nhôm gọi là tôn và vẫn là một trong những vật liệu phụ tùng tôi luôn yêu thích những cái đinh tán.",The process or means by which something is physically attached.,13231
victimize,verb,bịp,Tricksters and confidence men deceive victims to get their money.,Những kẻ lừa bịp và những kẻ hứa dối lường gạt nạn nhân để lấy tiền.,To punish someone unjustly.,13232
perception,noun,tri giác,"Taste and smell irritations, delayed perception .",Sự kích thích tri giác làm giảm quá trình nhận thức.,Conscious understanding of something.,13233
trample,Verb,giẫm đạp,"If they didn't like each other, we could all get trampled to death.","Nếu họ không thích nhau, chúng ta sẽ đều bị giẫm đạp cho đến chết.",(transitive) To crush and destroy something by walking on it.,13234
grasp,verb,nắm,"Daladier had already been made aware in 1932, through German rivals to Hitler, that Krupp was manufacturing heavy artillery and the Deuxième Bureau had a grasp of the scale of German military preparations, but lacked hard intelligence of their hostile intentions.","Năm 1932, ông biết các đối thủ Đức đến Hitler rằng Krupps đang chế tạo pháo hạng nặng và Văn phòng Deuxieme đã nắm bắt được quy mô chuẩn bị quân sự của Đức, nhưng thiếu thông tin cứng rắn về ý định thù địch của họ.","To grip; to take hold, particularly with the hand.",13235
fulfill,verb,hoàn thành,I will grind whatever grist the mill requires to fulfil my duty.,Tôi sẽ xay trong cối xay những gì cần thiết để hoàn thành nghĩa vụ.,(archaic) To fill full; fill to the utmost capacity; fill up.,13236
igloo,noun,lều tuyết,I was imagining a massive igloo with all kinds of scientists doing experiments.,Tôi đã tưởng tượng rằng nó phải là 1 cái lều tuyết to lớn với các nhà khoa học đang thực hiện những thí nghiệm.,"A dome-shaped Inuit shelter, constructed of blocks cut from snow.",13237
epicurean,adjective,E-pi-cua,"7 Greek philosophers, such as the Epicureans , believed in gods but viewed them as being too far from the earth to have any interest in man or be affected by his feelings.","7 Các triết gia Hy Lạp, như là những người theo thuyết E - pi - cua (Epicureans), tin tưởng nơi các thần, nhưng cho rằng các thần đó cách trái đất quá xa đến độ không chú ý gì đến loài người hoặc là không bị ảnh hưởng bởi cảm giác của loài người.","pursuing pleasure, especially in reference to food or comfort",13238
precocity,noun,sự sớm biết,"This breed was produced by crossbreeding between wild Arkhar rams and Precoce merino ewes in the Kurmektinski research station between 1934 to 1949 in Kazakhstan, then in the Soviet Union.","Giống cừu này được lai tạo và sản xuất bởi việc lai giữa những con cừu đực Arkhar hoang dã và con cừu cái Merino Precoce trong trạm nghiên cứu Kurmektinski giữa những năm 1934-1949 ở Kazakhstan, mà sau đó là ở Liên Xô.",The state of being precocious,13239
liniment,verb,bóp,Rubbed liniment on her scars.,Thoa dầu lên các vết sẹo của bà.,"A topical medical preparation intended to be rubbed into the skin with friction, such as to relieve symptoms of arthritis.",13240
wastrel,noun,lưu manh,You've brought me the wrong wastrel .,Các ngươi mang cho ta tên lưu manh không đúng rồi.,"(dated) One who is profligate, who wastes time or resources extravagantly.",13241
kelpie,noun,chó kenpi,"The etymology of the Scots word kelpie is uncertain, but it may be derived from the Gaelic calpa or cailpeach, meaning ""heifer"" or ""colt"".","Từ nguyên của từ Scelp từ kelpie là không chắc chắn, nhưng nó có thể được bắt nguồn từ Gaelic calpa hoặc Cailpeach, có nghĩa là con bê (""heifer"") hoặc ""colt"".",An Australian breed of sheepdog.,13242
midriff,noun,cơ hoành,"Remember, it's formal, so no exposed midriffs .","Đừng quên, đây là sự kiện trang trọng, nên không cần hở xương sườn gì đâu nhé .","The mid section of the human torso, from below the chest to above the waist",13243
fop,noun,công tử bột,It's a brother's duty to introduce his sister to some other type than fops .,Trách nhiệm của một người anh là giới thiệu em gái mình với ai đó khác hơn mấy chàng công tử bột .,A vain man; a dandy.,13244
parvenu,adjective,kẻ mới phất,"A parvenu , a lazy bastard.","Kẻ tự phụ, lười biếng.","A person who has risen, climbed up, or has been promoted to a higher social class, especially through acquisition of wealth, rights, or political authority but has not gained social acceptance by those within that new class.",13245
terror,noun,nỗi khiếp sợ sự khủng bố,TERRORISM !,KHỦNG BỐ !,"(uncountable) intense dread, fright, or fear.",13246
slender,adjective,mỏng,"One is the longirostrine bauplan, with long, slender wings, needle-like dentition and long, thin jaws, represented by species akin to Rhamphorhynchus itself or Dorygnathus.","Một là có cấu trúc cơ thể mỏ dài, với đôi cánh dài, mảnh mai, răng giống như kim và hàm dài, mỏng , đại diện bởi các loài giống như Rhamphorhynchus hoặc Dorygnathus.",Thin; slim.,13247
acquainted,adjective,quen,"When you met us the other day, we had just been forming a new acquaintance .","Khi anh gặp chúng tôi hôm nọ, chúng tôi vừa quen biết thêm một người.",Personally known; familiar.,13248
compartment,noun,gian,You called me Lisa in the avionics compartment .,Anh nói về Lisa đi. Trong gian phòng chật hẹp này.,"A room, or section, or chamber",13249
troll,noun,quỷ khổng lồ,Not many first-year students could take on a troll and live to tell the tale.,Không nhiều học sinh năm nhất có thể đọ sức với quỷ khổng lồ như vậy mà còn sống để kể lại chuyện đâu.,"(fantasy) A supernatural being of varying size, now especially a grotesque humanoid creature living in caves or hills or under bridges. [from early 17th c.]",13250
stimulant,noun,chất kích thích,He must take stimulants and diuretics to improve his lung efficiency.,Nó cần dùng chất kích thích và thuốc lợi tiểu để tăng hoạt động của phổi,A substance that acts to increase physiological or nervous activity in the body.,13251
mediocrity,noun,người thường,Big mediocrity in every way.,Đánh giá kiểu gì thì cũng là một sự thất vọng lớn.,(now rare) The quality of being intermediate between two extremes; a mean.,13252
putrefaction,noun,sự sa đoạ,Putrefaction .,Putrifaction .,"the act of causing to rot; the anaerobic splitting of proteins by bacteria and fungi with the formation of malodorous, incompletely oxidized products",13253
victual,noun,thức ăn,"Victuals , coin, clothing or your life.","Thức ăn , tiền, trang phục hoặc là cái mạng cô.",Food fit for human consumption.,13254
rationality,noun,sự hợp lý,I thought he liked rationality .,Tôi tưởng ông ta thích sự hợp lý .,the quality or state of being rational; agreement with reason; possession of reason; due exercise of reason; reasonableness.,13255
terminate,verb,chấm dứt,If they terminate operation now they will be wasting these.,"Nếu bây giờ họ chấm dứt hành động, họ sẽ lãng phí cái này.","(transitive or intransitive, formal) To finish or end.",13256
sensor,noun,cảm biến,We have a problem with that drill pipe or with the sensor giving us a false reading.,Ta có vấn đề với ống khoan hoặc với cảm biến cho kết quả sai.,A device or organ that detects certain external stimuli and responds in a distinctive manner.,13257
