word,part_of_speech,meaning,example,example_meaning,definition
specter,noun,ma,"There's no such thing as love without the anticipation of loss, and that specter of despair can be the engine of intimacy.","Chẳng có cái gọi là tình yêu nếu không có cảm nhận về mất mát, và cái bóng ma tuyệt vọng có thể là động cơ khiến càng thêm khắng khít gắn bó.",A ghostly apparition.
mocking,adjective,chế giễu,"Today, some would mock David’s reliance on God.","Ngày nay, một số người sẽ chế giễu việc Đa-vít tin cậy nơi Đức Chúa Trời.",Present participle of mock.
contort,verb,bóp méo,You choose to contort islam into an excuse for a life of violence.,Cậu chọn bóp méo Đạo Hồi thành một cái cớ cho 1 cuộc sống bạo lực.,"(transitive) To twist in a violent manner; as, features contorted with fury."
mercifully,adverb,Lòng thương xót,The father treated him mercifully .,Người cha đã đối xử nhân từ khoan dung với người em.,In a merciful manner.
whittle,verb,gọt,But I still had concerns that it could be whittled away.,Nhưng tôi vẫn lo ngại nó có thể bị cắt gọt đi nhiều.,A large knife.
dislodge,verb,đánh bật,"Yet again, the pod joins forces to dislodge the seal.","Một lần nữa, cả đàn hợp lại tạo lực để đánh bật con hải cẩu.",To remove or force out from a position or dwelling previously occupied.
tallow,noun,mỡ,These were true dipped candles and made from tallow .,Đây là những ngọn nến nhúng thật sự được làm từ mỡ bò.,"a hard animal fat obtained from suet etc.; used to make candles, soap and lubricants"
forerunner,noun,người báo trước,This was the forerunner of SMK Green Road.,Đây là tiền thân của SMK Green Road.,"a precursor or harbinger, a warning ahead"
constable,noun,cảnh sát,"The film was based on a short story called ""The Police Constable "".","Bộ phim dựa trên một câu chuyện ngắn gọi là ""Thanh tra Cảnh sát "".",(UK) A police officer ranking below sergeant in most British police forces. (See also Chief Constable).
wake,verb,thức,We wake up early in the morning and start off our day on a spiritual note by considering a daily Bible text.,"Chúng tôi thức dậy từ sáng sớm và bắt đầu một ngày với các ý tưởng thiêng liêng, bằng cách xem xét câu Kinh-thánh mỗi ngày.",(transitive) (often followed byup) To make somebody stop sleeping.
conception,noun,quan niệm,Barricelli had the concept of the code as a living thing;,Barricelli quan niệm mật mã là 1 vật hữu sinh.,The act of conceiving.
exaltation,noun,quyền cao chức trọng,"I exalt you, I praise your name,","Con tôn cao ngài , ca ngợi danh ngài,","The act of exalting or raising high; also, the state of being exalted; elevation."
modesty,noun,tính khiêm tốn,Our appearance should reflect modesty and soundness of mind.,Ngoại diện của chúng ta nên phản ánh tính khiêm tốn và biết suy xét.,The quality of being modest; having a limited and not overly high opinion of oneself and one's abilities.
unduly,adverb,quá đáng,We have no reason to be unduly suspicious of strangers.,Chúng ta không cần phải nghi ngờ người lạ cách quá đáng .,"Undeservedly, not warranted."
mantelpiece,noun,bệ lò sưởi,There's a clock on the mantelpiece and a picture between the bookshelves.,Có một cái đồng hồ ở bệ lò sưởi và một bức tranh giữa các kệ sách.,A shelf that is affixed to the wall above a fireplace.
tinker,verb,thợ hàn nồi,"In England, the term was mostly used for travellers hawking goods in the countryside to small towns and villages; they might also be called tinkers or gypsies.","Ở nước Anh, từ ""gánh hàng rong"" (pedlar) hầu hết là để chỉ những người lang thang đi bán hàng rong từ nông thôn cho đến các thị trấn, làng quê nhỏ bé; họ còn có thể được gọi là thợ hàn nồi (dân lang thang) hay dân gipsy.",an itinerant tinsmith and mender of household utensils made of tin
empirical,adjective,kinh nghiệm chủ nghĩa,Everybody did empire .,Tất cả mọi đều xây dựng đế chế .,Pertaining to or based on experience.
goad,verb,thúc,"At times, goads served as weapons.",Đôi khi người ta dùng cây đót làm vũ khí.,"A long, pointed stick used to prod animals."
anachronistic,adjective,lỗi thời,Symbian is increasingly anachronistic compared to modern smartphone platforms .,Symbian ngày càng lỗi thời so với các nền tảng điện thoại thông minh hiện đại .,(of a person) having an opinion of the past; preferring things or values of the past; behind the times; over-conservative.
bequeath,verb,để lại,""" and bequeath her at my death whatever I may have to leave.","""... và để lại tài sản cho nó khi tôi chết cho dù tôi còn lại được gì.",(law) To give or leave by will; to give by testament; especially of personal property.
duplicity,noun,hai mặt,"Amongst the many sins they alleged were his ""insincerity and duplicity "" when dealing with the Soviet Union, creating fictitious accusations against PDPA-members who opposed him, indulging in a policy of nepotism, and his tendency to conduct a more ""balanced policy"" towards First World countries.","Trong số các tội lỗi mà họ định cho ông có việc ""không thành thực và hai mặt "" trong quan hệ với Liên Xô, dựng nên các cáo buộc giả chống lại những thành viên Đảng DCND chống lại ông, theo đuổi một chính sách gia đình trị, và có khuynh hướng tiến hành một ""chính sách cân bằng"" hơn hướng về các quốc gia Thế giới thứ nhất.",Intentional deceptiveness; double-dealing.
felicity,noun,hạnh phúc lớn,""" FeliCity . ""","Thành phố hạnh phúc ""","(Semiotics/semiology) Reproduction of a sign with fidelity. eg. ""The quotation was rendered with felicity."""
impertinence,noun,câu nói xấc láo,Damn your impertinence !,Chết tiệt cái sự ngạo mạn của anh!,(uncountable) Lack of pertinence; irrelevance.
acrimonious,adjective,chua cay,Her mind is totally acrimonious .,"Suy nghĩ của cô ấy cực kì "" chua chát "" .","Of or pertaining to acrimony, words, arguments, quarrels: bitter; mean-spirited; sharp in language or tone."
disseminate,verb,phổ biến,"Secondly, the unauthorized dissemination of classified material is a federal crime.","Thứ nữa, phổ biến trái phép tài liệu mật của liên bang cũng là 1 tội.","(transitive) To sow and scatter principles, ideas, opinions, and errors for growth and propagation, such as seed"
extraneous,adjective,bắt nguồn ở ngoài,That's where we get into the extraneous again.,Lại là chi tiết thừa .,"Not belonging to, or dependent upon, a thing; without or beyond a thing; foreign"
hiatus,noun,chỗ gián đoạn,I'm on hiatus .,Chị đi nghỉ đây .,"A gap in a series, making it incomplete."
egregious,adjective,đại,Egregious insubordination.,Đúng là xâm phạm trắng trợn.,"Exceptional, conspicuous, outstanding, most usually in a negative fashion."
forbear,verb,nhịn,"(Luke 7:37-50; 19:2-10) Rather than judging others on the basis of outward appearances, Jesus imitated his Father’s kindness, forbearance , and long-suffering with a view to leading them to repentance.","(Lu-ca 7:37-50; 19:2-10) Thay vì dựa vào bề ngoài mà xét đoán người khác, Chúa Giê-su noi gương nhân từ, nhịn nhục và khoan dung của Cha ngài với ý định giúp họ ăn năn.",(transitive) To keep away from; to avoid; to abstain from; to give up.
ignominious,adjective,nhục nhã,"Despite insults, abuse, and an ignominious death, he maintained self-control and dignity.","Dù bị sỉ nhục , hành hạ và chết nhục nhã , ngài giữ được sự tự chủ và phẩm cách.",marked by shame or disgrace.
reproof,verb,sự khiển trách,But the one who ignores reproof leads others astray.,Ai phớt lờ sự khiển trách dẫn người khác đi lạc lối.,Act or instance of reproving; a rebuke.
prehensile,adjective,cầm nắm,And the tapir has a prehensile penis.,"Nó có dương vật dài, có thể nắm được.",(zoology) Able to take hold of and clasp objects; adapted for grasping especially by wrapping around an object.
piranha,noun,cá piranha,She was chum to piranhas .,Cô ấy là một miếng thịt cho lũ cá piranha thì có.,Any of the carnivorous freshwater fish living in South American rivers and belonging to the families of Serrasalmus and Pygocentrus.
behold,Verb,nhìn ngắm,Its gentleness and peaceful nature make it delightful to behold .,Bản chất hiền lành hòa nhã của nó khiến người ta nhìn ngắm nó một cách thích thú.,"(transitive) To see, or to look at."
overshadow,verb,làm,There is one teacher whose life overshadows all others.,Có một giảng viên mà cuộc sống của Ngài làm lu mờ tất cả những người khác.,(transitive) To obscure something by casting a shadow.
aggregate,adjective,tập hợp lại,"The basic idea is they aggregate to form large groups, or swarms.","Ý tưởng cơ bản là chúng tập hợp lại thành những nhóm lớn, hay bầy đàn.",Formed by a collection of particulars into a whole mass or sum; collective; combined; added up
irksome,adjective,chán ngấy,Cease your yammering and relieve us from this irksome confinement.,Có kế hoạch! Thôi rên rỉ đi và mau đưa chúng ta ra khỏi cái chốn khó chịu này.,Disagreeable or troublesome by reason of long continuance or repetition; bothersome; annoying; irritating; wearisome; tedious.
self-reliance,noun,sự tự lực,"Speaking of spiritual self - reliance and our dependence on Heavenly Father, Elder Robert D.","Khi nói đến sự tự lực về tinh thần và việc chúng ta phụ thuộc vào Cha Thiên Thượng, Anh Cả Robert D.","the capacity to rely on one's own capabilities, and to manage one's own affairs; independence"
dyspepsia,noun,chứng khó tiêu,"Constipation, cramps, dyspepsia , liver disease, kidney disease, hemorrhoids, bowel inflammation.","Táo bón, đau bụng , rối loạn tiêu hóa, bệnh gan, bệnh thận, bệnh trĩ, viêm ruột.","(pathology) A disorder of digestion, characterised by stomach pain, discomfort, heartburn and nausea, often following a meal."
prospector,noun,người thăm dò,(46) Gold prospector learns to value flakes of gold.,(46) Người thăm dò quặng vàng học cách quý trọng các hạt phấn vàng.,"A person who explores or prospects an area in search of mineral deposits, such as gold."
ironically,adverb,một cách mỉa mai,"In an extremely ironic role reversal, my mother was smarter than me.","Đảo ngược vai trò một cách mỉa mai vô cùng, mẹ em đã thông minh hơn em.","(manner) In an ironic manner, in a way displaying irony."
