word,part_of_speech,meaning,example,example_meaning,definition
proletarian,adjective,người vô sản,"A new constitution was adopted in September 1921, which, contrary to the Russian Constitution of 1918, allowed private ownership of land and productive assets and granted voting rights to non- proletarians (although relatives of the deposed emir, former emirate officials, and large landowners could not vote).","Hiến pháp mới được thông qua vào tháng 9 năm 1921, trái với Hiến pháp năm 1918 của Nga, cho phép sở hữu tư nhân đất và tài sản sản xuất và trao quyền biểu quyết cho những người không phải là người vô sản (mặc dù họ hàng của tiểu vương quốc bị lật đổ, cựu quan chức tiểu vương quốc và chủ đất lớn) không thể bỏ phiếu).",Of or relating to the proletariat.
wanton,adjective,phóng đãng,"The Greek word translated “loose conduct” denotes licentiousness, absence of restraint, indecency, wantonness , shameless conduct.","Chữ Hy Lạp dịch ra “sự buông-tuồng” có nghĩa là phóng túng, thiếu sự kiềm chế, khiếm nhã, phóng đãng và hành vi trơ tráo.","(obsolete) Undisciplined, unruly; not able to be controlled."
heretical,adjective,dị giáo,Condemned as a Heretic,Bị kết tội dị giáo,(of ideas or views) contrary to mainstream or accepted opinion; (especially views contrary to established teachings of the Roman Catholic church) but also contrary to other denominations
dour,adjective,khắc khổ,"I put up a somewhat dour Darwin, but a very happy chimp up there.",Tôi dẫn chứng hình ảnh một Darwin khắc khổ với một con tinh tinh khá là hạnh phúc.,"Stern, harsh and forbidding."
cadre,noun,cán bộ,"Over time, party cadres would grow increasingly careerist and professional.","Cùng với thời gian, các cán bộ đảng sẽ ngày càng trở nên chuyên môn và chuyên nghiệp.",A frame or framework.
categorically,adverb,dứt khoát,I am categorically opposed to you or anyone else doing so.,Tôi dứt khoát phản đối ông hay bất cứ ai muốn làm vậy.,In a categorical manner.
disarming,adjective,làm nguôi giận,It's a wild card for disarming any reasonable criticism.,Nó là kí tự đại diện để làm nguôi giận bất kì lời chỉ trích hợp lý nào.,Present participle of disarm.
jurisprudence,noun,luật học,He then studied jurisprudence at the University of Bonn from 1881 to 1884.,"Sau đó, ông nghiên cứu luật học tại Đại học Bonn từ năm 1881-84.","(law) The philosophy, science, and study of law and decisions based on the interpretation thereof"
tenet,noun,chủ nghĩa,"It is, therefore, a fundamental tenet of republican government and democracy as well as of nationalism.","Do đó, đó là một nguyên lý cơ bản của chính phủ cộng hòa, dân chủ cũng như chủ nghĩa dân tộc.","An opinion, belief, or principle held to be true by someone or especially an organization."
incursion,noun,sự xâm nhập,A brief marine incursion marks the early Oligocene in Europe.,Sự xâm nhập lòng đại dương trong thời gian ngắn đánh dấu đầu thế Oligocen ở châu Âu.,An aggressive movement into somewhere; an invasion.
arbor,noun,cây,"Founded in 1972, the centennial of the first Arbor Day observance in the 19th century, the Foundation has grown to become the largest nonprofit membership organization dedicated to planting trees, with over one million members, supporters, and valued partners.","Thành lập năm 1972, năm kỷ niệm một trăm năm Tết trồng cây trong thế kỷ 19, Tổ chức đã phát triển trở thành một cơ quan thành viên phi lợi nhuận lớn nhất cống hiến trong lĩnh vực trồng cây , với hơn 1 tỷ thành viên, người ủng hộ và các đối tác có giá trị.","A shady sitting place, usually in a park or garden, and usually surrounded by climbing shrubs or vines and other vegetation."
bloom,verb,nở,"Gradually, more and more flowers and shrubs and trees bloomed from the earth.","Dần dần, càng ngày càng có hoa lá và bụi cây nở rộ từ mặt đất.",A blossom; the flower of a plant; an expanded bud.
bonnet,noun,mũ,"In the Middle Ages the serfs humbly doffed their bonnets , whilst the noblemen gave the German salute.","Ở thời Trung Cổ những nông nô cởi bỏ mũ của họ một cách khiêm nhường, trong khi quý tộc thì chào kiểu Đức.","A type of hat, once worn by women or children, held in place by ribbons tied under the chin."
conservation,noun,sự bảo tồn,In 1989 the conservatory received the Europa Nostra award for conservation .,"Năm 1989, khu nhà kính nhận được giải thưởng Europa Nostra vì sự bảo tồn thiên nhiên.","The act of preserving, guarding, or protecting; the keeping (of a thing) in a safe or entire state; preservation."
fool,verb,thằng ngu,You fools .,Thật ngu ngốc !,(pejorative) A person with poor judgment or little intelligence.
sibling,noun,anh chị em,"I know, but this person could be a relative, maybe even a sibling .","Tôi biết, nhưng có thể người này là họ hàng hoặc anh chị em của cô ấy.",A person who shares same parents. One's brother or sister.
taxation,noun,hệ thống thuế,"He established consistent taxation for all provinces, ending private exploitation by local tax officials.","Ông đã thiết lập hệ thống thuế đồng nhất khắp các tỉnh, chấm dứt việc biển thủ của các quan chức thuế địa phương.",The act of imposing taxes and the fact of being taxed
umpire,verb,làm trọng tài,"Tmolus, the mountain-god, was chosen as umpire .","Tmolus, thần núi, được chọn làm trọng tài .",(tennis) The official who presides over a tennis game sat on a high chair.
cartography,noun,bản đồ học,It's about cartography .,Mà là cho việc vẽ bản đồ .,(uncountable) The creation of charts and maps based on the layout of a territory's geography. [from 19th c.]
decode,verb,giải mã,And might they contain messages that we have yet to decode ?,Và có thể chúng chứa những thông điệp mà ta vẫn chưa giải mã ?,To convert from an encrypted form to plain text.
negotiation,noun,sự dàn xếp,"Well, I'm conducting the negotiations , and we neither need nor want any police assistance.","Tôi đang chỉ đạo sự dàn xếp , và dĩ nhiên không cần đến sự nhúng tay của cảnh sát.",The process of achieving agreement through discussion.
prescription,noun,đơn thuốc,But I lost my prescription and the doctor agreed to write another one.,"Mẹ làm mất đơn thuốc rồi, nhưng ông bác sĩ đã đồng ý viết đơn thuốc khác.","(law) The act of prescribing a rule, law,etc.."
bonobo,noun,bonobo,"I went down, and the bonobos","Tôi giảm giá, và mấy chú khỉ đột bonobo","the pygmy chimpanzee, Pan paniscus, from Africa south of the Congo"
pageant,verb,đám rước lộng lẫy,Beauty pageant .,Thí sinh trong cuộc thi sắc đẹp.,"An elaborate public display, especially a parade in historical or traditional costume."
palm,noun,bàn tay,I'll have him eating out of the palm of your hand.,"Có mình giúp, Ronald sẽ cắn lòng bàn tay cậu.","Any of various evergreen trees from the family Palmae or Arecaceae, which are mainly found in the tropics."
penguin,noun,chim cánh cụt,These smallest of penguins are also the most vocal.,Giống chim cánh cụt nhỏ bé nhất này lại to tiếng nhất.,"Any of several flightless sea birds, of order Sphenisciformes, found in the Southern Hemisphere; marked by their usual upright stance, walking on short legs, and (generally) their stark black and white plumage."
pollinate,verb,thụ phấn,Bats in the tropics are major pollinators of many plants.,Những con dơi vùng nhiệt đới là người thụ phấn của nhiều thực vật.,To apply pollen to (a stigma).
sloth,noun,con lười,So what should any red-blooded sloth do?,Vậy bất kỳ con lười ham muốn tình dục nên làm thế nào?,(uncountable) Laziness; slowness in the mindset.
tortoise,noun,rùa,So Achilles can never reach the tortoise and never pass him.,Nên Achilles không bao giờ tới được chỗ con rùa và vượt qua nó.,"Any of various land-dwelling reptiles, of family Testudinidae, whose body is enclosed in a shell (carapace plus plastron). The animal can withdraw its head and four legs partially into the shell, providing some protection from predators."
geometric,adjective,thuộc hình học,Geometric Shapes,KCharselect unicode block name,"Of, or relating to geometry."
