word,part_of_speech,meaning,example,example_meaning,definition
paper tiger,noun,cọp giấy,Phantas-Moon Ruby-chan/Magical-Amber Magical-Caren A Magical girl form of Caren in Paper bag head and antagonist of tiger colosseum Upper.,Phantas-Moon Ruby-chan/Magical-Amber Magical-Caren Caren dưới dạng cô gái phép thuật đầu trùm bao giấy và là nhân vật đối kháng trong tiger colosseum Upper.,(idiomatic) A seemingly fierce person or thing without the ability to back up their words.
liability,noun,cái của nợ,Because you're a liability .,Bởi vì cô là cái của nợ .,the condition of being liable
enshrine,verb,tôn vinh,If Radha is enshrined in Krishna's heart,Nếu Radha được gìn giữ trong tim Krishna.,"(transitive) To enclose in a shrine or chest; hence, to preserve or cherish as something sacred; as, to enshrine something in memory."
interlude,verb,dạo giữa,"Similar to Nostalgia, Ultra, Channel Orange has interludes that feature sounds of organs, waves, tape decks, car doors, channel surfing, white noise, and dialogue.","Giống với Nostalgia, Ultra, Channel Orange có phần dạo giữa mang những âm thanh của organ, tiếng sóng, tiếng cassett, tiếng cửa xe ô tô, tiếng lướt kênh tivi, tiếng ồn trắng, và cả tiếng hội thoại.","An intervening episode, etc."
hierarchy,noun,trật tự,There are no strictly defined hierarchies .,Không có một định nghĩa nhất định nào về trật tự trong xã hội.,A body of authoritative officials organized in nested ranks.
intern,adjective,giam giữ,"It's internment , Tony.","Đây là giam giữ , Tony.","(transitive) To imprison somebody, usually without trial."
funky,adjective,bẩn tưởi,"Funky , your call","Phú ơi , có điện thoại","(US, slang) offbeat, unconventional or eccentric."
masquerade,verb,trò giả dối,Masquerade bash?,Dạ hội hoá trang à?,"A party or assembly of people wearing masks, and amusing themselves with dancing, conversation, or other diversions."
singe,verb,cháy sém,Nor will the flame singe you.,Ngọn lửa cũng chẳng hề làm con cháy sém .,(transitive) To burn slightly.
muzzle,noun,mõm,The silence and darkness meant to him that the doors and windows were shut and someone was muzzling the dogs inside.,"Sự im lặng và bóng tối cho thấy các cửa chính và cửa sổ đều đóng, và có ai đó đã nhốt và bịt mõm lũ chó.","the protruding part of many animal's head which includes nose, mouth and jaws; snout"
stint,verb,hà tằn hà tiện,Thereafter she had a short stint at Capital FM.,"Sau đó, cô có một thời gian ngắn hoạt động tại Capital FM.",A period of time spent doing or being something. A spell.
enrichment,noun,sự làm giàu,They've enriched the lives of billions.,Chúng nuôi dưỡng hàng tỷ người.,the act of enriching or something enriched
orthopedic,adjective,chỉnh hình,I specialized in orthopedic surgery because I like the mechanical aspects of it.,Tôi chuyên về phẫu thuật chỉnh hình vì thích các chức năng của nó.,"Of, or relating to orthopedics"
vacate,verb,bỏ trống,"Ideally, we'd like the Russians to vacate the region.",Lý tưởng nhất là người Nga sẽ bỏ trống khu vực đó.,"To move out of a dwelling, either by choice or by eviction."
elective,adjective,dân cử,"You're allowed to have an elected government, collect taxes,","Bạn được phép có một chính phủ dân cử , thu thuế,","Of, or pertaining to voting or elections"
resentment,noun,sự oán giận,"When this type of killer is triggered, they need to release the resentment quickly.","Khi loại nạn nhân này bị kích động, họ cần giải phóng sự oán giận nhanh chóng.",A feeling of anger or displeasure stemming from belief that others have engaged in wrongdoing or mistreatment; indignation.
episodic,adjective,chia ra từng hồi,"Some are continuous, and some are mere episodes .","Một số là liên tục, và một số chỉ là tạm thời .",relating to an episode
upscale,adjective,cao cấp,By 1929 she owned 150 upscale salons across the United States and Europe.,"Đến năm 1929, bà sở hữu 150 salon hảo hạng trên khắp Hoa Kỳ và châu Âu.",Marked by wealth or quality; high-class.
embassy,noun,đại sứ quán,I would like to call my embassy .,Tôi muốn gọi cho đại sứ quán của tôi.,The function or duty of an ambassador.
gentrification,noun,,"Gentrification is everyone's problem, Fiona.","Đô thị hóa là vấn đề của mọi người, Fiona.",The process of renewal and rebuilding accompanying the influx of middle class or affluent people into deteriorating areas that often displaces earlier usually poorer residents.
existential,adjective,sự sống còn,Existentially speaking.,Khi chúng toi đời.,"Of, or relating to existence."
spruce,noun,vân sam,It's made out of spruce and canvas and good old-fashioned American ingenuity.,Nó được làm từ gỗ vân sam và vải bạt nhờ sự sáng tạo của người mĩ.,"Any of various large coniferous evergreen trees from the genus Picea, found in northern temperate and boreal regions; originally and more fully spruce fir."
humdrum,adjective,buồn tẻ,Harvest the details of her humdrum life.,Tìm hiểu chi tiết về cuộc sống buồn tẻ của cô ta.,Lacking variety or excitement; dull; boring.
debark,verb,lên bờ,Waiting for her boyfriend to debark,Chờ bạn trai cô ta lên tàu,(transitive) To unload goods from an aircraft or ship.
