word,part_of_speech,meaning,example,example_meaning,definition,ID
sonnet,verb,bài thơ xonê,Sonnet Spell Client,Khách chính tả KSpellComment,a fixed verse form of Italian origin consisting of fourteen lines that are typically five-foot iambics rhyming according to a prescribed scheme,4297
idolize,verb,tôn sùng,In this world it is common to idolize oneself and one’s own will.,Trong thế gian ngày nay người ta thường tôn sùng chính mình và ý muốn riêng của mình.,"To make an idol of, or to worship as an idol.",4298
clammy,adjective,lạnh và ẩm ướt,Many have fruiting bodies that reach upwards to catch any feeble current there might be in the clammy air.,Nhiều phần trái vươn lên trên bắt lấy nhiều luồng gió yếu ớt trong không khí lạnh và ẩm ướt .,"Cold and damp, usually referring to hands or palms.",4299
accusation,noun,sự buộc tội,He was prepared to face her accusations .,Anh đã chuẩn bị để đương đầu với sự buộc tội của vợ.,The act of accusing or charging with a crime or with a lighter offense.,4300
omen,noun,điềm,He writes: “The overthrow of this world-power [Egypt] is an omen and prelude of the overthrow of every ungodly world-power on the day of the last judgment.”,Ông viết: “Sự sụp đổ của cường quốc thế giới này [Ê-díp-tô] là một điềm và dấu hiệu báo trước sự sụp đổ của mọi cường quốc thế giới chống tôn giáo trong ngày phán xét sau cùng”.,Something which portends or is perceived to portend a good or evil event or circumstance in the future; an augury or foreboding.,4301
horde,verb,đám,Meaning “ Hordes .”,Nghĩa là “ đám dân”.,"A wandering troop or gang; especially, a clan or tribe of a nomadic people (originally Tatars) migrating from place to place for the sake of pasturage, plunder, etc.; a predatory multitude.",4302
harmony,noun,hoà âm,Rhythms set a foundation for melodies and harmonies to play on top of.,Nhịp điệu tạo ra một nền tảng cho giai điệu và hoà âm để trình diễn.,"a pleasing combination of elements, or arrangement of sounds",4303
concoct,verb,chế,I've concocted you.,Tôi đã bịa ra anh.,"to prepare something by mixing various ingredients, especially to prepare food for cooking",4304
iconic,adjective,chân dung,They're just icons ; you click on them.,"Chúng chỉ là những biểu tượng , và bạn click vào chúng.","Relating to, or having the characteristics of, an icon.",4305
endearing,adjective,khả ái,• What qualities endeared Jesus to people?,• Người ta quý những đức tính nào của Chúa Giê-su?,"Inspiring love or affection, in a childlike way.",4306
superstar,noun,siêu sao,Ich was going to be the biggest Austrian superstar since Hitler.,Tôi sẽ trở thành siêu sao người Áo sáng giá nhất kể từ sau Hitler.,Someone who has accumulated a vast amount of fame and wealth.,4307
sprint,verb,chạy nước rút,I did some sprints on the beach today.,Hôm nay tôi chạy nước rút trên bãi biển.,A short race at top speed,4308
mythological,adjective,hoang đường,As in the mythological city under the ocean?,Thành phố thần thoại đã bị chìm xuống đáy đại dương đây sao?,"(colloquial) imaginary, fabulous",4309
statistic,adjective,Thông số,"And if I go back in time, I've added some historical statistics —","Nếu tôi có thể quay ngược thời gian, tôi sẽ bổ sung vài thông số lịch sử —",Alternative spelling of statistical.,4310
personify,verb,nhân cách hóa,"There wisdom is personified , as though able to speak and act.","Ở đó, sự khôn ngoan được nhân cách hóa , như thể nói và hành động được.",(intransitive) To be an example of; to have all the attributes of.,4312
charismatic,adjective,lôi cuốn,"We'd know a whole lot about charismatic megafauna,","Chúng ta biết rất nhiều loài động vật to lớn có sức lôi cuốn ,","of, related to, or being a member of a form of Christianity that emphasises the role of the Holy Spirit",4313
cherish,Verb,giữ trong lòng,"I mean, we shared a very special afternoon together, and that's something I will always cherish .",Ý tôi là chúng ta đã chia sẽ một chiều đặc biệt với nhau và đó là điều mà tôi sẽ luôn giữ trong lòng .,To treat with tenderness and affection; to nurture with care; to protect and aid.,4314
unrivaled,adjective,vô song,"His appearance is like Lebʹa·non, as unrivaled as the cedars.","Tướng mạo chàng như Li-băng, đẹp vô song như cây tuyết tùng.","Beyond compare, far surpassing any other, unparalleled, without rival.",4315
impersonate,verb,đóng vai,"Here, we must be impersonal .","Ở đây, chúng ta không được xen tình cảm cá nhân vào.","(transitive) To manifest in corporeal form, or in one's own person or body.",4316
admire,verb,khâm phục,You see things to admire where there's nothing.,Cậu thấy khâm phục những việc đâu đâu.,"(obsolete, transitive) To be amazed at.",4317
